accession,submission_date,sequence_length,organism
NC_045376,12-DEC-2019,16875,Dendrocitta formosae
NC_045370,12-DEC-2019,17035,Rupicola peruvianus
NC_045366,12-DEC-2019,16750,Saltator similis
MK875763,26-NOV-2019,16875,Dendrocitta formosae
MN602289,26-NOV-2019,17035,Rupicola peruvianus
MK419316,26-NOV-2019,16750,Saltator similis
MN067867,03-NOV-2019,17457,Cuculus canorus
MK377247,07-APR-2019,16766,Geokichla sibirica sibirica
MH041485,02-FEB-2019,16727,Grus japonensis
MH041486,02-FEB-2019,16679,Grus carunculatus
MF071218,08-JAN-2019,17426,Petronia petronia
KU886092,31-DEC-2018,17830,Liocichla omeiensis
KC836121,14-NOV-2013,16909,Montifringilla ruficollis
NC_038195,03-AUG-2018,18016,Milvus migrans
MG930481,07-JUL-2018,18016,Milvus migrans
NC_037464,24-APR-2018,17870,Garrulax albogularis
KX082660,18-APR-2018,17870,Garrulax albogularis
NC_036760,18-JAN-2018,17358,Melanocorypha mongolica
KY887027,26-DEC-2017,17358,Melanocorypha mongolica
KX245148,16-MAY-2017,16770,Corvus corax
KX245147,16-MAY-2017,16780,Corvus cryptoleucus
KX245146,16-MAY-2017,16791,Corvus corax
KX245145,16-MAY-2017,16764,Corvus corax
KX245144,16-MAY-2017,16781,Corvus ruficollis
KX245143,16-MAY-2017,16927,Corvus cryptoleucus
KX245142,16-MAY-2017,16715,Corvus corax
KX245141,16-MAY-2017,16928,Corvus corax
KX245140,16-MAY-2017,16703,Corvus corax
KX245139,16-MAY-2017,16928,Corvus cryptoleucus
KX245138,16-MAY-2017,16925,Corvus corax
KX245137,16-MAY-2017,16927,Corvus corax
KX245136,16-MAY-2017,16720,Corvus corax
KX245135,16-MAY-2017,16928,Corvus corax
KX245134,16-MAY-2017,16930,Corvus corax
KX245133,16-MAY-2017,16928,Corvus corax
KU058638,01-NOV-2017,17042,Spizixos semitorques
MF431746,01-OCT-2017,19889,Strix occidentalis caurina
MF431745,01-OCT-2017,18975,Strix varia varia
NC_024198,30-MAY-2014,17612,Halcyon pileata
KX512321,27-SEP-2016,16785,Gallus gallus
NC_030771,16-AUG-2016,16885,Cyanoderma ruficeps
KU362930,02-AUG-2016,16885,Cyanoderma ruficeps
AF380305,05-OCT-2001,18674,Buteo buteo
HQ834451,05-FEB-2011,22737,Penelopides panini
HQ834450,05-FEB-2011,21657,Aceros waldeni
NC_030604,12-JUL-2016,16820,Lanius schach
NC_030603,12-JUL-2016,16827,Copsychus saularis
KU221053,17-JUL-2016,16665,Pipile pipile
KU221052,17-JUL-2016,16662,Pipile pipile
KU221051,17-JUL-2016,16665,Pipile pipile
KU058639,25-JUN-2016,16820,Lanius schach
KU058637,25-JUN-2016,16827,Copsychus saularis
NC_029359,01-MAR-2016,18218,Falco rusticolus
NC_029328,01-MAR-2016,16714,Synthliboramphus wumizusume
KT989235,25-JAN-2016,18218,Falco rusticolus
KU094576,29-FEB-2016,16718,Meleagris ocellata
KT592378,10-FEB-2016,16714,Synthliboramphus wumizusume
NC_028414,17-NOV-2015,17508,Cuculus poliocephalus
KT378620,01-NOV-2015,17508,Cuculus poliocephalus
NC_028082,14-OCT-2015,17814,Garrulax poecilorhynchus
KR909134,05-OCT-2015,17814,Garrulax poecilorhynchus
NC_027096,14-MAY-2015,16739,Cygnus olor
NC_027657,28-JUL-2015,17828,Garrulax ocellatus
KP981364,11-MAY-2015,16739,Cygnus olor
NC_027095,14-MAY-2015,16724,Cygnus cygnus
NC_018548,10-SEP-2012,16769,Chroicocephalus brunnicephalus
KP981363,11-MAY-2015,16724,Cygnus cygnus
KP995195,25-JUL-2015,17828,Garrulax ocellatus
JX155863,15-AUG-2012,16769,Chroicocephalus brunnicephalus
KP137624,25-JAN-2015,16776,Parus major
NC_027241,18-JUN-2015,16893,Aethopyga gouldiae
NC_026911,22-APR-2015,16824,Poecile palustris
KP772257,01-JUN-2015,16893,Aethopyga gouldiae
KP184518,13-APR-2015,16824,Poecile palustris
KP269069,16-FEB-2015,16786,Gallus gallus
NC_024553,28-JUL-2014,17800,Garrulax cineraceus
KF926988,08-JUL-2014,17800,Garrulax cineraceus
NC_024069,02-MAY-2014,16975,Jacana jacana
NC_024068,02-MAY-2014,17079,Jacana spinosa
KJ476742,26-MAY-2014,17612,Halcyon pileata
NC_023264,02-JAN-2014,16699,Polyplectron germaini
KJ631049,01-MAY-2014,16975,Jacana jacana
KJ631048,01-MAY-2014,17079,Jacana spinosa
EU755254,09-JUN-2008,16610,Cairina moschata
KF422893,01-JAN-2014,16699,Polyplectron germaini
NC_014341,27-JUL-2010,16809,Pseudopodoces humilis
NC_018033,13-JUN-2012,16683,Ithaginis cruentus
HM535648,26-JUL-2010,16809,Pseudopodoces humilis
JF921875,31-MAY-2012,16683,Ithaginis cruentus
NC_021105,23-APR-2013,16820,Lanius tephronotus
JX486029,08-APR-2013,16820,Lanius tephronotus
NC_021474,12-JUN-2013,15972,Pygoscelis antarcticus
KF020634,12-JUN-2013,15972,Pygoscelis antarcticus
NC_020425,28-FEB-2013,17018,Alauda arvensis
JQ322641,21-FEB-2013,17018,Alauda arvensis
NC_015234,21-MAR-2011,16789,Emberiza tristrami
NC_014455,20-AUG-2010,16823,Sturnus sericeus
HQ896035,12-MAR-2011,16789,Emberiza tristrami
HM859900,14-AUG-2010,16823,Sturnus sericeus
NC_017604,11-APR-2012,16727,Cygnus columbianus bewickii
NC_015482,02-MAY-2011,16594,Sibirionetta formosa
NC_010195,01-JAN-2008,16719,Meleagris gallopavo
NC_015087,07-FEB-2011,22737,Penelopides panini
NC_015085,07-FEB-2011,21657,Aceros waldeni
NC_002778,15-MAY-2001,16756,Casuarius casuarius
NC_004575,28-FEB-2003,16687,Coturnix chinensis
NC_010767,28-MAY-2008,16690,Syrmaticus soemmerringii ijimae
NC_010770,28-MAY-2008,16678,Syrmaticus reevesii
NC_010774,28-MAY-2008,16686,Syrmaticus humiae
NC_010771,28-MAY-2008,16688,Syrmaticus ellioti
NC_010778,28-MAY-2008,16690,Phasianus versicolor
NC_010781,28-MAY-2008,16688,Lophura ignita
NC_003408,16-AUG-2001,16697,Coturnix japonica
NC_003128,05-OCT-2001,18674,Buteo buteo
NC_002779,15-MAY-2001,16716,Anomalopteryx didiformis
JF275060,19-FEB-2011,16719,Meleagris gallopavo
EU755253,09-JUN-2008,16606,Anas platyrhynchos
JQ282801,10-APR-2012,18115,Falco peregrinus
JQ282800,10-APR-2012,16727,Cygnus columbianus bewickii
JF730435,30-APR-2011,16594,Sibirionetta formosa
MT572847,15-DEC-2020,16799,Tringa stagnatilis
MT561267,14-DEC-2020,16860,Pluvialis squatarola
MT903225,09-DEC-2020,16796,Prunella rubeculoides
MW074963,24-NOV-2020,17059,Eudyptes chrysolophus
MT705248,24-NOV-2020,16785,Gallus gallus
NC_051558,22-NOV-2020,16914,Nucifraga caryocatactes
NC_051552,22-NOV-2020,16614,Acanthorhynchus tenuirostris
NC_051538,22-NOV-2020,16797,Carpodacus pulcherrimus
NC_051526,22-NOV-2020,16881,Seicercus examinandus
NC_051513,22-NOV-2020,16816,Sitta villosa
NC_050973,27-OCT-2020,16596,Mareca penelope
NC_050864,27-OCT-2020,16771,Chroicocephalus brunnicephalus
NC_050680,09-OCT-2020,16830,Erythrura gouldiae
MT360379,10-NOV-2020,16776,Phoenicurus frontalis
MW042786,07-NOV-2020,17561,Anhinga melanogaster
MK761004,12-OCT-2020,15579,Macronectes giganteus
MK761003,12-OCT-2020,15541,Megadyptes antipodes
MK761002,12-OCT-2020,15549,Pygoscelis adeliae
MK761001,12-OCT-2020,15548,Pygoscelis antarcticus
MK761000,12-OCT-2020,15551,Pygoscelis papua
MK760999,12-OCT-2020,15550,Pygoscelis papua
MK760998,12-OCT-2020,15555,Pygoscelis papua
MK760997,12-OCT-2020,15553,Pygoscelis papua
MK760996,12-OCT-2020,15568,Spheniscus magellanicus
MK760995,12-OCT-2020,15580,Spheniscus humboldti
MK760994,12-OCT-2020,15582,Spheniscus mendiculus
MK760993,12-OCT-2020,15530,Eudyptes chrysolophus
MK760992,12-OCT-2020,15534,Eudyptes moseleyi
MK760991,12-OCT-2020,15533,Eudyptes chrysocome
MK760990,12-OCT-2020,15536,Eudyptes filholi
MK760989,12-OCT-2020,15530,Eudyptes chrysolophus
MK760988,12-OCT-2020,15530,Eudyptes schlegeli
MK760987,12-OCT-2020,15557,Aptenodytes patagonicus
MK760986,12-OCT-2020,15570,Spheniscus demersus
MK760985,12-OCT-2020,15554,Aptenodytes forsteri
MK760984,12-OCT-2020,15533,Eudyptes sclateri
MK760983,12-OCT-2020,15541,Eudyptes pachyrhynchus
MT506195,12-OCT-2020,16914,Nucifraga caryocatactes
MT457824,12-OCT-2020,16614,Acanthorhynchus tenuirostris
MT648821,12-OCT-2020,16797,Carpodacus pulcherrimus
MK695927,12-OCT-2020,16884,Seicercus examinandus
MK695926,12-OCT-2020,16884,Seicercus examinandus
MK690473,12-OCT-2020,16881,Seicercus examinandus
MT444149,05-OCT-2020,16816,Sitta villosa
MT304825,30-SEP-2020,16596,Mareca penelope
MT177340,30-SEP-2020,16786,Gallus gallus
MN929010,28-SEP-2020,18352,Accipiter nisus
MT555049,30-JUN-2020,16784,Gallus gallus
MT555048,30-JUN-2020,16784,Gallus gallus
MT555047,30-JUN-2020,16784,Gallus gallus
MT555046,30-JUN-2020,16784,Gallus gallus
NC_050393,15-SEP-2020,17279,Pagodroma nivea
NC_050259,15-SEP-2020,16996,Erythrogenys gravivox dedekensi
MT876573,21-SEP-2020,16771,Chroicocephalus brunnicephalus
MN814842,26-AUG-2020,16830,Erythrura gouldiae
NC_050049,03-AUG-2020,17117,Centropus bengalensis
MT726204,17-AUG-2020,17279,Pagodroma nivea
MN918717,28-JUL-2020,16996,Erythrogenys gravivox dedekensi
MN996304,25-JUL-2020,17117,Centropus bengalensis
NC_048497,01-JUN-2020,18038,Hirundo tahitica
MH727533,01-JUL-2020,16798,Haematopus ostralegus
MF683387,30-JUN-2020,16908,Gyps coprotheres
MG883743,13-JUN-2020,16689,Tringa nebularia
NC_046765,10-APR-2020,16773,Limosa lapponica
NC_046764,10-APR-2020,16732,Calidris tenuirostris
MT181966,04-MAY-2020,16861,Petroica multicolor
MN998652,04-MAY-2020,17303,Apteryx rowi
MH049432,31-MAR-2020,16924,Montifringilla henrici
MN857545,25-MAR-2020,16678,Chrysolophus pictus
NC_046029,07-MAR-2020,16921,Corvus dauuricus
MK341549,09-MAR-2020,16773,Limosa lapponica
MK341548,09-MAR-2020,16732,Calidris tenuirostris
NC_045517,13-JAN-2020,16848,Aethia cristatella
MN481404,26-NOV-2019,16722,Agapornis personatus
MN735458,03-FEB-2020,16921,Corvus dauuricus
MN125373,15-JAN-2020,16904,Phylloscopus borealoides
MN217252,12-JAN-2020,16829,Motacilla tschutschensis
MK992912,12-JAN-2020,16775,Calidris tenuirostris
MN515396,12-JAN-2020,17855,Lorius chlorocercus
NC_045401,12-DEC-2019,16941,Fulvetta ruficapilla
NC_045387,12-DEC-2019,17862,Siva cyanouroptera
NC_045381,12-DEC-2019,16857,Corvus pectoralis
NC_045378,12-DEC-2019,16883,Psittacula alexandri
NC_045377,12-DEC-2019,17477,Aptenodytes patagonicus
NC_045375,12-DEC-2019,18026,Muscicapa latirostris
NC_045374,12-DEC-2019,17879,Muscicapa sibirica
NC_045373,12-DEC-2019,16600,Mareca strepera
NC_045372,12-DEC-2019,17103,Picus canus
NC_045371,12-DEC-2019,16983,Aratinga nenday
NC_045369,12-DEC-2019,16720,Agapornis lilianae
NC_045368,12-DEC-2019,16722,Agapornis pullarius
NC_045367,12-DEC-2019,16718,Agapornis nigrigenis
NC_045364,12-DEC-2019,18454,Accipiter trivirgatus
NC_045282,12-DEC-2019,16708,Sterna paradisaea
MK051002,01-JAN-2020,16908,Horornis fortipes
MN069302,15-DEC-2019,16927,Corvus macrorhynchos intermedius
MK513447,11-DEC-2019,16879,Phylloscopus occisinensis
NC_045181,25-NOV-2019,17897,Muscicapa griseisticta
MN337912,08-DEC-2019,16848,Aethia cristatella
MK408609,08-DEC-2019,17897,Heterophasia melanoleuca
MK988446,01-DEC-2019,16941,Fulvetta ruficapilla
MK779708,27-NOV-2019,17862,Siva cyanouroptera
MN196537,27-NOV-2019,16705,Threskiornis aethiopicus
MN196536,27-NOV-2019,16939,Threskiornis aethiopicus
MN196535,27-NOV-2019,16947,Threskiornis aethiopicus
MN196534,27-NOV-2019,16903,Threskiornis aethiopicus
MN196533,27-NOV-2019,16907,Threskiornis aethiopicus
MN196532,27-NOV-2019,16960,Threskiornis aethiopicus
MN196531,27-NOV-2019,16960,Threskiornis aethiopicus
MN196530,27-NOV-2019,16959,Threskiornis aethiopicus
MN196529,27-NOV-2019,16944,Threskiornis aethiopicus
MN196528,27-NOV-2019,16959,Threskiornis aethiopicus
MN196527,27-NOV-2019,16942,Threskiornis aethiopicus
MN196526,27-NOV-2019,16870,Threskiornis aethiopicus
MN196525,27-NOV-2019,16959,Threskiornis aethiopicus
MN196524,27-NOV-2019,16945,Threskiornis aethiopicus
MN196523,27-NOV-2019,16889,Threskiornis aethiopicus
MN196522,27-NOV-2019,16945,Threskiornis aethiopicus
MN196521,27-NOV-2019,16954,Threskiornis aethiopicus
MN196520,27-NOV-2019,16955,Threskiornis aethiopicus
MN196519,27-NOV-2019,16924,Threskiornis aethiopicus
MN196518,27-NOV-2019,16959,Threskiornis aethiopicus
MN196517,27-NOV-2019,16935,Threskiornis aethiopicus
MN196516,27-NOV-2019,16955,Threskiornis aethiopicus
MN196515,27-NOV-2019,16960,Threskiornis aethiopicus
MN196514,27-NOV-2019,16934,Threskiornis aethiopicus
MN196513,27-NOV-2019,16731,Threskiornis aethiopicus
MN196512,27-NOV-2019,16889,Threskiornis aethiopicus
MN196511,27-NOV-2019,16856,Threskiornis aethiopicus
MN196510,27-NOV-2019,16957,Threskiornis aethiopicus
MN196509,27-NOV-2019,16878,Threskiornis aethiopicus
MN196508,27-NOV-2019,16906,Threskiornis aethiopicus
MN196507,27-NOV-2019,16922,Threskiornis aethiopicus
MN196506,27-NOV-2019,16883,Threskiornis aethiopicus
MN196505,27-NOV-2019,16893,Threskiornis aethiopicus
MN196504,27-NOV-2019,16876,Threskiornis aethiopicus
MN196503,27-NOV-2019,16862,Threskiornis aethiopicus
MN196502,27-NOV-2019,16932,Threskiornis aethiopicus
MN196501,27-NOV-2019,16959,Threskiornis aethiopicus
MN196500,27-NOV-2019,16911,Threskiornis aethiopicus
MN196499,27-NOV-2019,16903,Threskiornis aethiopicus
MN196498,27-NOV-2019,16960,Threskiornis aethiopicus
MN310552,27-NOV-2019,16857,Corvus pectoralis
MK818509,26-NOV-2019,17787,Ciconia nigra
MK986660,26-NOV-2019,16883,Psittacula alexandri
MK801135,26-NOV-2019,17477,Aptenodytes patagonicus
MK770602,26-NOV-2019,18026,Muscicapa latirostris
MK770601,26-NOV-2019,17879,Muscicapa sibirica
MN186586,26-NOV-2019,16600,Mareca strepera
MK348064,26-NOV-2019,17103,Picus canus
MN047457,26-NOV-2019,16813,Nipponia nippon
MK940810,26-NOV-2019,17862,Siva cyanouroptera
MK965540,26-NOV-2019,16983,Aratinga nenday
MN481406,26-NOV-2019,16720,Agapornis lilianae
MN481405,26-NOV-2019,16718,Agapornis nigrigenis
MK953813,26-NOV-2019,18454,Accipiter trivirgatus
MK714020,26-NOV-2019,16947,Corvus corone orientalis
MK714019,26-NOV-2019,16821,Chlamydotis macqueenii
MK946458,23-NOV-2019,16708,Sterna paradisaea
MK390479,19-NOV-2019,17897,Muscicapa griseisticta
MK102803,11-NOV-2019,16738,Anser cygnoides
NC_045042,29-OCT-2019,18450,Aquila nipalensis
KX977449,25-OCT-2019,16963,Seicercus burkii
MK860035,22-OCT-2019,18450,Aquila nipalensis
MN125374,15-OCT-2019,16791,Ficedula albicilla
NC_044743,21-SEP-2019,16691,Polyplectron malacense
NC_044665,21-SEP-2019,16835,Tringa guttifer
NC_044651,21-SEP-2019,16682,Tringa nebularia
NC_044648,21-SEP-2019,16818,Tringa totanus
MK778441,07-OCT-2019,17043,Anomalopteryx didiformis
MK770342,30-SEP-2019,16604,Anas platyrhynchos
NC_042414,06-JUN-2019,16924,Montifringilla henrici
MN240360,01-SEP-2019,16691,Polyplectron malacense
MK460251,25-AUG-2019,16682,Tringa nebularia
MK905885,25-AUG-2019,16835,Tringa guttifer
MK922124,25-AUG-2019,16818,Tringa totanus
NC_043899,22-JUL-2019,17312,Daption capense
NC_042683,25-JUN-2019,16864,Dendrocopos darjellensis
MH924023,25-JUN-2019,17312,Daption capense
MK335535,19-JUN-2019,16864,Dendrocopos darjellensis
MK335534,19-JUN-2019,16847,Dendrocopos canicapillus
NC_042191,12-MAY-2019,16851,Culicicapa ceylonensis
MK433296,20-MAY-2019,16785,Sporophila angolensis
MK183040,08-MAY-2019,16924,Montifringilla henrici
NC_041422,10-APR-2019,17835,Otus sunia
MK170187,10-APR-2019,17023,Hydrobates castro
NC_041257,26-MAR-2019,16966,Psittacara leucophthalmus
NC_041251,26-MAR-2019,17065,Hydrobates castro
NC_041197,18-MAR-2019,16896,Artamus cinereus
NC_041165,18-MAR-2019,17066,Gavia arctica
NC_041141,18-MAR-2019,17871,Trochalopteron milnei
NC_041121,18-MAR-2019,16843,Dendrocopos canicapillus
NC_041118,18-MAR-2019,16905,Charadrius alexandrinus
NC_041111,18-MAR-2019,16807,Cardellina canadensis
NC_041109,18-MAR-2019,16871,Anthus richardi
NC_041095,18-MAR-2019,16754,Turdus kessleri
MK342599,27-MAR-2019,16177,Gavia pacifica
MK434261,27-MAR-2019,15535,Canirallus oculeus
MK434260,27-MAR-2019,15579,Aramus guarauna
MK434259,27-MAR-2019,15676,Psophia crepitans
MH880820,25-MAR-2019,16851,Culicicapa ceylonensis
NC_026039,10-JAN-2015,16984,Aratinga solstitialis
NC_026031,10-JAN-2015,17008,Guaruba guarouba
MH732978,02-MAR-2019,16785,Gallus gallus
NC_040991,27-FEB-2019,17817,Yuhina nigrimenta
NC_040990,27-FEB-2019,16860,Calidris ruficollis
NC_040956,27-FEB-2019,17044,Rhagologus leucostigma
MK133022,02-MAR-2019,16741,Anser cygnoides
MK133021,02-MAR-2019,16743,Anser anser
MF346692,26-FEB-2019,17835,Otus sunia
NC_040875,13-FEB-2019,16777,Parus major
NC_040850,13-FEB-2019,16709,Lophophorus impejanus
NC_040290,06-FEB-2019,16812,Oenanthe isabellina
MF784399,19-FEB-2019,17044,Rhagologus leucostigma
MH433599,18-FEB-2019,17065,Hydrobates castro
MF784400,16-FEB-2019,16896,Artamus cinereus
MF975712,09-FEB-2019,16709,Lophophorus impejanus
MH064399,09-FEB-2019,17066,Gavia arctica
MH238447,04-FEB-2019,17871,Trochalopteron milnei
MK015644,04-FEB-2019,16843,Dendrocopos canicapillus
MF565382,02-FEB-2019,16905,Charadrius alexandrinus
MK033135,30-JAN-2019,16807,Cardellina canadensis
MH593382,30-JAN-2019,16871,Anthus richardi
MG736926,01-FEB-2019,16860,Calidris ruficollis
KF444466,01-FEB-2019,16966,Psittacara leucophthalmus
JX441869,30-DEC-2014,16984,Aratinga solstitialis
JQ782217,30-DEC-2014,17008,Guaruba guarouba
MG912943,27-JAN-2019,16754,Turdus kessleri
MH047559,27-JAN-2019,16813,Chloris sinica ussuriensis
MH916608,25-JAN-2019,17817,Yuhina nigrimenta
MH638304,20-JAN-2019,16777,Parus major
KU097327,18-JAN-2019,16812,Oenanthe isabellina
KY765409,31-DEC-2018,16714,Phalaropus lobatus
KU237286,31-DEC-2018,20173,Circus cyaneus
MG583885,26-DEC-2018,16683,Tetrao urogallus aquitanicus
NC_040154,14-DEC-2018,18982,Eolophus roseicapillus
NC_040142,14-DEC-2018,19041,Cacatua pastinator
NC_039950,03-DEC-2018,17842,Rhyticeros undulatus
NC_039888,09-NOV-2018,16740,Anser albifrons frontalis
NC_039842,09-NOV-2018,17464,Falco amurensis
NC_039818,09-NOV-2018,16817,Lanius tigrinus
NC_039814,09-NOV-2018,17337,Atlantisia rogersi
NC_039770,09-NOV-2018,16798,Geospiza magnirostris
NC_039736,09-NOV-2018,17555,Asio otus
NC_039536,06-NOV-2018,17109,Psittiparus gularis
MH879470,14-NOV-2018,16783,Gallus gallus
MG171195,10-NOV-2018,17842,Rhyticeros undulatus
MH133973,05-NOV-2018,19041,Cacatua pastinator
MH133972,05-NOV-2018,18863,Cacatua moluccensis
MH133971,05-NOV-2018,18982,Eolophus roseicapillus
MH133970,05-NOV-2018,18870,Probosciger aterrimus goliath
MH133969,05-NOV-2018,18826,Calyptorhynchus baudinii
MH133968,05-NOV-2018,19132,Nymphicus hollandicus
KX987839,31-OCT-2018,17464,Falco amurensis
MH000287,30-OCT-2018,16740,Anser albifrons frontalis
LC428205,17-OCT-2018,16817,Lanius tigrinus
MH029238,17-OCT-2018,17337,Atlantisia rogersi
NC_039396,10-OCT-2018,17838,Ixos mcclellandii
MG682351,14-OCT-2018,16798,Geospiza magnirostris
KX397391,01-OCT-2018,17109,Psittiparus gularis
KX640824,30-SEP-2018,17838,Ixos mcclellandii
MH744426,29-SEP-2018,16604,Anas platyrhynchos
KP893332,09-MAY-2015,18466,Tyto longimembris
MG916810,17-SEP-2018,17555,Asio otus
NC_039095,24-AUG-2018,17381,Gyps himalayensis
NC_038201,03-AUG-2018,17117,Buceros bicornis
KY594709,28-JUL-2018,17381,Gyps himalayensis
NC_037895,05-JUL-2018,16985,Ara tricolor
NC_037692,05-JUL-2018,16754,Emberiza leucocephalos
MG735217,07-JUL-2018,16678,Chrysolophus pictus
MF325011,30-JUN-2018,17117,Buceros bicornis
MF977813,29-MAY-2018,18037,Poicephalus gulielmi gulielmi
MG432917,09-MAY-2018,16985,Ara tricolor
MG432916,09-MAY-2018,16985,Ara tricolor
NC_037513,24-APR-2018,17160,Streptopelia decaocto
NC_037486,24-APR-2018,16928,Urocissa caerulea
MG596878,02-MAY-2018,17390,Buceros rhinoceros silvestris
MG932654,27-MAR-2018,16928,Urocissa caerulea
KY349099,30-APR-2018,16780,Schoeniclus elegans
KY827037,17-APR-2018,17102,Streptopelia orientalis
KY827036,17-APR-2018,17160,Streptopelia decaocto
KY349100,31-MAR-2018,16754,Emberiza leucocephalos
NC_037189,23-MAR-2018,16880,Abrornis proregulus
NC_036401,07-DEC-2017,16830,Lonchura grandis
NC_034839,02-JUN-2017,16928,Corvus cryptoleucus
MG605671,18-MAR-2018,16785,Gallus gallus
MF784450,12-MAR-2018,18540,Pionus chalcopterus chalcopterus
MG189603,17-FEB-2018,16880,Abrornis proregulus
KY767671,06-FEB-2018,16740,Anser cygnoides
KY767670,06-FEB-2018,17905,Ciconia nigra
NC_036408,07-DEC-2017,16826,Lonchura stygia
NC_036407,07-DEC-2017,16825,Lonchura spectabilis
NC_036406,07-DEC-2017,16826,Lonchura nigerrima
NC_036405,07-DEC-2017,16824,Lonchura nevermanni
NC_036404,07-DEC-2017,16824,Lonchura melaena
NC_036402,07-DEC-2017,16823,Lonchura hunsteini
NC_036400,07-DEC-2017,16823,Lonchura forbesi
NC_036399,07-DEC-2017,16824,Lonchura flaviprymna
NC_036398,07-DEC-2017,16823,Lonchura castaneothorax
NC_036397,07-DEC-2017,16826,Lonchura caniceps
NC_036396,07-DEC-2017,16833,Lonchura leucosticta
NC_036337,16-NOV-2017,16658,Spheniscus humboldti
NC_036297,16-NOV-2017,16367,Spheniscus mendiculus
MF770484,15-NOV-2017,16832,Lonchura stygia
MF770483,15-NOV-2017,16831,Lonchura stygia
MF770482,15-NOV-2017,16830,Lonchura stygia
MF770481,15-NOV-2017,16828,Lonchura stygia
MF770480,15-NOV-2017,16826,Lonchura stygia
MF770479,15-NOV-2017,16827,Lonchura stygia
MF770478,15-NOV-2017,16826,Lonchura stygia
MF770477,15-NOV-2017,16827,Lonchura stygia
MF770476,15-NOV-2017,16827,Lonchura stygia
MF770475,15-NOV-2017,16826,Lonchura stygia
MF770474,15-NOV-2017,16823,Lonchura spectabilis
MF770473,15-NOV-2017,16824,Lonchura spectabilis
MF770472,15-NOV-2017,16823,Lonchura spectabilis
MF770471,15-NOV-2017,16823,Lonchura spectabilis
MF770470,15-NOV-2017,16823,Lonchura spectabilis
MF770469,15-NOV-2017,16824,Lonchura spectabilis
MF770468,15-NOV-2017,16822,Lonchura spectabilis
MF770467,15-NOV-2017,16823,Lonchura spectabilis
MF770466,15-NOV-2017,16823,Lonchura spectabilis
