accession,submission_date,sequence_length,organism
MT428068,31-OCT-2020,16714,Astyanax sp. n. IRO-2020
MT428067,31-OCT-2020,16763,Astyanax lacustris
MN617828,28-OCT-2020,16472,Favonigobius reichei
MT800513,05-SEP-2020,16600,Chromis notata
MT066232,05-SEP-2020,16826,Hypostomus ancistroides
MT396945,05-SEP-2020,17066,Hypostomus sp. LAGEEVO-1744
MT428074,23-AUG-2020,16752,Brycon nattereri
MT428073,23-AUG-2020,16837,Brycon nattereri
NC_049098,28-JUN-2020,16526,Corydoras trilineatus
MT478052,13-JUN-2020,16526,Corydoras trilineatus
MK600518,18-MAY-2020,16462,Zenarchopterus buffonis
MT333789,18-MAY-2020,16706,Notropis lutipinnis
NC_036233,04-NOV-2017,16482,Ompok bimaculatus
KY887474,24-OCT-2017,16482,Ompok bimaculatus
EU650204,31-DEC-2008,19527,Nothobranchius furzeri
NC_030610,12-JUL-2016,16899,Macrhybopsis hyostoma
KX139437,27-JUN-2016,16899,Macrhybopsis hyostoma
NC_028088,14-OCT-2015,16500,Cyprinodon variegatus
NC_028087,14-OCT-2015,16709,Pimephales promelas
KT288182,06-OCT-2015,16500,Cyprinodon variegatus
KT278765,06-OCT-2015,16709,Pimephales promelas
JQ838173,05-JUN-2012,16594,Cirrhinus mrigala
NC_015545,17-MAY-2011,16496,Nannoperca obscura
NC_015542,17-MAY-2011,16494,Nannoperca australis
NC_011814,05-JAN-2009,19527,Nothobranchius furzeri
JF519733,04-MAY-2011,16496,Nannoperca obscura
JF519732,04-MAY-2011,16494,Nannoperca australis
NC_051931,10-DEC-2020,16537,Grammatorcynus bilineatus
MN909969,28-NOV-2020,16783,Scatophagus argus
MN909968,28-NOV-2020,16635,Acanthopagrus latus
MN909967,28-NOV-2020,17111,Boleophthalmus pectinirostris
NC_050685,09-OCT-2020,18273,Notothenia rossii
MN893242,31-AUG-2020,18273,Notothenia rossii
MT561534,12-OCT-2020,15621,Hapalogenys analis
NC_050164,17-AUG-2020,16620,Sphyraena pinguis
MN864240,09-SEP-2020,17649,Trematomus lepidorhinus
MT680627,04-SEP-2020,16537,Grammatorcynus bilineatus
NC_049890,24-JUL-2020,16498,Neodontobutis hainanensis
MN737591,16-AUG-2020,16507,Lepidotrigla hime
MT198690,22-JUL-2020,16498,Neodontobutis hainanensis
MT198689,22-JUL-2020,16496,Perccottus glenii
MN967008,13-JUL-2020,16620,Sphyraena pinguis
NC_047455,26-APR-2020,16593,Acrossocheilus longipinnis
NC_047290,26-APR-2020,16495,Siniperca fortis
NC_046763,10-APR-2020,16606,Lepidotrigla hime
MK296412,21-APR-2020,16593,Acrossocheilus longipinnis
MN857459,06-APR-2020,16495,Siniperca fortis
MN104592,09-MAR-2020,16606,Lepidotrigla hime
MK537324,03-MAR-2020,16510,Jaydia lineata
MH638324,15-FEB-2020,16530,Cottus dzungaricus
MN530963,15-DEC-2019,16652,Salvelinus alpinus
MN530962,15-DEC-2019,16652,Salvelinus alpinus
MN530961,15-DEC-2019,16652,Salvelinus malma
MN530960,15-DEC-2019,16652,Salvelinus malma
MN530959,15-DEC-2019,16652,Salvelinus malma
MK135435,14-OCT-2019,16572,Formosania chenyiyui
NC_044859,26-SEP-2019,16397,Trichopodus pectoralis
MG739437,05-JUN-2019,16434,Thamnaconus hypargyreus
MG739435,05-JUN-2019,16504,Choerodon schoenleinii
NC_042203,12-MAY-2019,16539,Etheostoma spectabile
MK243404,07-APR-2019,16539,Etheostoma spectabile
NC_037712,05-JUL-2018,16696,Prochilodus vimboides
KY296449,20-MAY-2018,16696,Prochilodus vimboides
MG515171,08-APR-2018,16843,Abalistes stellaris
NC_037144,23-MAR-2018,16503,Rhinogobius rubromaculatus
NC_037143,23-MAR-2018,16500,Exyrias puntang
NC_037142,23-MAR-2018,16472,Brachygobius doriae
NC_037141,23-MAR-2018,16681,Bathygobius coalitus
KU674802,13-FEB-2018,16503,Rhinogobius rubromaculatus
KU674801,13-FEB-2018,16500,Exyrias puntang
KU674800,13-FEB-2018,16472,Brachygobius doriae
KU674799,13-FEB-2018,16681,Bathygobius coalitus
MF972070,03-FEB-2018,16607,Siphateles bicolor mohavensis
MG718032,17-JAN-2018,17522,Liparis ochotensis
NC_036056,18-OCT-2017,17016,Odontobutis haifengensis
MF383619,01-OCT-2017,17016,Odontobutis haifengensis
NC_035427,14-JUL-2017,17199,Calotomus japonicus
KY606170,07-JUN-2017,16397,Trichopodus pectoralis
KY606169,07-JUN-2017,16397,Trichopodus pectoralis
KY606168,07-JUN-2017,16235,Trichopodus pectoralis
NC_032692,05-JAN-2017,16569,Triplophysa stenura
NC_032385,27-DEC-2016,16587,Sinocyclocheilus ronganensis
KX898434,21-DEC-2016,16511,Rhinogobius cliffordpopei
KX354975,18-DEC-2016,16569,Triplophysa stenura
KX347977,18-DEC-2016,16533,cf. Bagridae sp. XL-2016
KX778473,13-DEC-2016,16587,Sinocyclocheilus ronganensis
KX588239,04-OCT-2016,16563,Yaoshania pachychilus
KU380329,25-SEP-2016,16574,Neolissochilus hexagonolepis
NC_025638,14-NOV-2014,16890,Ponticola kessleri
EU861054,30-JUN-2009,16550,Branchiostegus argentatus
EU861053,30-JUN-2009,16532,Branchiostegus albus
EU861052,30-JUN-2009,16541,Branchiostegus japonicus
EU339148,12-DEC-2008,16796,Trichiurus japonicus
DQ321752,01-JUL-2006,16531,Liobagrus obesus
DQ155662,01-MAR-2006,16817,Rhodeus uyekii
DQ010651,31-DEC-2007,17588,Odontobutis platycephala
AY886762,31-JAN-2005,16658,Oncorhynchus clarkii henshawi
NC_023376,23-JAN-2014,16449,Rita rita
KF670723,19-JAN-2014,16449,Rita rita
GU452728,30-JAN-2010,17301,Sebastiscus marmoratus
NC_030481,12-JUL-2016,17009,Odontamblyopus rebecca
KM583832,02-NOV-2014,16890,Ponticola kessleri
KT633954,30-JUN-2016,17004,Odontamblyopus sp. ZL-2016
KT633953,30-JUN-2016,17009,Odontamblyopus rebecca
KU160626,29-JUN-2016,16588,Creteuchiloglanis gongshanensis
KT268317,01-JUN-2016,16594,Schizopygopsis malacanthus
KU233186,27-MAR-2016,16478,Barbonymus schwanefeldii
NC_029722,28-MAR-2016,16624,Chanodichthys ilishaeformis
NC_029709,28-MAR-2016,16537,Glyptothorax zanaensis
NC_029708,28-MAR-2016,16584,Schizothorax grahami
KU200257,08-MAR-2016,16624,Chanodichthys ilishaeformis
NC_029423,01-MAR-2016,16572,Triplophysa dorsalis
KU212205,05-MAR-2016,16537,Glyptothorax zanaensis
KU234535,05-MAR-2016,16584,Schizothorax grahami
NC_029157,12-FEB-2016,16588,Hemisalanx brachyrostralis
NC_029171,12-FEB-2016,16668,Platypharodon extremus
NC_029156,12-FEB-2016,16588,Salanx cuvieri
NC_028723,17-DEC-2015,16495,Pterophyllum altum
KT241024,07-FEB-2016,16572,Triplophysa dorsalis
KJ789858,31-DEC-2015,16668,Platypharodon extremus
KJ645979,31-DEC-2015,16588,Hemisalanx brachyrostralis
KJ645978,31-DEC-2015,16588,Salanx cuvieri
KT180164,28-NOV-2015,16495,Pterophyllum altum
KT633607,07-NOV-2015,16677,Salmo trutta fario
NC_027965,07-OCT-2015,16543,Symphysodon haraldi
NC_027953,07-OCT-2015,16583,Protomelas annectens
KT215609,09-SEP-2015,16543,Symphysodon haraldi
KT188786,08-SEP-2015,16583,Protomelas annectens
KP257293,29-APR-2015,16588,Acrossocheilus parallens
KF826087,20-OCT-2014,16622,Chanodichthys mongolicus
NC_026714,17-MAR-2015,16590,Triplophysa strauchii
KP297875,07-MAR-2015,16590,Triplophysa strauchii
KM277942,01-JUL-2015,16909,Odontobutis yaluensis
JN244650,16-AUG-2011,16532,Tridentiger bifasciatus
KP833628,14-APR-2015,16538,Aethaloperca rogaa
NC_026284,31-JAN-2015,16937,Pelotretis flavilatus
KC554065,25-JAN-2015,16937,Pelotretis flavilatus
KP009977,14-JAN-2015,16696,Epinephelus moara
NC_025565,14-NOV-2014,16566,Megalaspis cordyla
NC_025555,14-NOV-2014,16622,Oreochromis esculentus
KM522836,27-OCT-2014,16566,Megalaspis cordyla
KM654981,26-OCT-2014,16622,Oreochromis esculentus
NC_024934,24-SEP-2014,16594,Acrossocheilus stenotaeniatus
KJ909660,17-SEP-2014,16594,Acrossocheilus stenotaeniatus
KF039718,07-AUG-2013,16630,Xenocypris davidi
NC_024580,28-JUL-2014,16561,Platax teira
NC_024433,24-JUN-2014,16499,Siniperca undulata
NC_024432,24-JUN-2014,16504,Siniperca roulei
KJ668153,28-JUN-2014,16561,Platax teira
KJ644783,21-JUN-2014,16499,Siniperca undulata
KJ644782,21-JUN-2014,16504,Siniperca roulei
KJ101556,19-MAR-2014,16754,Plectropomus leopardus
NC_023799,13-MAR-2014,16595,Onychostoma macrolepis
KC287172,10-MAR-2014,16527,Tachysurus fulvidraco
JF911713,30-APR-2012,16550,Opistognathus jacksoniensis
KF999680,08-MAR-2014,16595,Onychostoma macrolepis
NC_021446,10-JUN-2013,16772,Anodontostoma chacunda
KF021242,10-NOV-2013,16611,Echeneis naucrates
KC495071,19-MAR-2013,18562,Chaeturichthys stigmatias
JX135579,30-DEC-2012,16545,Hyporthodus octofasciatus
KC466691,19-MAY-2013,16772,Anodontostoma chacunda
JX119192,31-DEC-2012,16648,Epinephelus fuscoguttatus
KC196075,29-JAN-2013,16486,Amoya chusanensis
KC196074,29-JAN-2013,17098,Acentrogobius chlorostigmatoides
KC237282,29-JAN-2013,16584,Oxyurichthys formosanus
HM754620,11-AUG-2010,16478,Hapalogenys nigripinnis
JQ230103,12-SEP-2012,16591,Leptobotia elongata
JX844592,10-NOV-2012,16602,Alburnus tarichi
JX844591,10-NOV-2012,16612,Alburnus istanbulensis
NC_013812,16-FEB-2010,17301,Sebastiscus marmoratus
NC_012907,01-JUL-2009,16550,Branchiostegus argentatus
NC_012905,01-JUL-2009,16532,Branchiostegus albus
NC_012904,01-JUL-2009,16541,Branchiostegus japonicus
NC_007885,08-MAR-2006,16817,Rhodeus uyekii
NC_011719,17-DEC-2008,16796,Trichiurus japonicus
NC_008232,04-JUL-2006,16531,Liobagrus obesus
NC_008223,28-JUN-2006,16550,Squalogadus modificatus
NC_008224,28-JUN-2006,16677,Trachyrincus murrayi
HM746660,01-JAN-2011,16527,Tachysurus vachellii
HM746659,01-JAN-2011,16532,Tachysurus nitidus
GU586227,07-MAR-2010,16470,Larimichthys polyactis
FJ594964,31-DEC-2009,16686,Epinephelus bruneus
MW151226,22-DEC-2020,16499,Epinephelus moara x Hyporthodus septemfasciatus
MW256713,21-DEC-2020,16529,Exostoma gaoligongense
MT783421,21-DEC-2020,16570,Homatula pycnolepis
MW039154,21-DEC-2020,16584,Heniochus acuminatus
MW248468,19-DEC-2020,17097,Sillago japonica
NC_051981,10-DEC-2020,16883,Setipinna tenuifilis
NC_051965,10-DEC-2020,16627,Microphysogobio tungtingensis
NC_051963,10-DEC-2020,16657,Ancistrus temminckii
NC_051884,10-DEC-2020,16551,Carangoides plagiotaenia
MN794204,13-DEC-2020,16606,Pseudocrossocheilus tridentis
MW217571,09-DEC-2020,16518,Silurus grahami
MT922005,09-DEC-2020,16555,Gnathanodon speciosus
KT991518,30-NOV-2020,16606,Gobio cynocephalus
MT536775,28-NOV-2020,16593,Discogobio macrophysallidos
MT667256,25-NOV-2020,16729,Esox masquinongy
MT667255,25-NOV-2020,16602,Semotilus corporalis
MT667254,25-NOV-2020,16659,Oncorhynchus mykiss
MT667253,25-NOV-2020,16485,Lepomis cyanellus
MT667252,25-NOV-2020,16783,Esox americanus americanus
MT667251,25-NOV-2020,16676,Anguilla rostrata
MT667250,25-NOV-2020,16503,Lepomis gibbosus
MT667249,25-NOV-2020,16647,Misgurnus anguillicaudatus
MT667248,25-NOV-2020,16605,Gymnocephalus cernua
MT667247,25-NOV-2020,16657,Rhinichthys cataractae
MT667246,25-NOV-2020,17424,Morone americana
MT667245,25-NOV-2020,16646,Alosa aestivalis
MT667244,25-NOV-2020,16775,Esox niger
MT667243,25-NOV-2020,16612,Tinca tinca
MT667242,25-NOV-2020,16717,Luxilus cornutus
MT667241,25-NOV-2020,17303,Morone americana
MT667240,25-NOV-2020,16739,Dorosoma cepedianum
MT667239,25-NOV-2020,16648,Rhinichthys osculus thermalis
MT667238,25-NOV-2020,16625,Acipenser fulvescens
MT667237,25-NOV-2020,16785,Esox americanus vermiculatus
MT667236,25-NOV-2020,16758,Esox lucius
MT667235,25-NOV-2020,16820,Coregonus hoyi
NC_051547,22-NOV-2020,16980,Betta mahachaiensis
NC_051534,22-NOV-2020,17224,Sternoptyx diaphana
NC_051522,22-NOV-2020,16738,Yasuhikotakia eos
NC_051499,22-NOV-2020,16847,Ilisha striatula
NC_051497,22-NOV-2020,16801,Pomacentrus moluccensis
MT136763,21-NOV-2020,16594,Cirrhinus mrigala
NC_050979,27-OCT-2020,16576,Balitora ludongensis
NC_050978,27-OCT-2020,16598,Prolixicheilus longisulcus
NC_050964,27-OCT-2020,16978,Inimicus japonicus
NC_050921,27-OCT-2020,17130,Cynoglossus nanhaiensis
NC_050885,27-OCT-2020,16597,Pseudoscaphirhynchus kaufmanni
NC_050876,27-OCT-2020,17417,Hyphessobrycon herbertaxelrodi
MT647840,14-NOV-2020,16524,Tachysurus virgatus
MT449680,11-NOV-2020,16601,Onychostoma lepturum
MN725725,03-NOV-2020,16621,Megalobrama terminalis
MK680823,02-NOV-2020,16957,Trachyrhamphus serratus
MK704428,02-NOV-2020,16530,Solegnathus spinosissimus
MW026682,01-NOV-2020,16501,Chrysochir aureus
MN683735,31-OCT-2020,16676,Acheilognathus chankaensis
MN604279,28-OCT-2020,16569,Lycodes raridens
MN598560,28-OCT-2020,16583,Neolissochilus benasi
MN123555,27-OCT-2020,16596,Parasinilabeo longicorpus
MT942974,23-OCT-2020,16523,Dictyosoma burgeri
MT221437,05-MAY-2020,16529,Hippocampus kuda
MT221436,05-MAY-2020,16529,Hippocampus kuda
LC583747,17-OCT-2020,17443,Verasper moseri
MW007386,22-OCT-2020,16675,Rhodeus ocellatus
MW007385,12-OCT-2020,16779,Ostorhinchus novemfasciatus
MN862482,12-OCT-2020,16597,Cirrhinus reba
MT709279,12-OCT-2020,16648,Epinephelus fuscoguttatus x Epinephelus polyphekadion
MT709278,12-OCT-2020,16559,Hyporthodus septemfasciatus x Epinephelus lanceolatus
MN241814,12-OCT-2020,16565,Sinogastromyzon szechuanensis
MN841276,12-OCT-2020,17586,Trematomus bernacchii
MN841275,12-OCT-2020,16554,Cobitis hankugensis
MN841274,12-OCT-2020,16608,Tanakia lanceolata
MT789711,12-OCT-2020,16736,Myoxocephalus quadricornis
MT588183,12-OCT-2020,16620,Ancherythroculter nigrocauda
MT527960,12-OCT-2020,16576,Percocypris tchangi retrodorslis
MT682637,12-OCT-2020,16980,Betta mahachaiensis
MT588184,12-OCT-2020,17224,Sternoptyx diaphana
MT478137,12-OCT-2020,16612,Hemibarbus labeo
MT800510,06-OCT-2020,16738,Yasuhikotakia eos
MK391600,05-OCT-2020,16847,Ilisha striatula
MT410992,05-OCT-2020,16801,Pomacentrus moluccensis
MT157616,30-SEP-2020,16576,Balitora ludongensis
MT157615,30-SEP-2020,16598,Prolixicheilus longisulcus
MT375601,30-SEP-2020,16978,Inimicus japonicus
MT024680,28-SEP-2020,16597,Onychostoma macrolepis
MT117229,28-SEP-2020,17130,Cynoglossus nanhaiensis
NC_050397,15-SEP-2020,16623,Megalobrama amblycephala x Elopichthys bambusa
NC_029362,01-MAR-2016,16515,Embiotoca jacksoni
MN746333,23-SEP-2020,16597,Pseudoscaphirhynchus kaufmanni
MT769327,23-SEP-2020,17417,Hyphessobrycon herbertaxelrodi
MK843301,22-SEP-2020,16535,Pseudecheneis sulcata
MT374064,15-SEP-2020,16476,Hapalogenys nigripinnis
MN966658,09-SEP-2020,16565,Cynoglossus roulei
MN266873,09-SEP-2020,16593,Acrossocheilus wenchowensis
MN337034,08-SEP-2020,16928,Epinephelus akaara x Epinephelus tukula
MN879323,08-SEP-2020,16801,Epinephelus awoara x Epinephelus tukula
MT081402,05-SEP-2020,16505,Hypostomus sp. LAGEEVO-1737
MT249227,02-SEP-2020,16622,Culter alburnus x Megalobrama terminalis
KU530212,26-JAN-2016,16515,Embiotoca jacksoni
MT764773,26-AUG-2020,16883,Setipinna tenuifilis
MN970213,26-AUG-2020,16627,Microphysogobio tungtingensis
MT528234,26-AUG-2020,16657,Ancistrus temminckii
MN422094,25-AUG-2020,16667,Gymnodiptychus dybowskii
MN413609,25-AUG-2020,16765,Diptychus maculatus
MT785310,24-AUG-2020,16612,Hemibarbus labeo
MN937450,22-AUG-2020,16717,Sirembo imberbis
NC_049573,13-JUL-2020,16560,Erromyzon sinensis
MK577778,18-AUG-2020,16623,Megalobrama amblycephala x Elopichthys bambusa
MT677872,16-AUG-2020,16551,Carangoides plagiotaenia
MT471265,04-AUG-2020,16770,Ilisha elongata
MK900633,04-AUG-2020,16620,Barbatula toni
MT363639,23-MAY-2020,16500,Rhinogobius formosanus
MT363638,23-MAY-2020,16510,Jaydia lineata
MT363637,23-MAY-2020,16512,Hexagrammos agrammus
MT363636,23-MAY-2020,16577,Heros severus
NC_049151,28-JUN-2020,16618,Dentex hypselosomus
NC_049150,28-JUN-2020,17115,Nemipterus hexodon
NC_049095,28-JUN-2020,16667,Corydoras duplicareus
NC_048980,28-JUN-2020,17073,Thalassoma lunare
NC_048979,28-JUN-2020,16523,Chaetodon wiebeli
NC_048969,28-JUN-2020,16792,Arius dispar
NC_048965,28-JUN-2020,19374,Trematomus loennbergii
LR824131,10-JUL-2020,16916,Denticeps clupeoides
LR824036,10-JUL-2020,16706,Acipenser ruthenus
LR822063,10-JUL-2020,17024,Parambassis ranga
NC_030324,17-JUN-2016,16494,Scaphirhynchus albus
MN864250,04-JUL-2020,16604,Gobio coriparoides
MH644034,01-JUL-2020,16568,Pseudogastromyzon fangi
MH644033,01-JUL-2020,16593,Leptobotia punctata
MH363710,01-JUL-2020,16649,Acanthopagrus schlegelii x Pagrus major
MT258987,29-JUN-2020,16666,Acanthogobius stigmothonus
MN937193,24-JUN-2020,16455,Jaydia carinatus
MN794015,24-JUN-2020,17306,Xyrichtys novacula
MK227443,23-JUN-2020,18220,Phoxinus phoxinus
MK227442,23-JUN-2020,17665,Phoxinus phoxinus
MK978157,21-JUN-2020,16618,Dentex hypselosomus
MK978155,21-JUN-2020,17115,Nemipterus hexodon
MK726305,20-JUN-2020,16580,Cyprinus carpio haematopterus x Megalobrama amblycephala
MN205549,16-JUN-2020,16531,Channa striata
MK617319,16-JUN-2020,16584,Pareuchiloglanis myzostoma
MK801690,16-JUN-2020,16506,Auxis thazard
MN082047,16-JUN-2020,16432,Pseudecheneis immaculata
MH155188,15-JUN-2020,16560,Erromyzon sinensis
MH127918,15-JUN-2020,16496,Rhinogobius duospilus
MK675098,09-JUN-2020,16667,Corydoras duplicareus
MT447073,09-JUN-2020,19374,Trematomus loennbergii
MH460877,10-JUN-2020,16792,Arius dispar
MN709617,07-JUN-2020,16572,Sinibotia superciliaris
MN395748,07-JUN-2020,16590,Acrossocheilus yunnanensis
MH324427,16-APR-2019,16625,Catostomus commersonii
MH324426,16-APR-2019,16625,Catostomus commersonii
MH324425,16-APR-2019,16510,Ameiurus catus
MH324424,16-APR-2019,16511,Ameiurus catus
MH324423,16-APR-2019,16511,Ameiurus catus
MH324422,16-APR-2019,16860,Sander vitreus
MH324421,16-APR-2019,16655,Nocomis micropogon
MH324420,16-APR-2019,16496,Pomoxis nigromaculatus
MH324419,16-APR-2019,16496,Pomoxis nigromaculatus
MH324418,16-APR-2019,16708,Cyprinella leedsi
MH324417,16-APR-2019,16706,Cyprinella leedsi
MH301086,15-APR-2019,16856,Sander vitreus
MH301085,15-APR-2019,16872,Sander vitreus
MH301084,15-APR-2019,16849,Sander vitreus
MH301083,15-APR-2019,16872,Sander vitreus
MH301082,15-APR-2019,16782,Sander canadensis
MH301081,15-APR-2019,16498,Pomoxis nigromaculatus
MH301080,15-APR-2019,16540,Perca flavescens
MH301079,15-APR-2019,16539,Perca flavescens
MH301078,15-APR-2019,16540,Perca flavescens
MH301077,15-APR-2019,16539,Perca flavescens
MH301076,15-APR-2019,16486,Micropterus salmoides salmoides
MH301075,15-APR-2019,16486,Micropterus salmoides salmoides
MH301074,15-APR-2019,16487,Micropterus salmoides salmoides
MH301073,15-APR-2019,16480,Micropterus floridanus
MH301072,15-APR-2019,16480,Micropterus floridanus
MH301071,15-APR-2019,16480,Micropterus floridanus
MH301070,15-APR-2019,16480,Micropterus floridanus
MH301069,15-APR-2019,16512,Lepomis punctatus
MH301068,15-APR-2019,16486,Lepomis gulosus
MH301067,15-APR-2019,16486,Lepomis gulosus
MH301066,15-APR-2019,16500,Lepomis auritus
MH301065,15-APR-2019,16500,Lepomis auritus
MH301064,15-APR-2019,16687,Etheostoma olmstedi
MH301063,15-APR-2019,16707,Etheostoma olmstedi
MH301062,15-APR-2019,16627,Etheostoma olmstedi
MH301061,15-APR-2019,16639,Etheostoma olmstedi
MH301060,15-APR-2019,16686,Etheostoma flabellare
MH301059,15-APR-2019,16656,Etheostoma flabellare
MH301058,15-APR-2019,16736,Coregonus clupeaformis
MH301057,15-APR-2019,16739,Coregonus clupeaformis
MH301056,15-APR-2019,16917,Coregonus artedi
MH301055,15-APR-2019,16820,Coregonus artedi
MG570465,06-FEB-2018,16511,Ameiurus catus
MG570464,06-FEB-2018,16511,Ameiurus catus
MG570463,06-FEB-2018,16646,Alosa aestivalis
MG570462,06-FEB-2018,16643,Alosa mediocris
MG570461,06-FEB-2018,16500,Ictalurus furcatus
MG570460,06-FEB-2018,16499,Ictalurus furcatus
MG570459,06-FEB-2018,16704,Dorosoma cepedianum
MG570458,06-FEB-2018,16708,Pimephales notatus
MG570457,06-FEB-2018,16706,Pimephales notatus
MG570456,06-FEB-2018,16710,Notropis atherinoides
MG570455,06-FEB-2018,16710,Notropis atherinoides
MG570454,06-FEB-2018,16710,Pimephales promelas
MG570453,06-FEB-2018,16648,Exoglossum maxillingua
MG570452,06-FEB-2018,16710,Pimephales promelas
MG570451,06-FEB-2018,16709,Notropis bifrenatus
MG570450,06-FEB-2018,16706,Pimephales notatus
MG570449,06-FEB-2018,16717,Luxilus cornutus
MG570448,06-FEB-2018,16655,Rhinichthys cataractae
MG570447,06-FEB-2018,16717,Luxilus cornutus
MG570446,06-FEB-2018,16657,Rhinichthys cataractae
MG570445,06-FEB-2018,16646,Rhinichthys atratulus
MG570444,06-FEB-2018,16647,Rhinichthys atratulus
MG570443,06-FEB-2018,16715,Notropis hudsonius
MG570442,06-FEB-2018,16622,Catostomus catostomus
MG570441,06-FEB-2018,16622,Catostomus catostomus
MG570440,06-FEB-2018,16646,Alosa pseudoharengus
MG570439,06-FEB-2018,16646,Alosa pseudoharengus
MG570438,06-FEB-2018,16584,Notemigonus crysoleucas
MG570437,06-FEB-2018,16612,Ctenopharyngodon idella
MG570436,06-FEB-2018,16628,Minytrema melanops
MG570435,06-FEB-2018,16584,Cyprinus carpio
MG570434,06-FEB-2018,16700,Alosa sapidissima
MG570433,06-FEB-2018,16510,Ameiurus catus
MG570432,06-FEB-2018,16702,Cyprinella leedsi
MG570431,06-FEB-2018,16702,Cyprinella leedsi
MG570430,06-FEB-2018,16628,Minytrema melanops
MG570429,06-FEB-2018,16739,Dorosoma cepedianum
MG570428,06-FEB-2018,16584,Notemigonus crysoleucas
MG570427,06-FEB-2018,16582,Cyprinus carpio
MG570426,06-FEB-2018,16584,Cyprinus carpio
MG570425,06-FEB-2018,16584,Notemigonus crysoleucas
MG570424,06-FEB-2018,16625,Catostomus commersonii
MG570423,06-FEB-2018,16625,Catostomus commersonii
MG570422,06-FEB-2018,16698,Alosa sapidissima
MG570421,06-FEB-2018,16646,Alosa pseudoharengus
MG570420,06-FEB-2018,16706,Pimephales notatus
