accession,submission_date,sequence_length,organism
NC_003427,5-Mar-02,17020,Ursus arctos
NC_003426,5-Mar-02,16841,Ursus americanus
AJ421451,11-Jun-02,17036,Lemur catta
NC_004029,11-Jun-02,16565,Odobenus rosmarus rosmarus
NC_004030,11-Jun-02,16638,Eumetopias jubatus
NC_004028,11-Jun-02,17734,Lepus europaeus
NC_004027,11-Jun-02,16571,Phataginus tetradactyla
NC_004032,11-Jun-02,16395,Tamandua tetradactyla
NC_004026,11-Jun-02,16641,Macroscelides proboscideus
NC_004031,11-Jun-02,16748,Galeopterus variegatus
NC_004025,11-Jun-02,17036,Lemur catta
AJ428578,11-Jun-02,16638,Eumetopias jubatus
AJ428576,11-Jun-02,16565,Odobenus rosmarus rosmarus
AJ428577,11-Jun-02,16723,Ursus maritimus
AJ421453,11-Jun-02,16745,Tupaia belangeri
AJ421450,11-Jun-02,16395,Tamandua tetradactyla
AJ428849,11-Jun-02,16748,Galeopterus variegatus
AJ421454,11-Jun-02,16571,Phataginus tetradactyla
AJ421452,11-Jun-02,16641,Macroscelides proboscideus
AF527537,16-Jul-02,16354,Muntiacus reevesi
NC_004069,16-Jul-02,16354,Muntiacus reevesi
AF460846,10-Dec-02,16781,Galeopterus variegatus
AY172581,15-Dec-02,16313,Rattus norvegicus
AB074968,8-Jan-03,16337,Bos taurus
AB074967,8-Jan-03,16337,Bos taurus
AB074966,8-Jan-03,16338,Bos taurus
AB074965,8-Jan-03,16337,Bos taurus
AB074964,8-Jan-03,16337,Bos taurus
AB074963,8-Jan-03,16337,Bos taurus
AB074962,8-Jan-03,16337,Bos taurus
AY225986,4-Feb-03,16354,Muntiacus muntjak
NC_004563,11-Feb-03,16354,Muntiacus muntjak
AY239042,26-Feb-03,16357,Muntiacus crinifrons
NC_004577,6-Mar-03,16357,Muntiacus crinifrons
AB096867,25-Jun-03,16677,Elephantulus sp. VB001
AB096866,25-Jun-03,16652,Chrysochloris asiatica
AB096865,25-Jun-03,16743,Procavia capensis
NC_004921,2-Jul-03,16677,Elephantulus sp. VB001
NC_004920,2-Jul-03,16652,Chrysochloris asiatica
NC_004919,2-Jul-03,16743,Procavia capensis
AB099484,8-Jul-03,16579,Echinops telfairi
AB099483,8-Jul-03,16904,Urotrichus talpoides
AB099482,8-Jul-03,16814,Mogera wogura
AB099481,8-Jul-03,17283,Hemiechinus auritus
NC_005033,11-Jul-03,17283,Hemiechinus auritus
NC_005034,11-Jul-03,16904,Urotrichus talpoides
NC_005035,11-Jul-03,16814,Mogera wogura
AY339599,17-Jul-03,16300,Mus musculus
NC_005044,26-Jul-03,16643,Capra hircus
AY172335,5-Sep-03,16299,Mus musculus
NC_005089,9-Sep-03,16299,Mus musculus
NC_005129,9-Oct-03,16902,Elephas maximus
AF344830,13-Nov-03,17047,Acinonyx jubatus
NC_005212,17-Nov-03,17047,Acinonyx jubatus
AY463959,23-Nov-03,17011,Acinonyx jubatus
NC_005275,5-Dec-03,16324,Platanista minor
NC_005273,5-Dec-03,16346,Hyperoodon ampullatus
NC_005274,5-Dec-03,16346,Berardius bairdii
NC_005277,5-Dec-03,16593,Pontoporia blainvillei
NC_005279,5-Dec-03,16383,Monodon monoceros
NC_005272,5-Dec-03,16406,Kogia breviceps
NC_005278,5-Dec-03,16393,Lagenorhynchus albirostris
NC_005269,5-Dec-03,16383,Caperea marginata
NC_005268,5-Dec-03,16390,Balaena mysticetus
NC_005271,5-Dec-03,16417,Balaenoptera acutorostrata
NC_005270,5-Dec-03,16412,Eschrichtius robustus
NC_005280,5-Dec-03,16382,Phocoena phocoena
NC_005276,5-Dec-03,16588,Inia geoffrensis
AF486874,8-Dec-03,15976,Sus scrofa
AF486873,8-Dec-03,15978,Sus scrofa
AF486872,8-Dec-03,15977,Sus scrofa
AF486871,8-Dec-03,15977,Sus scrofa
AF486870,8-Dec-03,15977,Sus scrofa
AF486869,8-Dec-03,15977,Sus scrofa
AF486868,8-Dec-03,15977,Sus scrofa
AF486867,8-Dec-03,15977,Sus scrofa
AF486866,8-Dec-03,15978,Sus scrofa
AF486865,8-Dec-03,15978,Sus scrofa
AF486864,8-Dec-03,15977,Sus scrofa
AF486863,8-Dec-03,15976,Sus scrofa
AF486862,8-Dec-03,15977,Sus scrofa
AF486861,8-Dec-03,15978,Sus scrofa
AF486860,8-Dec-03,15977,Sus scrofa
AF486859,8-Dec-03,15978,Sus scrofa
AF486858,8-Dec-03,15978,Sus scrofa
AF486857,8-Dec-03,15978,Sus scrofa
AF486856,8-Dec-03,15977,Sus scrofa
AF486855,8-Dec-03,15979,Sus scrofa
NC_005314,13-Jan-04,16546,Jaculus jaculus
NC_005315,13-Jan-04,16408,Nannospalax ehrenbergi
NC_005358,28-Jan-04,16481,Ochotona princeps
AY533108,3-Feb-04,16299,Mus musculus
AY533107,3-Feb-04,16301,Mus musculus
AY533106,3-Feb-04,16301,Mus musculus
AY533105,3-Feb-04,16300,Mus musculus
AY526085,16-Feb-04,16338,Bos taurus
NC_005434,19-Feb-04,16869,Rhinolophus pumilus
NC_005436,19-Feb-04,16976,Pipistrellus abramus
NC_005435,19-Feb-04,17105,Sorex unguiculatus
NC_005433,20-Feb-04,16851,Rhinolophus monoceros
NC_005828,24-Mar-04,16629,Caenolestes fuliginosus
NC_005829,24-Mar-04,16727,Rhyncholestes raphanurus
AY584828,18-May-04,16596,Equus caballus
AY612638,18-May-04,16564,Macaca mulatta
NC_005943,23-Jun-04,16564,Macaca mulatta
AY126697,30-Jun-04,16341,Bos indicus
NC_005971,12-Jul-04,16341,Bos indicus
AY334492,31-Jul-04,16751,Sus scrofa
AY337045,31-Jul-04,16585,Sus scrofa
AY702618,17-Aug-04,16359,Bubalus carabanensis
AY729880,8-Sep-04,16756,Canis lupus familiaris
NC_006295,17-Sep-04,16359,Bubalus carabanensis
NC_006299,23-Sep-04,17079,Monodelphis domestica
AF547270,28-Sep-04,16358,Bubalus bubalis
AY488491,1-Oct-04,16355,Bubalus bubalis
AY684273,5-Oct-04,16322,Bos grunniens
NC_006364,13-Oct-04,16367,Zaglossus bruijni
NC_006380,20-Oct-04,16323,Bos grunniens
AY769440,20-Oct-04,16309,Rattus norvegicus
NC_006517,10-Dec-04,16538,Sminthopsis douglasi
NC_006516,10-Dec-04,15882,Metachirus nudicaudatus
NC_006518,10-Dec-04,15744,Tarsipes rostratus
NC_006522,10-Dec-04,15923,Notoryctes typhlops
NC_006519,10-Dec-04,16022,Pseudocheirus peregrinus
NC_006523,10-Dec-04,17405,Phascogale tapoatafa
NC_006524,10-Dec-04,16922,Potorous tridactylus
AY858379,25-Dec-04,16620,Ovis aries
AY873843,9-Jan-05,16763,Urva javanica
AY675564,26-Jan-05,16300,Mus musculus molossinus
AY769264,1-Feb-05,17202,Crocidura russula
AY769263,1-Feb-05,17201,Crocidura russula
AC_000022,4-Feb-05,16300,Rattus norvegicus
NC_006835,4-Feb-05,16763,Urva javanica
NC_006853,22-Feb-05,16338,Bos taurus
AY863427,6-Mar-05,16648,Colobus guereza
AY863425,6-Mar-05,16560,Trachypithecus obscurus
AY960981,26-Mar-05,16784,Mystacina tuberculata
AY960980,26-Mar-05,16543,Choloepus didactylus
AY960979,26-Mar-05,16975,Bradypus variegatus
AP006468,30-Mar-05,16416,Balaenoptera acutorostrata
AP006475,30-Mar-05,16384,Caperea marginata
AP006474,30-Mar-05,16386,Eubalaena japonica
AP006473,30-Mar-05,16385,Eubalaena australis
AP006472,30-Mar-05,16389,Balaena mysticetus
AP006471,30-Mar-05,16413,Eschrichtius robustus
AP006470,30-Mar-05,16410,Balaenoptera borealis
AP006469,30-Mar-05,16408,Balaenoptera brydei
AP006467,30-Mar-05,16398,Megaptera novaeangliae
AP006466,30-Mar-05,16421,Balaenoptera bonaerensis
AF492351,1-Apr-05,16338,Bos taurus
AF492350,1-Apr-05,16339,Bos indicus
NC_006893,2-Apr-05,17202,Crocidura russula
NC_006900,2-Apr-05,16560,Trachypithecus obscurus
NC_006901,2-Apr-05,16648,Colobus guereza
NC_006931,4-Apr-05,16386,Eubalaena japonica
NC_006928,4-Apr-05,16408,Balaenoptera brydei
NC_006930,4-Apr-05,16385,Eubalaena australis
NC_006925,4-Apr-05,16784,Mystacina tuberculata
NC_006915,4-Apr-05,16300,Mus musculus molossinus
NC_006926,4-Apr-05,16421,Balaenoptera bonaerensis
NC_006924,4-Apr-05,16543,Choloepus didactylus
NC_006927,4-Apr-05,16398,Megaptera novaeangliae
NC_006929,4-Apr-05,16410,Balaenoptera borealis
NC_006914,5-Apr-05,16300,Mus musculus domesticus
AB210267,5-Apr-05,16543,Cervus nippon yesoensis
NC_006973,19-Apr-05,16543,Cervus nippon yesoensis
AB211429,20-Apr-05,16663,Cervus nippon centralis
NC_006993,4-May-05,16663,Cervus nippon centralis
AY863426,4-May-05,16389,Chlorocebus aethiops
NC_007009,19-May-05,16389,Chlorocebus aethiops
AB218689,14-Jun-05,16440,Cervus nippon yakushimae
DQ106413,5-Jul-05,16300,Mus musculus
DQ106412,5-Jul-05,16299,Mus musculus
NC_007179,6-Jul-05,16440,Cervus nippon yakushimae
DQ124418,25-Jul-05,16340,Bos taurus
DQ124417,25-Jul-05,16340,Bos taurus
DQ124416,25-Jul-05,16340,Bos taurus
DQ124415,25-Jul-05,16340,Bos taurus
DQ124414,25-Jul-05,16340,Bos taurus
DQ124413,25-Jul-05,16340,Bos taurus
DQ124412,25-Jul-05,16340,Bos taurus
DQ124411,25-Jul-05,16340,Bos taurus
DQ124410,25-Jul-05,16340,Bos taurus
DQ124409,25-Jul-05,16340,Bos taurus
DQ124408,25-Jul-05,16340,Bos taurus
DQ124407,25-Jul-05,16340,Bos taurus
DQ124406,25-Jul-05,16340,Bos taurus
DQ124405,25-Jul-05,16340,Bos taurus
DQ124404,25-Jul-05,16340,Bos taurus
DQ124403,25-Jul-05,16340,Bos taurus
DQ124402,25-Jul-05,16340,Bos taurus
DQ124401,25-Jul-05,16340,Bos taurus
DQ124400,25-Jul-05,16340,Bos taurus
DQ124399,25-Jul-05,16340,Bos taurus
DQ124398,25-Jul-05,16340,Bos taurus
DQ124397,25-Jul-05,16340,Bos taurus
DQ124396,25-Jul-05,16340,Bos taurus
DQ124395,25-Jul-05,16337,Bos taurus
DQ124394,25-Jul-05,16340,Bos taurus
DQ124393,25-Jul-05,16340,Bos taurus
DQ124392,25-Jul-05,16340,Bos taurus
DQ124391,25-Jul-05,16340,Bos taurus
DQ124390,25-Jul-05,16340,Bos taurus
DQ124389,25-Jul-05,16340,Bos taurus
DQ124388,25-Jul-05,16340,Bos taurus
DQ124387,25-Jul-05,16337,Bos taurus
DQ124386,25-Jul-05,16340,Bos taurus
DQ124385,25-Jul-05,16340,Bos taurus
DQ124384,25-Jul-05,16340,Bos taurus
DQ124383,25-Jul-05,16340,Bos taurus
DQ124382,25-Jul-05,16340,Bos taurus
DQ124381,25-Jul-05,16340,Bos taurus
DQ124380,25-Jul-05,16340,Bos taurus
DQ124379,25-Jul-05,16340,Bos taurus
DQ124378,25-Jul-05,16340,Bos taurus
DQ124377,25-Jul-05,16340,Bos taurus
DQ124376,25-Jul-05,16340,Bos taurus
DQ124375,25-Jul-05,16340,Bos taurus
DQ124374,25-Jul-05,16340,Bos taurus
DQ124373,25-Jul-05,16340,Bos taurus
DQ124372,25-Jul-05,16340,Bos taurus
DQ124371,25-Jul-05,16340,Bos taurus
AY656755,8-Aug-05,16740,Canis lupus familiaris
AY656754,8-Aug-05,16680,Canis lupus familiaris
AY656753,8-Aug-05,16617,Canis lupus familiaris
AY656752,8-Aug-05,16720,Canis lupus familiaris
AY656751,8-Aug-05,16642,Canis lupus familiaris
AY656750,8-Aug-05,16700,Canis lupus familiaris
AY656749,8-Aug-05,16700,Canis lupus familiaris
AY656748,8-Aug-05,16702,Canis lupus familiaris
AY656747,8-Aug-05,16770,Canis lupus familiaris
AY656746,8-Aug-05,16741,Canis lupus familiaris
AY656745,8-Aug-05,16760,Canis lupus familiaris
AY656744,8-Aug-05,16730,Canis lupus familiaris
AY656743,8-Aug-05,16730,Canis lupus familiaris
AY656742,8-Aug-05,16760,Canis lupus familiaris
AY656741,8-Aug-05,16710,Canis lupus familiaris
AY656740,8-Aug-05,16730,Canis lupus familiaris
AY656739,8-Aug-05,16730,Canis lupus familiaris
AY656738,8-Aug-05,16712,Canis lupus familiaris
AY656737,8-Aug-05,16761,Canis lupus familiaris
AB205183,26-Aug-05,16706,Rousettus aegyptiacus
NC_007393,9-Sep-05,16706,Rousettus aegyptiacus
DQ191826,17-Sep-05,16498,Pantholops hodgsonii
AY676873,27-Sep-05,16339,Bos taurus
AY676872,27-Sep-05,16341,Bos taurus
AY676871,27-Sep-05,16340,Bos taurus
AY676870,27-Sep-05,16339,Bos taurus
AY676869,27-Sep-05,16339,Bos taurus
AY676868,27-Sep-05,16339,Bos taurus
AY676867,27-Sep-05,16339,Bos taurus
AY676866,27-Sep-05,16339,Bos taurus
AY676865,27-Sep-05,16337,Bos taurus
AY676864,27-Sep-05,16340,Bos taurus
AY676863,27-Sep-05,16338,Bos taurus
AY676862,27-Sep-05,16339,Bos taurus
AY676861,27-Sep-05,16341,Bos taurus
AY676860,27-Sep-05,16340,Bos taurus
AY676859,27-Sep-05,16340,Bos taurus
AY676858,27-Sep-05,16341,Bos taurus
AY676857,27-Sep-05,16340,Bos taurus
AY676856,27-Sep-05,16339,Bos taurus
AY676855,27-Sep-05,16339,Bos taurus
NC_007441,5-Oct-05,16498,Pantholops hodgsonii
DQ188829,14-Oct-05,16770,Mammuthus primigenius
AY795975,8-Nov-05,16642,Echymipera rufescens australis
AY795974,8-Nov-05,17363,Sminthopsis crassicaudata
AY795973,8-Nov-05,17159,Dasyurus hallucatus
NC_007596,9-Nov-05,16770,Mammuthus primigenius
AY789529,15-Nov-05,16392,Lipotes vexillifer
AY466499,29-Nov-05,16300,Mus musculus
NC_007629,7-Dec-05,16392,Lipotes vexillifer
NC_007632,7-Dec-05,16642,Echymipera rufescens australis
NC_007631,7-Dec-05,17363,Sminthopsis crassicaudata
NC_007630,7-Dec-05,17159,Dasyurus hallucatus
AB245426,27-Dec-05,16362,Rangifer tarandus
AB245427,28-Dec-05,16357,Cervus elaphus
AY574048,3-Jan-06,16537,Sus scrofa
AY574047,3-Jan-06,16651,Sus scrofa
AY574046,3-Jan-06,16541,Sus scrofa
AY574045,3-Jan-06,16552,Sus scrofa
NC_007704,6-Jan-06,16357,Cervus elaphus
NC_007703,6-Jan-06,16362,Rangifer tarandus
DQ316069,8-Feb-06,16913,Loxodonta africana
DQ316067,8-Feb-06,16842,Mammuthus primigenius
DQ316068,8-Feb-06,16902,Elephas maximus
DQ390542,2-Mar-06,16284,Cricetulus griseus
AB201256,23-Mar-06,16404,Balaenoptera omurai
AB201258,23-Mar-06,16409,Balaenoptera edeni
AB201259,23-Mar-06,16411,Balaenoptera brydei
AB201257,23-Mar-06,16404,Balaenoptera omurai
DQ334861,1-Apr-06,16690,Sus scrofa
DQ334860,1-Apr-06,16691,Sus scrofa
NC_007936,6-Apr-06,16284,Cricetulus griseus
NC_007937,6-Apr-06,16404,Balaenoptera omurai
NC_007938,6-Apr-06,16409,Balaenoptera edeni
DQ466081,8-Apr-06,16678,Sus scrofa
AY999076,1-May-06,16301,Mus musculus
AB241056,3-May-06,16889,Lagorchestes hirsutus
AB241055,3-May-06,16103,Petaurus breviceps
AB241054,3-May-06,16058,Dactylopsila trivirgata
AB241053,3-May-06,16357,Phascolarctos cinereus
AB241052,3-May-06,16775,Distoechurus pennatus
DQ015676,6-May-06,16283,Microtus levis
DQ518915,14-May-06,16747,Sus scrofa
DQ480511,15-May-06,16685,Canis latrans
DQ480510,15-May-06,16721,Canis latrans
DQ480509,15-May-06,16724,Canis latrans
DQ480508,15-May-06,16730,Canis lupus
DQ480507,15-May-06,16730,Canis lupus
DQ480506,15-May-06,16729,Canis lupus
DQ480505,15-May-06,16729,Canis lupus
DQ480504,15-May-06,16710,Canis lupus
DQ480503,15-May-06,16730,Canis lupus
DQ480502,15-May-06,16729,Canis lupus familiaris
DQ480501,15-May-06,16730,Canis lupus familiaris
DQ480500,15-May-06,16730,Canis lupus familiaris
DQ480499,15-May-06,16730,Canis lupus familiaris
DQ480498,15-May-06,16732,Canis lupus familiaris
DQ480497,15-May-06,16730,Canis lupus familiaris
DQ480496,15-May-06,16729,Canis lupus familiaris
DQ480495,15-May-06,16730,Canis lupus familiaris
DQ480494,15-May-06,16730,Canis lupus familiaris
DQ480493,15-May-06,16730,Canis lupus familiaris
DQ480492,15-May-06,16729,Canis lupus familiaris
DQ480491,15-May-06,16730,Canis lupus familiaris
DQ480490,15-May-06,16731,Canis lupus familiaris
DQ480489,15-May-06,16730,Canis lupus familiaris
DQ534707,17-May-06,16728,Sus scrofa
DQ069713,1-Jun-06,16550,Chlorocebus sabaeus
NC_008064,6-Jun-06,16283,Microtus levis
NC_008066,6-Jun-06,16550,Chlorocebus sabaeus
NC_008093,7-Jun-06,16724,Canis latrans
NC_008092,7-Jun-06,16729,Canis lupus
NC_008134,12-Jun-06,16058,Dactylopsila trivirgata
NC_008135,12-Jun-06,16103,Petaurus breviceps
NC_008136,12-Jun-06,16889,Lagorchestes hirsutus
NC_008133,12-Jun-06,16357,Phascolarctos cinereus
NC_008145,12-Jun-06,16775,Distoechurus pennatus
AY833419,13-Jun-06,16510,Galemys pyrenaicus
NC_008156,16-Jun-06,16510,Galemys pyrenaicus
DQ355301,24-Jun-06,16595,Piliocolobus badius
DQ355300,24-Jun-06,16549,Rhinopithecus roxellana
DQ355299,24-Jun-06,16543,Presbytis melalophos
DQ355298,24-Jun-06,16570,Nasalis larvatus
DQ355297,24-Jun-06,16532,Semnopithecus entellus
NC_008219,28-Jun-06,16595,Piliocolobus badius
NC_008215,28-Jun-06,16532,Semnopithecus entellus
NC_008217,28-Jun-06,16543,Presbytis melalophos
NC_008218,28-Jun-06,16549,Rhinopithecus roxellana
NC_008216,28-Jun-06,16570,Nasalis larvatus
DQ989636,19-Sep-06,16505,Rusa unicolor swinhoei
DQ207753,30-Sep-06,16511,Sus scrofa
DQ207754,30-Sep-06,16539,Sus scrofa
DQ673917,30-Sep-06,16307,Rattus norvegicus
DQ673916,30-Sep-06,16311,Rattus norvegicus
DQ673915,30-Sep-06,16310,Rattus norvegicus
DQ673914,30-Sep-06,16309,Rattus norvegicus
DQ673913,30-Sep-06,16314,Rattus norvegicus
DQ673912,30-Sep-06,16312,Rattus norvegicus
DQ673911,30-Sep-06,16314,Rattus norvegicus
DQ673910,30-Sep-06,16310,Rattus norvegicus
DQ673909,30-Sep-06,16309,Rattus norvegicus
DQ673908,30-Sep-06,16309,Rattus norvegicus
DQ673907,30-Sep-06,16315,Rattus norvegicus
DQ207755,30-Sep-06,16629,Sus scrofa
DQ257669,1-Oct-06,16844,Neofelis nebulosa
NC_008415,3-Oct-06,16668,Callorhinus ursinus
NC_008414,3-Oct-06,16505,Rusa unicolor swinhoei
NC_008431,3-Oct-06,16737,Pusa caspica
NC_008419,3-Oct-06,16736,Neophoca cinerea
NC_008420,3-Oct-06,16571,Arctocephalus townsendi
NC_008423,3-Oct-06,16759,Lobodon carcinophaga
NC_008426,3-Oct-06,16705,Erignathus barbatus
NC_008427,3-Oct-06,16952,Cystophora cristata
NC_008430,3-Oct-06,16701,Phoca largha
NC_008429,3-Oct-06,16551,Phoca groenlandica
NC_008428,3-Oct-06,16694,Phoca fasciata
NC_008417,3-Oct-06,16652,Arctocephalus pusillus
NC_008418,3-Oct-06,16722,Phocarctos hookeri
NC_008421,3-Oct-06,16754,Neomonachus schauinslandi
NC_008425,3-Oct-06,16602,Hydrurga leptonyx
NC_008432,3-Oct-06,16773,Pusa sibirica
NC_008433,3-Oct-06,16754,Pusa hispida
NC_008422,3-Oct-06,16970,Mirounga leonina
NC_008424,3-Oct-06,16603,Leptonychotes weddellii
NC_008416,3-Oct-06,16677,Zalophus californianus
NC_008434,3-Oct-06,16813,Vulpes vulpes
NC_008450,5-Oct-06,16844,Neofelis nebulosa
NC_008447,5-Oct-06,16866,Lagostrophus fasciatus
DQ985076,10-Oct-06,16436,Cervus nippon taiouanus
NC_008462,11-Oct-06,16436,Cervus nippon taiouanus
EF035447,15-Oct-06,16353,Muntiacus reevesi micrurus
NC_008491,17-Oct-06,16353,Muntiacus reevesi micrurus
DQ268530,31-Oct-06,16525,Sus scrofa
EF035448,14-Nov-06,16477,Rusa unicolor swinhoei
DQ972936,22-Nov-06,16494,Sus scrofa
DQ274110,30-Nov-06,16585,Sus scrofa
EF058308,31-Dec-06,16430,Cervus nippon taiouanus
DQ873526,1-Jan-07,16347,Elaphodus cephalophus
DQ402478,3-Jan-07,16868,Ursus thibetanus mupinensis
NC_008749,4-Jan-07,16347,Elaphodus cephalophus
NC_008753,5-Jan-07,16868,Ursus thibetanus mupinensis
DQ409327,31-Jan-07,16719,Phacochoerus africanus
NC_008830,1-Feb-07,16719,Phacochoerus africanus
EF375877,3-Feb-07,16499,Sus scrofa
DQ874614,9-Feb-07,16300,Mus musculus musculus
NC_009056,27-Feb-07,16923,Anomalurus sp. GP-2005
EF108345,27-Feb-07,16300,Mus musculus molossinus
EF108344,27-Feb-07,16302,Mus musculus domesticus
EF108343,27-Feb-07,16300,Mus musculus musculus
EF108342,27-Feb-07,16299,Mus musculus castaneus
EF108341,27-Feb-07,16300,Mus musculus
EF108340,27-Feb-07,16301,Mus musculus
EF108339,27-Feb-07,16300,Mus musculus
EF108338,27-Feb-07,16300,Mus musculus
EF108337,27-Feb-07,16300,Mus musculus
EF108336,27-Feb-07,16299,Mus musculus
EF108335,27-Feb-07,16301,Mus musculus
EF108334,27-Feb-07,16301,Mus musculus
EF108333,27-Feb-07,16300,Mus musculus
EF108332,27-Feb-07,16300,Mus musculus
EF108331,27-Feb-07,16300,Mus musculus
EF108330,27-Feb-07,16300,Mus musculus
AB297804,14-Mar-07,16623,Procyon lotor
NC_009126,15-Mar-07,16623,Procyon lotor
EF076773,31-Mar-07,17044,Ursus thibetanus formosanus
NC_009331,3-Apr-07,17044,Ursus thibetanus formosanus
EF494179,18-Apr-07,16323,Bos grunniens
EF494178,18-Apr-07,16322,Bos grunniens
EF494177,18-Apr-07,16322,Bos grunniens
EF212882,23-May-07,16805,Ailuropoda melanoleuca
NC_009492,25-May-07,16805,Ailuropoda melanoleuca
AB300604,25-May-07,16129,Eumetopias jubatus
AB300603,25-May-07,16132,Eumetopias jubatus
AB300602,25-May-07,16110,Eumetopias jubatus
AB300601,25-May-07,16125,Eumetopias jubatus
EF597512,27-May-07,16592,Equus caballus
EF597513,27-May-07,16592,Equus caballus
EF588275,29-May-07,16847,Elephas maximus
EF466060,1-Jun-07,16530,Ammotragus lervia
NC_009510,4-Jun-07,16530,Ammotragus lervia
EF632344,9-Jun-07,16469,Mammut americanum
EF212038,1-Jul-07,16680,Camelus ferus
EF212037,1-Jul-07,16659,Camelus bactrianus
NC_009629,3-Jul-07,16680,Camelus ferus
NC_009628,3-Jul-07,16659,Camelus bactrianus
AB300608,3-Jul-07,16136,Eumetopias jubatus
AB300607,3-Jul-07,16127,Eumetopias jubatus
AB300606,3-Jul-07,16135,Eumetopias jubatus
