AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample
GCF_009078355.1,Pangasianodon hypophthalmus (striped catfish),Pangasianodon hypophthalmus,147,2019/10/22 00:00,GenoFish,16187036,26458119,SAMN11969507
GCF_013265735.2,Oncorhynchus mykiss (rainbow trout),Oncorhynchus mykiss,111.6,2020/09/23 00:00,USDA/ARS,15579713,39165350,SAMN14537335
GCF_001444195.1,Xiphophorus couchianus (Monterrey platyfish),Xiphophorus couchianus,77,2018/09/19 00:00,McDonnell Genome Institute - Washington University School of Medicine,15315838,30550352,SAMN03922721
GCF_904848185.1,Acanthopagrus latus (yellowfin seabream),Acanthopagrus latus,60,2020/10/12 00:00,SC,14880455,30717905,SAMN16236878
GCF_902150065.1,Myripristis murdjan (pinecone soldierfish),Myripristis murdjan,45,2019/07/03 00:00,SC,14475636,34950760,SAMEA4872133
GCA_013332515.1,Verasper variegatus (spotted halibut),Verasper variegatus,100,2020/06/11 00:00,Yellow Sea fisheries Research Institution,14452835,24764384,SAMN14998119
GCA_011397635.1,Epinephelus fuscoguttatus (brown-marbled grouper),Epinephelus fuscoguttatus,87.6,2020/02/20 00:00,Epinephelus fuscoguttatus,13857438,44419306,SAMD00201013
GCA_014805685.1,Silurus meridionalis (bony fishes),Silurus meridionalis,97.83,2020/09/30 00:00,Southwest University,13195069,28049309,SAMN14558653
GCF_015220715.1,Pygocentrus nattereri (red-bellied piranha),Pygocentrus nattereri,77.77,2020/11/03 00:00,Vertebrate Genomes Project,12898870,42283192,SAMN12623623
GCF_900963305.1,Echeneis naucrates (live sharksucker),Echeneis naucrates,62,2019/04/11 00:00,SC,12371513,23287306,SAMEA4966390
GCA_011952085.1,Siniperca chuatsi (mandarin fish),Siniperca chuatsi,50,2020/04/09 00:00,IGB Leibniz-Institute of Freshwater Ecology and Inland Fisheries,12191788,30508166,SAMN13269087
GCF_901709675.1,Syngnathus acus (greater pipefish),Syngnathus acus,96,2020/07/31 00:00,SC,11959915,14974571,SAMEA104381750
GCA_004786185.1,Channa argus (northern snakehead),Channa argus,83,2019/04/15 00:00,Gooalgene,11786852,27759500,SAMN10910622
GCF_015220745.1,Sebastes umbrosus (honeycomb rockfish),Sebastes umbrosus,45.05,2020/11/03 00:00,Vertebrate Genomes Project,11445908,34912176,SAMN12629503
GCA_012432095.1,Onychostoma macrolepis (bony fishes),Onychostoma macrolepis,93.85,2020/04/17 00:00,SOUTHWEST UNIVERSITY,10809623,34067727,SAMN14163390
GCA_013358685.1,Antennarius maculatus (warty frogfish),Antennarius maculatus,141,2020/06/12 00:00,Vertebrate Genomes Project,10114706,22928215,SAMN12623626
GCA_015846415.1,Triplophysa dalaica (bony fishes),Triplophysa dalaica,200,2020/12/02 00:00,HeNan Normal University and Wuhan diggers,9273388,23627495,SAMN14582390
GCF_002775205.1,Xiphophorus maculatus (southern platyfish),Xiphophorus maculatus,83,2017/12/07 00:00,"The Genome Institute, Washington University at St. Louis",9181372,31535491,SAMN08025980
GCF_900964775.1,Scleropages formosus (Asian bonytongue),Scleropages formosus,72,2019/04/11 00:00,SC,9102216,31084684,SAMEA4872123
GCF_900324485.2,Mastacembelus armatus (zig-zag eel),Mastacembelus armatus,52,2019/03/16 00:00,SC,8014513,25090313,SAMEA104026378
GCA_012411365.1,Ameiurus melas (black bullhead),Ameiurus melas,57,2020/04/16 00:00,GenoFish,7408031,32284220,SAMN13926790
GCF_003331165.1,Xiphophorus hellerii (green swordtail),Xiphophorus hellerii,68,2019/12/05 00:00,McDonnell Genome Institute - Washington University School of Medicine,7084538,32404057,SAMN09545741
GCF_013358815.1,Electrophorus electricus (electric eel),Electrophorus electricus,52.97,2020/06/23 00:00,Vertebrate Genomes Project,7062559,25664172,SAMN12623625
GCF_900324465.2,Anabas testudineus (climbing perch),Anabas testudineus,68,2018/12/19 00:00,SC,7055436,25063394,SAMEA104026376
GCF_009819705.1,Hippoglossus hippoglossus (Atlantic halibut),Hippoglossus hippoglossus,56.23,2019/12/31 00:00,Vertebrate Genomes Project,7020318,26312018,SAMN12629501
GCF_008315115.2,Sander lucioperca (pike-perch),Sander lucioperca,360,2020/08/14 00:00,Leibniz Institute for Farm Animal Biology (FBN),6663498,41060379,SAMN12618724
GCF_900634415.1,Cottoperca gobio (bony fishes),Cottoperca gobio,75,2019/02/06 00:00,SC,6330900,25156145,SAMEA104242975
GCA_014673565.1,Sebastes schlegelii (Schlegel's black rockfish),Sebastes schlegelii,100,2020/08/31 00:00,Qingdao Agricultural University,5473395,7939220,SAMN10781578
GCF_013347855.1,Anguilla anguilla (European eel),Anguilla anguilla,51.23,2020/06/18 00:00,Vertebrate Genomes Project,5114673,57205429,SAMN12623627
GCA_900634625.2,Parambassis ranga (Indian glassy fish),Parambassis ranga,101,2020/07/31 00:00,SC,5080925,22993012,SAMEA4675621
GCF_009769545.1,Cyclopterus lumpus (lumpfish),Cyclopterus lumpus,55.96,2019/12/23 00:00,Vertebrate Genomes Project,4950682,23863342,SAMN12629502
GCF_900246225.1,Astatotilapia calliptera (eastern happy),Astatotilapia calliptera,80,2018/05/30 00:00,SC,4438245,38669361,SAMEA104026430
GCA_014281875.1,Nibea albiflora (white flower croaker),Nibea albiflora,114.67,2020/08/24 00:00,Marine Fishery Institute of Zhejiang Province,4420150,25433336,SAMN13037310
GCA_003711565.2,Takifugu flavidus (sansaifugu),Takifugu flavidus,200,2019/08/16 00:00,Frasergen bioinfomatics,4357567,15676631,SAMN10077091
GCF_004354835.1,Perca flavescens (yellow perch),Perca flavescens,137.7,2019/03/19 00:00,INRA (Fish Physiology and Genomics laboratory),4268950,37412490,SAMN10722690
GCA_010015445.1,Perca fluviatilis (European perch),Perca fluviatilis,135,2020/01/30 00:00,SEX'PERCH,4197643,39550354,SAMN12071746
GCA_013435755.1,Amphilophus citrinellus (Midas cichlid),Amphilophus citrinellus,89,2020/07/21 00:00,Max Planck Institute of Molecular Cell Biology and Genetics,3839513,37146573,SAMN15430250
GCF_009762535.1,Notolabrus celidotus (New Zealand spotty),Notolabrus celidotus,71.06,2019/12/18 00:00,Vertebrate Genomes Project,3748462,37090664,SAMN12623201
GCA_003999625.1,Oryzias javanicus (javanese ricefish),Oryzias javanicus,76.5,2019/01/08 00:00,INRA (Fish Physiology and Genomics laboratory),3558013,35390520,SAMN10417210
GCA_015343265.1,Pao palembangensis (humpback puffer),Pao palembangensis,393,2020/11/10 00:00,BGI,3269158,15808960,SAMN15098013
GCF_901000725.2,Takifugu rubripes (torafugu),Takifugu rubripes,83,2019/06/05 00:00,SC,3136617,16705553,SAMEA104384834
GCA_003047355.2,Amphiprion percula (orange clownfish),Amphiprion percula,121,2018/11/28 00:00,King Abdullah University of Science and Technology,3123421,38416550,SAMN08615572
GCA_900700375.2,Denticeps clupeoides (denticle herring),Denticeps clupeoides,63,2020/07/31 00:00,SC,3059612,22793177,SAMEA104129917
GCF_001858045.2,Oreochromis niloticus (Nile tilapia),Oreochromis niloticus,44,2018/06/29 00:00,University of Maryland,2923640,38839487,SAMN05859795
GCF_900880675.1,Sparus aurata (gilthead seabream),Sparus aurata,56,2019/07/30 00:00,SC,2862625,35791275,SAMEA104384835
GCA_008369825.1,Triplophysa tibetana (bony fishes),Triplophysa tibetana,130,2019/09/12 00:00,Gooalgene,2833080,24885746,SAMN11094431
GCF_902148845.1,Salarias fasciatus (jewelled blenny),Salarias fasciatus,96,2019/07/03 00:00,SC,2597836,32729575,SAMEA4966329
GCA_900634795.3,Betta splendens (Siamese fighting fish),Betta splendens,48,2020/08/25 00:00,SC,2497747,20129463,SAMEA104381735
GCF_902148855.1,Sphaeramia orbicularis (orbiculate cardinalfish),Sphaeramia orbicularis,53,2019/07/03 00:00,SC,2360121,57165184,SAMEA4966328
GCF_902500255.1,Thalassophryne amazonica (bony fishes),Thalassophryne amazonica,67,2019/09/30 00:00,SC,2329598,118421481,SAMEA104129913
GCF_009829125.1,Periophthalmus magnuspinnatus (bony fishes),Periophthalmus magnuspinnatus,69.53,2020/01/03 00:00,Vertebrate Genomes Project,2301275,32865169,SAMN12629500
GCA_014839995.1,Xenentodon cancila (freshwater garfish),Xenentodon cancila,62.8,2020/09/30 00:00,Vertebrate Genomes Project,2195850,28679447,SAMN12623622
GCF_007364275.1,Archocentrus centrarchus (flier cichlid),Archocentrus centrarchus,76,2019/08/01 00:00,Vertebrate Genomes Project,2146538,35590001,SAMN09948522
GCA_900634775.2,Gouania willdenowi (blunt-snouted clingfish),Gouania willdenowi,58,2020/07/31 00:00,SC,1838341,38978045,SAMEA104026382
GCF_000372685.2,Astyanax mexicanus (Mexican tetra),Astyanax mexicanus,65,2017/09/25 00:00,Washington University School of Medince,1767240,35377769,SAMN02981523
GCF_901001165.1,Salmo trutta (river trout),Salmo trutta,68,2019/06/02 00:00,SC,1703178,52209666,SAMEA994732
GCA_007927625.1,Coilia nasus (Japanese grenadier anchovy),Coilia nasus,430,2019/08/16 00:00,BGI,1632759,2096086,SAMN08159314
GCA_903798145.1,Danio aesculapii (bony fishes),Danio aesculapii,52,2020/06/27 00:00,SC,1517104,55996547,SAMEA104240212
GCF_000238955.4,Maylandia zebra (zebra mbuna),Maylandia zebra,65,2018/04/10 00:00,Broad Institute,1407748,32660920,SAMN03892560
GCA_004026145.2,Takifugu bimaculatus (bony fishes),Takifugu bimaculatus,327.2,2019/06/21 00:00,"College of Ocean and Earth Sciences, Xiamen University",1312995,16785490,SAMN10524747
GCA_903798195.1,Danio kyathit (bony fishes),Danio kyathit,51,2020/06/27 00:00,SC,1264270,64228523,SAMEA104130240
GCF_002021735.2,Oncorhynchus kisutch (coho salmon),Oncorhynchus kisutch,300,2019/11/04 00:00,University of Victoria,1159298,68265700,SAMN05991263
GCF_900700415.1,Clupea harengus (Atlantic herring),Clupea harengus,75,2019/04/16 00:00,UPPSALA UNIVERISTY,1151065,30022480,SAMEA5339254
GCF_900747795.1,Erpetoichthys calabaricus (reedfish),Erpetoichthys calabaricus,51,2019/03/26 00:00,SC,1143051,199226436,SAMEA104026374
GCA_011397275.1,Plectropomus leopardus (leopard coralgrouper),Plectropomus leopardus,145,2020/02/20 00:00,Sun Yat-Sen University,1139749,34616500,SAMD00199277
GCA_004119915.1,Collichthys lucidus (big head croaker),Collichthys lucidus,100,2019/01/30 00:00,JiMei University,1098566,35919243,SAMN10225518
GCF_902167405.1,Gadus morhua (Atlantic cod),Gadus morhua,83,2019/07/16 00:00,SC,1015663,28732775,SAMEA5574046
GCF_003368295.1,Carassius auratus (goldfish),Carassius auratus,71,2018/08/09 00:00,National Institutes of Health,821153,22763433,SAMN09670328
GCF_902827115.1,Pseudochaenichthys georgianus (South Georgia icefish),Pseudochaenichthys georgianus,93,2020/04/15 00:00,SC,661283,42832159,SAMEA104132832
GCF_010645085.1,Acipenser ruthenus (sterlet),Acipenser ruthenus,42,2020/02/19 00:00,University of Wuerzburg,601142,42361471,SAMN12612932
GCF_011125445.2,Fundulus heteroclitus (mummichog),Fundulus heteroclitus,40,2020/08/13 00:00,University of Missouri,587965,39340135,SAMN13668183
GCF_006149115.1,Oncorhynchus nerka (sockeye salmon),Oncorhynchus nerka,158,2019/06/07 00:00,Fisheries and Oceans Canada,329583,1058586,SAMN11519041
GCF_000972845.2,Larimichthys crocea (large yellow croaker),Larimichthys crocea,140,2018/11/27 00:00,BGI,277487,27037660,SAMN03092871
GCF_005281545.1,Epinephelus lanceolatus (giant grouper),Epinephelus lanceolatus,133,2019/05/13 00:00,"Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences",159800,46227939,SAMN10786578
GCA_014183145.1,Sciaenops ocellatus (red drum),Sciaenops ocellatus,172.9,2020/08/13 00:00,Shanghai Ocean University,151930,25657701,SAMN13064845
GCF_002872995.1,Oncorhynchus tshawytscha (Chinook salmon),Oncorhynchus tshawytscha,202,2018/01/16 00:00,Fisheries and Oceans Canada,133169,1728323,SAMN07843558
GCA_011952095.1,Siniperca scherzeri (leopard mandarin fish),Siniperca scherzeri,40,2020/04/09 00:00,IGB Leibniz-Institute of Freshwater Ecology and Inland Fisheries,83753,30166107,SAMN13269089
GCA_001660625.2,Ictalurus punctatus (channel catfish),Ictalurus punctatus,0,2019/01/25 00:00,Auburn University,81424,7898905,SAMN03486842
GCA_011952075.1,Siniperca knerii (big-eye mandarin fish),Siniperca knerii,40,2020/04/09 00:00,IGB Leibniz-Institute of Freshwater Ecology and Inland Fisheries,77506,29777865,SAMN13269088
GCA_011952105.1,Coreoperca whiteheadi (bony fishes),Coreoperca whiteheadi,40,2020/04/09 00:00,IGB Leibniz-Institute of Freshwater Ecology and Inland Fisheries,76587,28603870,SAMN13269090
GCA_006386435.1,Epinephelus moara (kelp grouper),Epinephelus moara,381,2019/06/26 00:00,"Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences",76174,43431032,SAMN11657372
GCF_000951615.1,Cyprinus carpio (common carp),Cyprinus carpio,0,2014/11/03 00:00,CHINESE ACADEMY OF FISHERY SCIENCE,75080,7828959,SAMEA2757102
GCF_000242695.1,Lepisosteus oculatus (spotted gar),Lepisosteus oculatus,677.5,2012/01/13 00:00,Broad Institute,68337,6928108,SAMN00706774
GCF_001649575.2,Kryptolebias marmoratus (mangrove rivulus),Kryptolebias marmoratus,72.75,2020/11/16 00:00,Washington State University,57646,28170849,SAMN04622665
GCF_000233375.1,Salmo salar (Atlantic salmon),Salmo salar,206,2015/06/10 00:00,International Cooperation to Sequence the Atlantic Salmon Genome,57618,1366254,SAMN02749551
GCF_002910315.2,Salvelinus sp. IW2-2015 (bony fishes),Salvelinus sp. IW2-2015,146,2018/02/12 00:00,University of Victoria,55619,1018695,SAMN06561764
GCF_012931545.1,Oncorhynchus keta (chum salmon),Oncorhynchus keta,150,2020/04/29 00:00,Fisheries and Oceans Canada,50313,656204,SAMN12367893
GCA_007896545.1,Kryptolebias hermaphroditus (bony fishes),Kryptolebias hermaphroditus,166,2019/08/08 00:00,Sungkyunkwan University,46411,27459464,SAMN11869169
GCF_013103735.1,Etheostoma cragini (Arkansas darter),Etheostoma cragini,208.6,2020/05/15 00:00,"Kellogg Biological Station, Michigan State University",45088,27593271,SAMN14351042
GCF_000633615.1,Poecilia reticulata (guppy),Poecilia reticulata,110,2014/04/28 00:00,Max Planck Institute for Developmental Biology,41913,5270359,SAMN02404645
GCA_004348285.1,Thymallus thymallus (grayling),Thymallus thymallus,5,2019/03/19 00:00,University of Turku,31777,32985317,SAMN09080809
GCF_002922805.2,Oryzias melastigma (Indian medaka),Oryzias melastigma,82,2020/04/13 00:00,Sungkyunkwan University,30057,29987720,SAMN07596545
GCF_000523025.1,Cynoglossus semilaevis (tongue sole),Cynoglossus semilaevis,0,2014/01/28 00:00,Beijing Genomics Institute,27008,509861,SAMN02595200
GCF_008692095.1,Etheostoma spectabile (orangethroat darter),Etheostoma spectabile,172,2019/10/07 00:00,University of Illinois at Urbana-Champaign,26023,30497795,SAMN12373147
GCF_001465895.1,Nothobranchius furzeri (turquoise killifish),Nothobranchius furzeri,100,2015/12/11 00:00,LEIBNIZ INSTITUTE FOR AGE RESEARCH - FRITZ LIPMANN,19950,15858201,SAMEA2698544
GCA_014132575.1,Gasterosteus nipponicus (bony fishes),Gasterosteus nipponicus,17.8,2020/07/29 00:00,the University of Tokyo,544634,17641857,SAMD00226355
GCA_010277075.1,Poeciliopsis retropinna (bony fishes),Poeciliopsis retropinna,70,2020/02/06 00:00,Wageningen UR,15063430,21601530,SAMN12288624
GCA_015710095.1,Argyrosomus japonicus (mulloway),Argyrosomus japonicus,150,2020/12/02 00:00,Zhejiang Ocean University,13110246,13110246,SAMN16453595
GCA_014656515.1,Oryzias celebensis (Celebes medaka),Oryzias celebensis,110,2020/09/12 00:00,National Institute of Genetics,6114092,28928686,SAMD00239084
GCF_904425465.1,Colossoma macropomum (tambaqui),Colossoma macropomum,37,2020/09/25 00:00,WELLCOME TRUST SANGER INSTITUTE,5645235,40163545,SAMEA7302664
GCA_008087265.1,Cebidichthys violaceus (monkeyface prickleback),Cebidichthys violaceus,107,2019/08/26 00:00,"University of California, Irvine",5507153,6717604,SAMN06857690
GCA_009176245.1,Thunnus orientalis (Pacific bluefin tuna),Thunnus orientalis,252,2019/10/13 00:00,"National Research Institute of Fisheries Science, Japan Fisheries Research and Education Agency",5458584,7922002,SAMD00166193
GCA_005024645.1,Planiliza haematocheilus (so-iny mullet),Planiliza haematocheilus,214,2019/05/01 00:00,Jeju National University,3973280,3973280,SAMN11356700
GCA_008933995.1,Datnioides undecimradiatus (Mekong tiger perch),Datnioides undecimradiatus,200,2019/10/10 00:00,BGI,3802431,9689676,SAMN12855526
GCA_011823955.1,Dissostichus mawsoni (Antarctic toothfish),Dissostichus mawsoni,81,2020/04/01 00:00,Korea University,3015437,36983948,SAMN12869232
GCA_007210695.1,Neogobius melanostomus (round goby),Neogobius melanostomus,50,2019/07/22 00:00,University of Basel,2817412,2817412,SAMN12099445
GCF_902500615.1,Pungitius pungitius (ninespine stickleback),Pungitius pungitius,110,2020/10/12 00:00,UNIVERSITY OF OSLO,2775277,20450314,SAMEA5986199
GCA_015244755.2,Tenualosa ilisha (Hilsa shad),Tenualosa ilisha,104,2020/11/05 00:00,"Consortium Research Platform on Genmics, ICAR, India",2624235,2624235,SAMN08162886
GCA_006030095.1,Triplophysa siluroides (bony fishes),Triplophysa siluroides,50,2019/06/05 00:00,Institute of Hydrobiology,2549348,2872994,SAMN11775600
GCA_900536245.1,Epinephelus coioides (orange-spotted grouper),Epinephelus coioides,50,2019/12/05 00:00,CNGB,2494056,2567038,SAMEA4836213
GCA_900490495.1,Danionella dracula (bony fishes),Danionella dracula,60,2018/07/01 00:00,SC,2300191,10287669,SAMEA104026433
GCA_900408965.1,Simochromis diagramma (bony fishes),Simochromis diagramma,69,2018/06/18 00:00,SC,2231376,8960300,SAMEA104026415
GCA_005784505.1,Bagarius yarrelli (goonch),Bagarius yarrelli,253,2019/05/22 00:00,Shenzhen Key Lab of Marine Genomics,1854961,3129371,SAMN10979322
GCA_900607315.1,Trachinotus ovatus (derbio),Trachinotus ovatus,50,2018/12/02 00:00,South China Sea Fisheries Research Institute,1846793,29494812,SAMEA104304870
GCA_013375575.1,Percina caprodes (logperch),Percina caprodes,45,2020/06/29 00:00,McGill University,1429287,1429287,SAMN15198648
GCF_902827165.1,Trematomus bernacchii (emerald rockcod),Trematomus bernacchii,46,2020/04/15 00:00,SC,1402669,8748152,SAMEA104132834
GCF_016077235.1,Cyprinodon tularosa (bony fishes),Cyprinodon tularosa,90,2020/12/15 00:00,Purdue University,1362150,1362150,SAMN16509697
GCA_013621035.1,Clarias magur (bony fishes),Clarias magur,95,2020/07/24 00:00,Rohu and Magur Genome Sequencing Consortium,1226249,1316675,SAMN08826798
GCF_001640805.1,Lates calcarifer (barramundi perch),Lates calcarifer,90,2016/05/09 00:00,Temasek Life Sciences Laboratory,1066117,1191366,SAMN04026617
GCA_902827135.1,Harpagifer antarcticus (Antarctic spiny plunderfish),Harpagifer antarcticus,67,2020/04/15 00:00,SC,1048452,4997231,SAMEA104132831
GCF_003724035.1,Tachysurus fulvidraco (yellow catfish),Tachysurus fulvidraco,100,2018/11/13 00:00,BGI-SZ,980445,3653474,SAMN10147840
GCA_012861695.1,Trematomus loennbergii (deepwater notothen),Trematomus loennbergii,75,2020/04/27 00:00,EarthBIogenome Project,968532,15527446,SAMN14309518
GCA_002217815.1,Seriola quinqueradiata (Japanese amberjack),Seriola quinqueradiata,210,2017/07/05 00:00,"Natinal Research Insititute of Aquaculture, FRA",872227,5610255,SAMD00083042
GCA_015082035.1,Chaenogobius annularis (forktongue goby),Chaenogobius annularis,100,2020/10/21 00:00,The University of Tokyo,803221,951958,SAMD00131633
GCA_006182925.2,Reinhardtius hippoglossoides (Greenland flounder),Reinhardtius hippoglossoides,60,2019/07/25 00:00,McGill University,775256,17640195,SAMN11811143
GCA_002994505.1,Seriola rivoliana (Almaco jack),Seriola rivoliana,295.8,2018/03/12 00:00,Iowa State University,740108,9509606,SAMN08545647
GCF_900080235.1,Labrus bergylta (ballan wrasse),Labrus bergylta,144,2016/05/03 00:00,National Institute of nutrition and seafood research,703847,794648,SAMEA3939555
GCA_005408345.1,Macquaria australasica (Macquarie perch),Macquaria australasica,100,2019/05/16 00:00,Deakin University,678975,845515,SAMN10817714
GCF_902827175.1,Gymnodraco acuticeps (bony fishes),Gymnodraco acuticeps,42,2020/04/15 00:00,SC,534678,1921211,SAMEA104242997
GCA_004335475.1,Pseudoliparis sp. Yap Trench (bony fishes),Pseudoliparis sp. Yap Trench,81,2019/03/08 00:00,BGI-SZ,523845,976167,SAMN10662039
GCA_004120215.1,Labeo rohita (rohu),Labeo rohita,132,2019/01/30 00:00,Central Institute of Freshwater Aquaculture,522833,1959535,SAMN08685245
GCA_002819105.1,Symphodus melops (corkwing wrasse),Symphodus melops,28.3,2017/12/05 00:00,University of Agder,461652,461652,SAMN06339785
GCF_002776465.1,Amphiprion ocellaris (clown anemonefish),Amphiprion ocellaris,45,2017/11/16 00:00,Deakin University,324210,401715,SAMN07982614
GCA_009869865.1,Megalobrama amblycephala (Wuchang bream),Megalobrama amblycephala,172,2020/01/14 00:00,Hunan Normal Univesity,322873,1403021,SAMN10457791
GCA_003573665.1,Oxygymnocypris stewartii (bony fishes),Oxygymnocypris stewartii,90.81,2018/09/18 00:00,Novogene Bioinformatics Technology Corporation,257093,257093,SAMN09762613
GCF_002260705.1,Seriola dumerili (greater amberjack),Seriola dumerili,210,2017/08/03 00:00,"Genomic breeding group, Research Center for Aquatic Breeding, National Research Institute of aquaculture, FRA",249755,5812906,SAMD00083043
GCA_008360985.1,Macquaria ambigua (golden perch),Macquaria ambigua,200,2019/09/09 00:00,Deakin University,243852,252501,SAMN12340637
GCA_903064625.1,Mallotus villosus (capelin),Mallotus villosus,99,2020/05/18 00:00,CEES,229616,236994,SAMEA6813208
GCA_900497675.1,Arapaima gigas (arapaima),Arapaima gigas,135,2018/07/25 00:00,UNIVERSIDADE FEDERAL DO PARA,131583,667839,SAMEA104324749
GCA_008086565.1,Thalassoma bifasciatum (bluehead),Thalassoma bifasciatum,242,2019/08/02 00:00,University of Otago,122955,155821,SAMN10258813
GCA_009869775.1,Culter alburnus (topmouth culter),Culter alburnus,200,2020/01/14 00:00,Hunan Normal Univesity,121415,3669388,SAMN10457884
GCA_006937985.1,Aphyosemion australe (lyretail killifish),Aphyosemion australe,77,2019/07/12 00:00,Max Planck Institute for Biology of Ageing,119465,1435212,SAMN11370804
GCA_009660295.1,Lophius piscatorius (angler),Lophius piscatorius,150,2019/11/13 00:00,Nord university,104538,104538,SAMN11282402
GCA_010882115.1,Protosalanx chinensis (bony fishes),Protosalanx chinensis,426.48,2020/02/20 00:00,Institute of Zoology Chinese Academy of Sciences,103007,5188763,SAMN14001151
GCA_010277015.1,Poeciliopsis turrubarensis (bony fishes),Poeciliopsis turrubarensis,80,2020/02/06 00:00,Wageningen UR,101021,4228945,SAMN12288626
GCA_009108245.1,Ompok bimaculatus (butter catfish),Ompok bimaculatus,217,2019/10/15 00:00,"DEPARTMENT OF BIOCHEMISTRY, ALL INDIA INSTITUTE OF MEDICAL SCIENCES(AIIMS), NEW DELHI, INDIA",81474,81583,SAMN12206647
GCA_001593715.1,Miichthys miiuy (Mi-iuy croaker),Miichthys miiuy,158,2016/03/17 00:00,Zhejiang Ocean University,81271,1145539,SAMN02486174
GCA_900291075.1,Melanogrammus aeglefinus (haddock),Melanogrammus aeglefinus,256,2018/03/19 00:00,CEES,77605,209126,SAMEA104602249
GCA_006937955.1,Pachypanchax playfairii (golden panchax),Pachypanchax playfairii,100,2019/07/12 00:00,Max Planck Institute for Biology of Ageing,76641,3173794,SAMN11370848
GCA_002120245.1,Maccullochella peelii (Murray cod),Maccullochella peelii,80,2017/05/09 00:00,Monash University Malaysia,70439,109974,SAMN03938494
GCA_014773175.1,Lucifuga dentata (toothed Cuban cusk-eel),Lucifuga dentata,134,2020/09/28 00:00,EGCE - CNRS Gif-sur-Yvette,62305,120915,SAMN12634698
GCF_005870065.1,Oreochromis aureus (blue tilapia),Oreochromis aureus,166,2019/05/28 00:00,BGI-SZ ocean institute,60340,1102239,SAMN11513266
GCF_000485575.1,Poecilia formosa (Amazon molly),Poecilia formosa,82,2013/10/28 00:00,Aquatic Genome Models,57472,1574226,SAMN02981564
GCA_010883035.1,Poeciliopsis occidentalis (Gila topminnow),Poeciliopsis occidentalis,56,2020/02/20 00:00,Texas A&M University,56887,1540873,SAMN11418710
GCA_009936485.1,Gymnarchus niloticus (bony fishes),Gymnarchus niloticus,90,2020/01/27 00:00,IRIDIAN GENOMES,54271,1179548,SAMN08214438
GCA_000689215.1,Dicentrarchus labrax (European seabass),Dicentrarchus labrax,30,2014/04/09 00:00,MPI-PZ,54134,26439989,SAMEA3271076
GCA_903798025.1,Danionella translucida (bony fishes),Danionella translucida,58,2020/06/16 00:00,SC,53453,6531461,SAMEA104129915
GCA_006937965.1,Callopanchax toddi (bony fishes),Callopanchax toddi,96,2019/07/12 00:00,Max Planck Institute for Biology of Ageing,52012,1656350,SAMN11370820
GCF_002814215.1,Seriola lalandi dorsalis (yellowtail amberjack),Seriola lalandi,180,2017/12/08 00:00,Iowa State University,51346,1269737,SAMN04902367
