AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample
GCF_003676395.1,Lagenorhynchus obliquidens (Pacific white-sided dolphin),Lagenorhynchus obliquidens,35.68,2018/10/23 00:00,Canada's Genomic Enterprise,255779,28371583,SAMN09386610
GCA_902729225.1,Pteropus giganteus (Indian flying fox),Pteropus giganteus,63,2020/04/15 00:00,CIRI-Inserm-U1111,255763,18871253,SAMEA5634742
GCF_005190385.1,Monodon monoceros (narwhal),Monodon monoceros,42,2019/05/06 00:00,The Narwhal Genome Initiative,255327,107566389,SAMN10872456
GCF_002288905.1,Enhydra lutris kenyoni (sea otter),Enhydra lutris,110,2017/09/11 00:00,BC Cancer Agency,244548,38751465,SAMN07211055
GCF_004028035.1,Eumetopias jubatus (Steller sea lion),Eumetopias jubatus,34.65,2019/01/15 00:00,Canada's Genomic Enterprise,242372,14018600,SAMN09402722
GCA_016433095.1,Hippotragus equinus (roan antelope),Hippotragus equinus,40,2020/12/29 00:00,"CIBIO, University of Porto",237164,8357620,SAMN16987477
GCA_004363575.1,Solenodon paradoxus (Hispaniolan solenodon),Solenodon paradoxus,29.3,2019/03/22 00:00,Broad Institute,236847,407682,SAMN07678062
GCA_014898785.1,Rangifer tarandus granti (reindeer),Rangifer tarandus,68,2020/10/20 00:00,Louisiana State University,231342,9347320,SAMN15639372
GCA_004024905.1,Tapirus indicus (Asiatic tapir),Tapirus indicus,41.4,2019/01/15 00:00,Broad Institute,225792,308930,SAMN07678113
GCA_004027205.1,Ctenodactylus gundi (northern gundi),Ctenodactylus gundi,51,2019/01/16 00:00,Broad Institute,218543,354548,SAMN07678018
GCA_003227395.1,Tursiops aduncus (Indo-pacific bottlenose dolphin),Tursiops aduncus,180,2018/06/14 00:00,Ewha Womans University,206065,1235788,SAMN06289673
GCF_011800145.1,Mirounga leonina (Southern elephant seal),Mirounga leonina,100,2020/03/31 00:00,Earth Biogenome Project,197952,54232831,SAMN13282320
GCF_002288925.2,Delphinapterus leucas (beluga whale),Delphinapterus leucas,117,2019/08/29 00:00,BC Cancer Agency,196689,31183418,SAMN06216270
GCA_004023785.1,Mungos mungo (banded mongoose),Mungos mungo,46.7,2019/01/15 00:00,Broad Institute,180702,236501,SAMN07678097
GCF_003709585.1,Acinonyx jubatus (cheetah),Acinonyx jubatus,71.74,2018/10/22 00:00,Felidae consortium,179924,48500042,SAMN09699341
GCA_003798545.1,Axis porcinus (Hog deer),Axis porcinus,197,2018/11/20 00:00,Novogene Bioinformatics Technology Corporation,172761,20764858,SAMN09386826
GCA_004025025.1,Tapirus terrestris (Brazilian tapir),Tapirus terrestris,44.2,2019/01/15 00:00,Broad Institute,164193,186384,SAMN07678114
GCA_004024665.1,Lemur catta (Ring-tailed lemur),Lemur catta,56,2019/01/15 00:00,Broad Institute,158439,215715,SAMN07678092
GCF_014570555.1,Manis pentadactyla (Chinese pangolin),Manis pentadactyla,281.6,2020/09/15 00:00,Yunnan University,151937,7836868,SAMN11464812
GCA_003121645.1,Ovis ammon (argali),Ovis ammon,168,2018/05/11 00:00,Northwest A&F University,151569,72289505,SAMN06233880
GCA_009660055.1,Ursus thibetanus thibetanus (Asiatic black bear),Ursus thibetanus,90.61,2019/11/13 00:00,Northwestern Polytechnical University,145966,26803000,SAMN12818422
GCF_009761245.1,Sapajus apella (Tufted capuchin),Sapajus apella,34,2019/12/17 00:00,Canada's Genomic Enterprise,144042,23742480,SAMN13265339
GCF_003676075.2,Marmota flaviventris (yellow-bellied marmot),Marmota flaviventris,45,2019/05/24 00:00,Canada's Genomic Enterprise,143681,11407078,SAMN10078668
GCA_004027475.1,Anoura caudifer (tailed tailless bat),Anoura caudifer,52.5,2019/01/16 00:00,Broad Institute,143417,185021,SAMN07678033
GCA_004026545.1,Mormoops blainvillei (Antillean ghost-faced bat),Mormoops blainvillei,32.8,2019/01/16 00:00,Broad Institute,142682,156292,SAMN07678133
GCA_004024845.1,Tonatia saurophila (stripe-headed round-eared bat),Tonatia saurophila,46.1,2019/01/15 00:00,Broad Institute,141649,165561,SAMN07678031
GCF_000767855.1,Camelus bactrianus (Bactrian camel),Camelus bactrianus,79.2,2014/10/23 00:00,"Inner Mongolia Agricultural University, P.R.China",139067,8812066,SAMN02953968
GCA_006408755.1,Eudorcas thomsonii (Thomson's gazelle),Eudorcas thomsonii,263,2019/06/24 00:00,Northwestern Polytechnical University,137476,1581717,SAMN08714486
GCA_004026585.1,Noctilio leporinus (greater bulldog bat),Noctilio leporinus,42.9,2019/01/16 00:00,Broad Institute,135651,191494,SAMN07678134
GCF_003265705.1,Callorhinus ursinus (northern fur seal),Callorhinus ursinus,27.44,2018/06/26 00:00,Canada's Genomics Enterprise,133024,31506801,SAMN09379881
GCA_006459105.1,Hydropotes inermis (Chinese water deer),Hydropotes inermis,76,2019/06/25 00:00,Northwestern Polytechnical University,131446,13818975,SAMN10176374
GCA_004023885.1,Cryptoprocta ferox (fossa),Cryptoprocta ferox,46.3,2019/01/15 00:00,Broad Institute,128639,173473,SAMN07678074
GCF_000952055.2,Aotus nancymaae (Ma's night monkey),Aotus nancymaae,132.4,2017/06/09 00:00,Baylor College of Medicine,126456,8268663,SAMN03121886
GCF_002102435.1,Odocoileus virginianus texanus (white-tailed deer),Odocoileus virginianus,150,2017/04/20 00:00,Baylor College of Medicine,122019,850721,SAMN05363940
GCA_011751065.1,Aeorestes cinereus (hoary bat),Aeorestes cinereus,42,2020/03/25 00:00,United States Geological Survey,120638,35075546,SAMN13850695
GCA_006547115.1,Erethizon dorsatum (North American porcupine),Erethizon dorsatum,25,2019/07/01 00:00,Canada's Genomic Enterprise,118744,16680019,SAMN10984256
GCA_007760645.1,Sousa chinensis (Indo-pacific humpbacked dolphin),Sousa chinensis,283,2019/07/31 00:00,BGI-SZ,113766,19436979,SAMN10523266
GCA_004023845.1,Helogale parvula (dwarf mongoose),Helogale parvula,32.3,2019/01/15 00:00,Broad Institute,113567,179119,SAMN07678086
GCA_004115125.1,Odocoileus hemionus hemionus (mule deer),Odocoileus hemionus,25,2019/01/30 00:00,University of Alberta,113295,838758,SAMN07977136
GCF_900497805.2,Vombatus ursinus (common wombat),Vombatus ursinus,87,2018/12/10 00:00,"MRC Institute of Genetics and Molecular Medicine, University of Edinburgh",113054,28503419,SAMEA4791334
GCF_000955945.1,Cercocebus atys (sooty mangabey),Cercocebus atys,192,2015/03/19 00:00,Human Genome Sequencing Center - BCM,112942,12849131,SAMN03379531
GCA_013239585.1,Lama glama chaku (llama),Lama glama,101.97,2020/06/02 00:00,Shanxi Agricultural University,111519,3269186,SAMN08141935
GCF_000956065.1,Macaca nemestrina (pig-tailed macaque),Macaca nemestrina,113.1,2015/03/19 00:00,Baylor College of Medicine,106897,15219753,SAMN03121842
GCA_009823505.1,Rhizomys pruinosus (hoary bamboo rat),Rhizomys pruinosus,205,2019/12/31 00:00,Chinese Academy of Sciences,103291,2203772,SAMN12815341
GCA_005280165.1,Marmota himalayana (Himalayan marmot),Marmota himalayana,206,2019/05/10 00:00,Xian Jiaotong University Health Science Center,102162,1497034,SAMN07661221
GCA_014898765.1,Puma yagouaroundi (jaguarundi),Puma yagouaroundi,37,2020/10/20 00:00,Felidae consortium,100211,49273425,SAMN14930875
GCA_002007465.1,Ailurus fulgens styani (lesser panda),Ailurus fulgens,115.5,2017/02/28 00:00,"Institute of Zoology, Chinese Academy of Sciences",99577,2983736,SAMN04169031
GCA_900661375.1,Lynx pardinus (Spanish lynx),Lynx pardinus,135,2019/03/28 00:00,CNAG,99542,1519745,SAMEA3862495
GCA_008692635.1,Crocuta crocuta (spotted hyena),Crocuta crocuta,95.2,2019/10/07 00:00,BGI,97873,7236831,SAMN12283067
GCA_003118495.1,Macaca fuscata fuscata (Japanese macaque),Macaca fuscata,42,2018/04/04 00:00,National Institutes of Natural Sciences,94905,94905,SAMD00113013
GCF_000283155.1,Ceratotherium simum simum (southern white rhinoceros),Ceratotherium simum,91,2012/07/31 00:00,Broad Institute,92960,26277727,SAMN00778988
GCF_003426925.1,Urocitellus parryii (Arctic ground squirrel),Urocitellus parryii,40,2018/08/24 00:00,UAF,91013,3964291,SAMN09469529
GCA_004024605.1,Pteronura brasiliensis (giant otter),Pteronura brasiliensis,47.7,2019/01/15 00:00,Broad Institute,90879,119023,SAMN07678049
GCA_014885135.1,Microtus fortis (reed vole),Microtus fortis,108,2020/10/13 00:00,"Shanghai Institute for Biological Sciences, Chinese Academy of Sciences",90682,9992017,SAMN07276871
GCF_000321225.1,Odobenus rosmarus divergens (Pacific walrus),Odobenus rosmarus,200,2013/01/16 00:00,Marine mammals,89951,2616778,SAMN01180787
GCF_003031525.1,Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise),Neophocaena asiaeorientalis,106,2018/04/03 00:00,Nanjing normal university,86003,6341296,SAMN05831577
GCF_014570535.1,Manis javanica (Malayan pangolin),Manis javanica,411.8,2020/09/15 00:00,Yunnan University,83964,13854118,SAMN11464811
GCA_004026525.1,Miniopterus schreibersii (Schreibers' long-fingered bat),Miniopterus schreibersii,24.8,2019/01/16 00:00,Broad Institute,82539,108707,SAMN07678147
