accession,submission_date,sequence_length,organism
KU131057,30-DEC-2018,16567,Andrias davidianus
KU131056,30-DEC-2018,16800,Andrias davidianus
KU131055,30-DEC-2018,16503,Andrias davidianus
KU131054,30-DEC-2018,16500,Andrias davidianus
KU131053,30-DEC-2018,16567,Andrias davidianus
KU131052,30-DEC-2018,16500,Andrias davidianus
KU131051,30-DEC-2018,16501,Andrias davidianus
KU131050,30-DEC-2018,16498,Andrias davidianus
KU131049,30-DEC-2018,16567,Andrias davidianus
KU131048,30-DEC-2018,16568,Andrias davidianus
KU131047,30-DEC-2018,16566,Andrias davidianus
KU131046,30-DEC-2018,16570,Andrias davidianus
KU131045,30-DEC-2018,16570,Andrias davidianus
KU131044,30-DEC-2018,16596,Andrias davidianus
KU131043,30-DEC-2018,16566,Andrias davidianus
KU131042,30-DEC-2018,16834,Andrias davidianus
KU131041,30-DEC-2018,16498,Andrias davidianus
KU131040,30-DEC-2018,16567,Andrias davidianus
MH727696,25-DEC-2018,17110,Oreolalax xiangchengensis
NC_039758,09-NOV-2018,20945,Mantella baroni
MH141597,24-SEP-2018,20945,Mantella baroni
NC_039411,10-OCT-2018,17061,Kaloula verrucosa
MG904865,10-SEP-2018,17404,Quasipaa sp. n. TTL-2018
NC_039182,24-AUG-2018,16358,Ambystoma talpoideum
NC_039176,24-AUG-2018,16764,Microhyla taraiensis
NC_039094,24-AUG-2018,18373,Nanorana ventripunctata
MG962359,01-SEP-2018,17061,Kaloula verrucosa
MG822788,08-AUG-2018,16358,Ambystoma talpoideum
MF496241,08-AUG-2018,16764,Microhyla taraiensis
NC_038130,31-JUL-2018,16729,Microhyla mixtura
KY594708,28-JUL-2018,18373,Nanorana ventripunctata
MF538787,16-JUL-2018,16729,Microhyla mixtura
NC_037713,05-JUL-2018,16391,Paramesotriton deloustali
KY744236,30-APR-2018,16391,Paramesotriton deloustali
KX298242,30-MAY-2018,16497,Andrias davidianus
KX298241,30-MAY-2018,16568,Andrias davidianus
KX298240,30-MAY-2018,16567,Andrias davidianus
KX298239,30-MAY-2018,16569,Andrias davidianus
NC_036493,18-DEC-2017,17325,Bokermannohyla alvarengai
KY399474,23-JAN-2018,16294,Cynops orientalis
KY829114,04-DEC-2017,17325,Bokermannohyla alvarengai
JX181763,30-DEC-2014,20926,Hoplobatrachus rugulosus
KU320632,27-NOV-2017,16725,Tylototriton kweichowensis
KU601448,21-AUG-2016,18305,Hyla tsinlingensis
NC_035494,24-AUG-2017,16759,Eurycea cirrigera
MF370348,02-AUG-2017,20571,Rana amurensis
KY752074,18-JUL-2017,16759,Eurycea cirrigera
NC_035008,13-JUN-2017,16361,Paramesotriton chinensis
NC_034984,13-JUN-2017,17986,Odorrana hainanensis
NC_034983,13-JUN-2017,18256,Odorrana wuchuanensis
KX056491,01-JUN-2017,17986,Odorrana hainanensis
KU680791,01-JUN-2017,18256,Odorrana wuchuanensis
KY609177,28-MAY-2017,16361,Paramesotriton chinensis
KY419887,14-MAR-2017,18611,Dryophytes suweonensis
NC_032380,27-DEC-2016,17448,Dryophytes suweonensis
KX854020,13-DEC-2016,17448,Dryophytes suweonensis
NC_031411,13-OCT-2016,17485,Leptobrachium leishanense
KU760082,03-OCT-2016,17485,Leptobrachium leishanense
KX352261,30-JUL-2016,16890,Scutiger liupanensis
KX352260,30-JUL-2016,16799,Scutiger ningshanensis
FJ432700,28-SEP-2009,18012,Quasipaa spinosa
EU652694,30-APR-2009,17843,Fejervarya cancrivora
JN627426,09-NOV-2011,15790,Pelophylax lessonae
JN627425,09-NOV-2011,15790,Pelophylax ridibundus
JN627424,09-NOV-2011,15790,Pelophylax lessonae
JN627423,09-NOV-2011,15793,Pelophylax ridibundus
JN627422,09-NOV-2011,16263,Pelophylax lessonae
JN627421,09-NOV-2011,16605,Pelophylax ridibundus
JN415127,31-OCT-2011,16403,Hynobius yangi
AY954506,09-DEC-2005,16202,Siphonops annulatus
AY957562,20-MAR-2005,17173,Bombina orientalis
AY789013,03-FEB-2005,17610,Xenopus tropicalis
AY728235,16-SEP-2004,21657,Bolitoglossa n. sp. RLM-2004
AY728234,16-SEP-2004,17220,Hydromantes brunus
AY728233,16-SEP-2004,16294,Phaeognathus hubrichti
AY728232,16-SEP-2004,20001,Plethodon cinereus
AY728231,16-SEP-2004,17421,Hemidactylium scutatum
AY728230,16-SEP-2004,16778,Gyrinophilus porphyriticus
AY728229,16-SEP-2004,17687,Nototriton abscondens
AY728228,16-SEP-2004,17559,Batrachoseps attenuatus
AY728227,16-SEP-2004,16628,Desmognathus fuscus
AY728226,16-SEP-2004,22184,Aneides hardii
AY728225,16-SEP-2004,16578,Desmognathus wrighti
AY728224,16-SEP-2004,19097,Thorius n. sp. RLM-2004
AY728223,16-SEP-2004,18767,Plethodon elongatus
AY728222,16-SEP-2004,19235,Plethodon petraeus
AY728221,16-SEP-2004,19789,Batrachoseps wrighti
AY728220,16-SEP-2004,16661,Pseudotriton ruber
AY728219,16-SEP-2004,21606,Rhyacotriton variegatus
AY728218,16-SEP-2004,16367,Ambystoma laterale
AY728217,16-SEP-2004,17184,Eurycea bislineata
AY728216,16-SEP-2004,22816,Ensatina eschscholtzii
AY728214,16-SEP-2004,20197,Aneides flavipunctatus
AY728213,16-SEP-2004,16731,Oedipina poelzi
AY728212,16-SEP-2004,19631,Stereochilus marginatus
AY585339,08-DEC-2004,17014,Discoglossus galganoi
AY585338,08-DEC-2004,17847,Bombina orientalis
AY585337,08-DEC-2004,17490,Alytes obstetricans pertinax
AY456253,09-SEP-2004,15973,Scolecomorphus vittatus
AY456250,09-SEP-2004,15897,Gegeneophis ramaswamii
AF154051,22-JUN-2000,17005,Typhlonectes natans
HQ324232,19-OCT-2011,17660,Nanorana pleskei
HM142901,26-OCT-2010,16593,Leiopelma archeyi
GU177877,30-OCT-2010,18321,Occidozyga martensii
GQ244476,21-SEP-2009,16200,Schistometopum thomense
GQ244474,21-SEP-2009,16238,Oscaecilia ochrocephala
GQ244473,21-SEP-2009,16180,Microcaecilia sp. PZ-2009
GQ244472,21-SEP-2009,16151,Hypogeophis rostratus
GQ244471,21-SEP-2009,16134,Gymnopis multiplicata
GQ244469,21-SEP-2009,16315,Geotrypetes seraphini
GQ244467,21-SEP-2009,16162,Dermophis mexicanus
GQ244466,21-SEP-2009,16187,Caecilia volcani
GQ244464,21-SEP-2009,15973,Boulengerula boulengeri
FJ594965,31-DEC-2009,16424,Hynobius yangi
NC_030627,12-JUL-2016,17702,Oreolalax lichuanensis
NC_030605,12-JUL-2016,17431,Oreolalax major
EF201847,31-DEC-2007,16407,Hynobius quelpaertensis
KU096847,28-JUN-2016,17702,Oreolalax lichuanensis
KU127230,25-JUN-2016,17431,Oreolalax major
NC_030333,17-JUN-2016,19312,Telmatobius chusmisensis
NC_026854,22-APR-2015,16533,Onychodactylus zhaoermii
NC_020048,31-DEC-2012,17405,Bufo tibetanus
NC_027236,18-JUN-2015,17343,Lithobates sylvaticus
NC_030049,04-MAY-2016,16722,Microhyla butleri
NC_030042,04-MAY-2016,18470,Rana amurensis
NC_030211,23-MAY-2016,17733,Glandirana emeljanovi
KT949346,28-MAY-2016,19312,Telmatobius chusmisensis
KU641020,10-MAY-2016,17733,Glandirana emeljanovi
KT972718,24-APR-2016,16722,Microhyla butleri
KU343216,18-APR-2016,18470,Rana amurensis
NC_029754,28-MAR-2016,17750,Fejervarya multistriata
NC_029410,01-MAR-2016,18023,Hyla ussuriensis
NC_029409,01-MAR-2016,17074,Kaloula rugifera
NC_029345,01-MAR-2016,16293,Pachytriton feii
KR071859,10-MAR-2016,17750,Fejervarya multistriata
NC_029231,12-FEB-2016,16727,Tylototriton kweichowensis
KT964710,03-FEB-2016,18023,Hyla ussuriensis
KT878719,03-FEB-2016,17074,Kaloula rugifera
KT373904,20-DEC-2015,16727,Tylototriton kweichowensis
KT899979,12-JAN-2016,16293,Pachytriton feii
NC_028521,03-DEC-2015,19253,Rana huanrensis
NC_028424,17-NOV-2015,17602,Strauchbufo raddei
NC_028297,05-NOV-2015,16737,Gyrinophilus palleucus
NC_028296,05-NOV-2015,17805,Rana draytonii
NC_028283,05-NOV-2015,17504,Lithobates okaloosae
NC_028278,05-NOV-2015,16336,Notophthalmus perstriatus
NC_028184,01-NOV-2015,17403,Batrachoseps nigriventris
KT588071,10-NOV-2015,19253,Rana huanrensis
KT601071,08-NOV-2015,17866,Megophrys sp. FH-2015
KT223827,03-NOV-2015,17602,Strauchbufo raddei
KR559270,24-OCT-2015,18348,Amolops tuberodepressus
KP013120,21-OCT-2015,16372,Ambystoma mavortium stebbinsi
KP013111,21-OCT-2015,16737,Gyrinophilus palleucus
KP013110,21-OCT-2015,17805,Rana draytonii
KP013091,21-OCT-2015,16336,Notophthalmus perstriatus
KP013096,21-OCT-2015,17504,Lithobates okaloosae
KT368149,13-OCT-2015,17403,Batrachoseps nigriventris
KT191129,08-SEP-2015,17572,Rhacophorus dennysi
KM587710,01-SEP-2015,17719,Bufo gargarizans minshanicus
NC_027686,04-AUG-2015,17939,Bufo stejnegeri
NC_027072,14-MAY-2015,17175,Leiopelma hochstetteri
KR136211,01-AUG-2015,17939,Bufo stejnegeri
NC_027452,14-JUL-2015,18052,Rhacophorus dennysi
KJ792087,30-APR-2015,17175,Leiopelma hochstetteri
KM035412,30-JUN-2015,18052,Rhacophorus dennysi
KJ933509,30-JUN-2015,17479,Amolops wuyiensis
KF771343,22-SEP-2014,17294,Glandirana emeljanovi
KF771342,22-SEP-2014,17347,Glandirana tientaiensis
KF771341,22-SEP-2014,17426,Glandirana rugosa
NC_026896,22-APR-2015,17366,Pelophylax shqipericus
NC_026895,22-APR-2015,18020,Pelophylax kurtmuelleri
NC_026894,22-APR-2015,18030,Pelophylax epeiroticus
NC_026893,22-APR-2015,18023,Pelophylax cypriensis
NC_026853,22-APR-2015,16537,Onychodactylus zhangyapingi
KP222281,05-JUN-2015,17343,Lithobates sylvaticus
KP233806,19-MAY-2015,16378,Liua tsinpaensis
KJ627182,13-APR-2015,16533,Onychodactylus zhaoermii
KJ627181,13-APR-2015,16537,Onychodactylus zhangyapingi
KP814012,04-APR-2015,17366,Pelophylax shqipericus
KP814011,04-APR-2015,18020,Pelophylax kurtmuelleri
KP814010,04-APR-2015,18030,Pelophylax epeiroticus
KP814009,04-APR-2015,18023,Pelophylax cypriensis
NC_026524,25-FEB-2015,18295,Hyla tsinlingensis
KP212702,10-FEB-2015,18295,Hyla tsinlingensis
KP122337,25-JAN-2015,16375,Batrachuperus pinchonii
NC_025575,14-NOV-2014,17829,Pelophylax cretensis
NC_025309,24-OCT-2014,17973,Hyla annectans
NC_025591,14-NOV-2014,17797,Amolops wuyiensis
KM677928,28-OCT-2014,17829,Pelophylax cretensis
KM386618,01-NOV-2014,17797,Amolops wuyiensis
NC_025226,04-OCT-2014,17681,Glandirana tientaiensis
NC_024843,17-SEP-2014,17072,Quasipaa yei
KJ941041,28-SEP-2014,17681,Glandirana tientaiensis
KJ842105,02-SEP-2014,17072,Quasipaa yei
NC_024748,26-AUG-2014,19053,Sylvirana guentheri
NC_024603,28-JUL-2014,17903,Odorrana margaretae
NC_024548,28-JUL-2014,22255,Rana kunyuensis
NC_024547,28-JUL-2014,16744,Microhyla pulchra
KM035413,17-AUG-2014,19053,Sylvirana guentheri
KJ815050,08-JUL-2014,17903,Odorrana margaretae
KF840516,08-JUL-2014,22255,Rana kunyuensis
KF798195,08-JUL-2014,16744,Microhyla pulchra
NC_024427,24-JUN-2014,17085,Leptobrachium boringii
NC_024272,11-JUN-2014,17412,Nanorana taihangnica
KJ630505,18-JUN-2014,17085,Leptobrachium boringii
NC_024180,30-MAY-2014,17744,Amolops mantzorum
KJ569109,01-JUN-2014,17412,Nanorana taihangnica
KJ546429,21-MAY-2014,17744,Amolops mantzorum
NC_023949,09-APR-2014,17772,Amolops ricketti
NC_021937,06-AUG-2013,17741,Quasipaa boulengeri
KF956111,06-APR-2014,17772,Amolops ricketti
KC686711,21-JUL-2013,17741,Quasipaa boulengeri
NC_023789,13-MAR-2014,16412,Hynobius maoershanensis
KF974475,01-MAR-2014,16412,Hynobius maoershanensis
NC_023380,23-JAN-2014,20093,Hemisus marmoratus
NC_022696,03-NOV-2013,18241,Lithobates catesbeianus
KF049927,24-SEP-2013,18241,Lithobates catesbeianus
JX878885,31-DEC-2012,17405,Bufo tibetanus
NC_020142,17-JAN-2013,16238,Oscaecilia ochrocephala
NC_020141,17-JAN-2013,16180,Microcaecilia sp. PZ-2009
NC_020140,17-JAN-2013,16151,Hypogeophis rostratus
NC_020139,17-JAN-2013,16134,Gymnopis multiplicata
NC_020138,17-JAN-2013,16162,Dermophis mexicanus
NC_020137,17-JAN-2013,16187,Caecilia volcani
NC_020136,17-JAN-2013,15973,Boulengerula boulengeri
KC196066,06-FEB-2013,16903,Hoplobatrachus rugulosus
NC_006402,09-NOV-2004,17575,Bombina fortinuptialis
AY458591,31-OCT-2004,17575,Bombina fortinuptialis
NC_018771,12-OCT-2012,18982,Babina adenopleura
NC_019615,03-DEC-2012,20309,Hoplobatrachus rugulosus
JX033120,15-SEP-2012,18982,Babina adenopleura
HM104684,21-NOV-2012,20309,Hoplobatrachus rugulosus
EU880341,22-NOV-2008,16259,Tylototriton wenxianensis
EU880340,22-NOV-2008,16262,Tylototriton asperrimus
EU880339,22-NOV-2008,16369,Lissotriton vulgaris
EU880338,22-NOV-2008,16303,Ommatotriton vittatus
EU880337,22-NOV-2008,16547,Triturus marmoratus
EU880336,22-NOV-2008,16572,Triturus cristatus
EU880335,22-NOV-2008,16385,Ichthyosaura alpestris
EU880334,22-NOV-2008,16316,Taricha rivularis
EU880333,22-NOV-2008,16310,Taricha granulosa
EU880332,22-NOV-2008,16252,Salamandrina terdigitata
EU880331,22-NOV-2008,16340,Salamandra salamandra
EU880330,22-NOV-2008,16392,Pleurodeles waltl
EU880329,22-NOV-2008,16255,Pleurodeles poireti
EU880328,22-NOV-2008,16361,Laotriton laoensis
EU880327,22-NOV-2008,16335,Paramesotriton deloustali
EU880326,22-NOV-2008,16294,Paramesotriton caudopunctatus
EU880325,22-NOV-2008,16288,Paramesotriton labiatus
EU880324,22-NOV-2008,16295,Pachytriton brevipes
EU880323,22-NOV-2008,16340,Notophthalmus viridescens
EU880322,22-NOV-2008,16379,Notophthalmus meridionalis
EU880321,22-NOV-2008,16319,Neurergus strauchii
EU880320,22-NOV-2008,16320,Neurergus kaiseri
EU880319,22-NOV-2008,17023,Mertensiella caucasica
EU880318,22-NOV-2008,16869,Lyciasalamandra flavimembris
EU880317,22-NOV-2008,16307,Euproctus platycephalus
EU880316,22-NOV-2008,16291,Euproctus montanus
EU880315,22-NOV-2008,16693,Echinotriton chinhaiensis
EU880314,22-NOV-2008,16275,Echinotriton andersoni
EU880313,22-NOV-2008,16288,Cynops pyrrhogaster
EU880312,22-NOV-2008,16296,Cynops orphicus
EU880311,22-NOV-2008,16299,Cynops orientalis
EU880310,22-NOV-2008,16290,Cynops ensicauda
EU880309,22-NOV-2008,16468,Cynops cyanurus
EU880308,22-NOV-2008,16584,Chioglossa lusitanica
EU880307,22-NOV-2008,16641,Calotriton asper
NC_016119,21-OCT-2011,17660,Nanorana pleskei
NC_014691,18-NOV-2010,16593,Leiopelma archeyi
NC_014685,18-NOV-2010,18321,Occidozyga martensii
NC_013825,16-FEB-2010,16424,Hynobius yangi
NC_013270,30-SEP-2009,18012,Quasipaa spinosa
NC_007911,17-MAR-2006,16202,Siphonops annulatus
NC_007888,08-MAR-2006,22874,Mantella madagascariensis
NC_007446,05-OCT-2005,16298,Andrias japonicus
NC_007178,06-JUL-2005,21359,Zhangixalus schlegelii
NC_006839,04-FEB-2005,17610,Xenopus tropicalis
NC_006690,24-JAN-2005,17014,Discoglossus galganoi
NC_006689,24-JAN-2005,17847,Bombina orientalis
NC_006688,24-JAN-2005,17490,Alytes obstetricans pertinax
NC_006342,01-OCT-2004,17421,Hemidactylium scutatum
NC_006331,01-OCT-2004,21606,Rhyacotriton variegatus
NC_006325,01-OCT-2004,19631,Stereochilus marginatus
NC_006346,01-OCT-2004,21657,Bolitoglossa n. sp. RLM-2004
NC_006336,01-OCT-2004,19097,Thorius n. sp. RLM-2004
NC_006340,01-OCT-2004,17559,Batrachoseps attenuatus
NC_006338,01-OCT-2004,22184,Aneides hardii
NC_006332,01-OCT-2004,16661,Pseudotriton ruber
NC_006341,01-OCT-2004,16778,Gyrinophilus porphyriticus
NC_006329,01-OCT-2004,17184,Eurycea bislineata
NC_006326,01-OCT-2004,16731,Oedipina poelzi
NC_006345,01-OCT-2004,17220,Hydromantes brunus
NC_006328,01-OCT-2004,22816,Ensatina eschscholtzii
NC_006333,01-OCT-2004,19789,Batrachoseps wrighti
NC_006344,01-OCT-2004,16294,Phaeognathus hubrichti
NC_006337,01-OCT-2004,16578,Desmognathus wrighti
NC_006339,01-OCT-2004,16628,Desmognathus fuscus
NC_006335,01-OCT-2004,18767,Plethodon elongatus
NC_006304,22-SEP-2004,15973,Scolecomorphus vittatus
NC_006301,22-SEP-2004,15897,Gegeneophis ramaswamii
NC_008975,28-MAY-2004,19959,Buergeria buergeri
NC_002471,22-JUN-2000,17005,Typhlonectes natans
NC_001573,24-AUG-1999,17553,Xenopus laevis
NC_012647,01-MAY-2009,17843,Fejervarya cancrivora
NC_008144,12-JUN-2006,17384,Pelobates cultripes
NC_002805,02-JUN-2001,17804,Pelophylax nigromaculatus
NC_051953,10-DEC-2020,16828,Pelobates fuscus
MW056200,28-NOV-2020,16293,Pachytriton granulosus
NC_050665,09-OCT-2020,17135,Bufotes sitibundus
MN073499,15-NOV-2020,16288,Paramesotriton labiatus
MW056201,09-NOV-2020,16313,Paramesotriton aurantius
MW004669,27-OCT-2020,16298,Pachytriton brevipes
MT934403,27-OCT-2020,17122,Odorrana exiliversabilis
MT993830,27-OCT-2020,16301,Pachytriton brevipes
MT627206,14-OCT-2020,15854,Rheobates palmatus
MT627204,14-OCT-2020,15852,Allobates amissibilis
MT627192,14-OCT-2020,15613,Allobates flaviventris
MT627185,14-OCT-2020,15580,Allobates aff. trilineatus 1 AR-2020
MT627178,14-OCT-2020,15950,Ameerega hahneli
MT410958,25-AUG-2020,17135,Bufotes sitibundus
MT410949,25-AUG-2020,16808,Pelophylax kurtmuelleri
MK855099,25-MAR-2020,17328,Anaxyrus americanus
MK890400,26-MAY-2019,16395,Pachyhynobius shangchengensis
MK890399,26-MAY-2019,16395,Pachyhynobius shangchengensis
MK890398,26-MAY-2019,16395,Pachyhynobius shangchengensis
MK890397,26-MAY-2019,16396,Pachyhynobius shangchengensis
MK890396,26-MAY-2019,16395,Pachyhynobius shangchengensis
MK890395,26-MAY-2019,16395,Pachyhynobius shangchengensis
MK890394,26-MAY-2019,16395,Pachyhynobius shangchengensis
MK890393,26-MAY-2019,16393,Pachyhynobius shangchengensis
MK890392,26-MAY-2019,16394,Pachyhynobius shangchengensis
MK890391,26-MAY-2019,16394,Pachyhynobius shangchengensis
MK890390,26-MAY-2019,16394,Pachyhynobius shangchengensis
MK890389,26-MAY-2019,16394,Pachyhynobius shangchengensis
MK890388,26-MAY-2019,16394,Pachyhynobius shangchengensis
MK890387,26-MAY-2019,16418,Pachyhynobius shangchengensis
MK890386,26-MAY-2019,16398,Pachyhynobius shangchengensis
MK890385,26-MAY-2019,16398,Pachyhynobius shangchengensis
MK890384,26-MAY-2019,16398,Pachyhynobius shangchengensis
MK890383,26-MAY-2019,16398,Pachyhynobius shangchengensis
MK890382,26-MAY-2019,16400,Pachyhynobius shangchengensis
MK890381,26-MAY-2019,16397,Pachyhynobius shangchengensis
MK890380,26-MAY-2019,16397,Pachyhynobius shangchengensis
MK890379,26-MAY-2019,16397,Pachyhynobius shangchengensis
MK890378,26-MAY-2019,16398,Pachyhynobius shangchengensis
MK890377,26-MAY-2019,16400,Pachyhynobius shangchengensis
MK890376,26-MAY-2019,16397,Pachyhynobius shangchengensis
MK890375,26-MAY-2019,16398,Pachyhynobius shangchengensis
MK890374,26-MAY-2019,16397,Pachyhynobius shangchengensis
MK890373,26-MAY-2019,16397,Pachyhynobius shangchengensis
MK890372,26-MAY-2019,16399,Pachyhynobius shangchengensis
MK890371,26-MAY-2019,16396,Pachyhynobius shangchengensis
MK890370,26-MAY-2019,16396,Pachyhynobius shangchengensis
MK890369,26-MAY-2019,16397,Pachyhynobius shangchengensis
MK890368,26-MAY-2019,16398,Pachyhynobius shangchengensis
MK890367,26-MAY-2019,16397,Pachyhynobius shangchengensis
MK890366,26-MAY-2019,16398,Pachyhynobius shangchengensis
MG772558,09-DEC-2019,18050,Pithecopus megacephalus
MK069979,24-NOV-2018,17483,Anomaloglossus baeobatrachus
MK069978,24-NOV-2018,17452,Anomaloglossus baeobatrachus
MK069973,24-NOV-2018,17228,Anomaloglossus baeobatrachus
MG264892,07-MAY-2018,17090,Anomaloglossus degranvillei
MF069441,30-AUG-2017,16547,Dendrobates tinctorius
MF069440,30-AUG-2017,16552,Dendrobates tinctorius
MF069439,30-AUG-2017,16534,Dendrobates tinctorius
MF069438,30-AUG-2017,16354,Dendrobates tinctorius
MF069437,30-AUG-2017,16484,Dendrobates tinctorius
MF069436,30-AUG-2017,16323,Dendrobates leucomelas
MF069435,30-AUG-2017,16521,Dendrobates leucomelas
MH822625,20-SEP-2020,16723,Microhyla fissipes
MT410942,25-AUG-2020,16828,Pelobates fuscus
MT483700,02-AUG-2020,17279,Rana temporaria
MN803320,04-JUL-2020,17786,Oreolalax major
NC_047225,26-APR-2020,17551,Bufotes pewzowi
NC_047224,26-APR-2020,17328,Anaxyrus americanus
MK855100,25-MAR-2020,17551,Bufotes pewzowi
MN122930,04-FEB-2020,16789,Pelophylax lessonae
MN122920,04-FEB-2020,16566,Bombina bombina
MN122891,04-FEB-2020,17579,Bufo bufo
MN122883,04-FEB-2020,16525,Pelophylax lessonae
MN122878,27-JAN-2020,16367,Lissotriton vulgaris
MN241124,13-JAN-2020,17603,Lithobates catesbeianus
