Assembly,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
GCF_000534875.1,Serinus canaria (Common canary),Serinus canaria,30,1/15/14 0:00,MPI MOLGEN,53884,17815079,SAMEA3138919,GCA_000534875.1,GCF_000534875.1,NA,NA
GCA_000586395.1,Lyrurus tetrix tetrix (black grouse),Lyrurus tetrix,50,3/8/14 0:00,Uppsala University,1029,1029,SAMN01814332,GCA_000586395.1,NA,SOLiD,no
GCA_000599485.1,Colinus virginianus (northern bobwhite),Colinus virginianus,77,3/20/14 0:00,Texas A&M University,6034,6260,SAMN02981558,GCA_000599485.1,NA,Illumina HiSeq,no
GCF_000687285.1,Phaethon lepturus (White-tailed tropicbird),Phaethon lepturus,39,5/8/14 0:00,BGI,22941,47896,SAMN02339888,GCA_000687285.1,GCF_000687285.1,Illumina HiSeq,no
GCA_000687265.1,Phoenicopterus ruber ruber (American flamingo),Phoenicopterus ruber,33,5/8/14 0:00,BGI,20262,38071,SAMN02339890,GCA_000687265.1,NA,Illumina HiSeq,no
GCF_000687205.1,Tyto alba (Barn owl),Tyto alba,27,5/8/14 0:00,BGI,17226,52818,SAMN02339894,GCA_000687205.1,GCF_000687205.1,Illumina HiSeq,no
GCF_000687185.1,Egretta garzetta (little egret),Egretta garzetta,74,5/9/14 0:00,"College of Medicine and Forensics, Xi'an Jiaotong University",29019,3067157,SAMN02596466,GCA_000687185.1,GCF_000687185.1,Illumina HiSeq,no
GCF_000687375.1,Pelecanus crispus (Dalmatian pelican),Pelecanus crispus,34,5/9/14 0:00,BGI,21679,43364,SAMN02339887,GCA_000687375.1,GCF_000687375.1,Illumina HiSeq,no
GCF_000690535.1,Cariama cristata (Red-legged seriema),Cariama cristata,24,5/12/14 0:00,BGI,24645,55197,SAMN02318733,GCA_000690535.1,GCF_000690535.1,Illumina HiSeq,no
GCF_000690715.1,Colius striatus (speckled mousebird),Colius striatus,27,5/13/14 0:00,BGI,25860,46063,SAMN02324230,GCA_000690715.1,GCF_000690715.1,Illumina HiSeq,no
GCF_000690775.1,Eurypyga helias (sunbittern),Eurypyga helias,33,5/13/14 0:00,BGI,24402,47243,SAMN02324546,GCA_000690775.1,GCF_000690775.1,Illumina HiSeq,no
GCF_000690835.1,Fulmarus glacialis (Northern fulmar),Fulmarus glacialis,33,5/13/14 0:00,BGI,25926,47208,SAMN02324803,GCA_000690835.1,GCF_000690835.1,Illumina HiSeq,no
GCF_000690875.1,Gavia stellata (red-throated loon),Gavia stellata,33,5/13/14 0:00,BGI,24321,45532,SAMN02324832,GCA_000690875.1,GCF_000690875.1,Illumina HiSeq,no
GCF_000691405.1,Haliaeetus albicilla (white-tailed eagle),Haliaeetus albicilla,26,5/15/14 0:00,BGI,25143,57319,SAMN02333670,GCA_000691405.1,GCF_000691405.1,Illumina HiSeq,no
GCF_000691845.1,Merops nubicus (carmine bee-eater),Merops nubicus,37,5/16/14 0:00,BGI,24675,48089,SAMN02338310,GCA_000691845.1,GCF_000691845.1,Illumina HiSeq,no
GCF_000692075.1,Opisthocomus hoazin (hoatzin),Opisthocomus hoazin,100,5/19/14 0:00,BGI,28179,2937227,SAMN02302474,GCA_000692075.1,GCF_000692075.1,Illumina HiSeq,no
GCF_000691785.1,Leptosomus discolor (cuckoo roller),Leptosomus discolor,32,5/23/14 0:00,BGI,24735,62640,SAMN02333687,GCA_000691785.1,GCF_000691785.1,Illumina HiSeq,no
GCF_000695815.1,Acanthisitta chloris (rifleman),Acanthisitta chloris,29,5/27/14 0:00,BGI,20602,64469,SAMN02318032,GCA_000695815.1,GCF_000695815.1,Illumina HiSeq,no
GCA_000696035.1,Aquila chrysaetos canadensis (golden eagle),Aquila chrysaetos,39,5/30/14 0:00,Purdue University,16346,1746960,SAMN02371870,GCA_000696035.1,NA,Illumina HiSeq,no
GCF_000695195.1,Chlamydotis macqueenii (Macqueen's bustard),Chlamydotis macqueenii,27,6/2/14 0:00,BGI,21641,45221,SAMN02324157,GCA_000695195.1,GCF_000695195.1,Illumina HiSeq,no
GCF_000691975.1,Corvus brachyrhynchos (American crow),Corvus brachyrhynchos,80,6/2/14 0:00,BGI,29093,6953989,SAMN02297499,GCA_000691975.1,GCF_000691975.1,Illumina HiSeq,no
GCF_000695765.1,Mesitornis unicolor (brown roatelo),Mesitornis unicolor,29,6/2/14 0:00,BGI,22740,47102,SAMN02339298,GCA_000695765.1,GCF_000695765.1,Illumina HiSeq,no
GCF_000696875.1,Nestor notabilis (Kea),Nestor notabilis,32,6/5/14 0:00,BGI,26546,61475,SAMN02339299,GCA_000696875.1,GCF_000696875.1,Illumina HiSeq,no
GCF_000699145.1,Aptenodytes forsteri (emperor penguin),Aptenodytes forsteri,60,6/6/14 0:00,BGI,31730,5071598,SAMN02596600,GCA_000699145.1,GCF_000699145.1,Illumina HiSeq,no
GCF_000699085.1,Calypte anna (Anna's hummingbird),Calypte anna,110,6/6/14 0:00,BGI,26738,4052191,SAMN02265252,GCA_000699085.1,GCF_000699085.1,Illumina HiSeq,yes
GCF_000699005.1,Picoides pubescens (Downy woodpecker),Picoides pubescens,105,6/6/14 0:00,BGI,24809,2093929,SAMN02314405,GCA_000699005.1,GCF_000699005.1,Illumina HiSeq,no
GCF_000699105.1,Pygoscelis adeliae (Adelie penguin),Pygoscelis adeliae,60,6/6/14 0:00,BGI,22195,5118896,SAMN02596601,GCA_000699105.1,GCF_000699105.1,Illumina HiSeq,no
GCF_000698965.1,Struthio camelus australis (African ostrich),Struthio camelus,85,6/6/14 0:00,BGI,34997,3593425,SAMN02316164,GCA_000698965.1,GCF_000698965.1,Illumina HiSeq,no
GCF_000699245.1,Pterocles gutturalis (yellow-throated sandgrouse),Pterocles gutturalis,25,6/9/14 0:00,BGI,26448,49530,SAMN02339892,GCA_000699245.1,GCF_000699245.1,Illumina HiSeq,no
GCF_000700745.1,Antrostomus carolinensis (chuck-will's-widow),Antrostomus carolinensis,30,6/10/14 0:00,BGI,22156,46345,SAMN02318612,GCA_000700745.1,GCF_000700745.1,Illumina HiSeq,no
GCA_000699945.1,Cathartes aura (turkey vulture),Cathartes aura,25,6/11/14 0:00,BGI,15248,36359,SAMN02319050,GCA_000699945.1,NA,Illumina HiSeq,no
GCA_000699545.1,Podiceps cristatus (great crested grebe),Podiceps cristatus,30,6/11/14 0:00,BGI,17412,30087,SAMN02339891,GCA_000699545.1,NA,Illumina HiSeq,no
GCF_000703405.1,Apaloderma vittatum (bar-tailed trogon),Apaloderma vittatum,28,6/16/14 0:00,BGI,28882,56673,SAMN02318033,GCA_000703405.1,GCF_000703405.1,Illumina HiSeq,no
GCF_000708225.1,Nipponia nippon (crested ibis),Nipponia nippon,105,6/16/14 0:00,"College of Medicine and Forensics, Xi'an Jiaotong University",29116,5211696,SAMN02596464,GCA_000708225.1,GCF_000708225.1,Illumina HiSeq,no
GCF_000709325.1,Cuculus canorus (common cuckoo),Cuculus canorus,100,6/17/14 0:00,BGI,38137,2989832,SAMN02298149,GCA_000709325.1,GCF_000709325.1,Illumina HiSeq,no
GCF_000708925.1,Phalacrocorax carbo (great cormorant),Phalacrocorax carbo,24,6/17/14 0:00,BGI,17343,48427,SAMN02339889,GCA_000708925.1,GCF_000708925.1,Illumina HiSeq,no
GCF_000709895.1,Balearica regulorum gibbericeps (East African grey crowned-crane),Balearica regulorum,33,6/25/14 0:00,BGI,23333,52178,SAMN02318095,GCA_000709895.1,GCF_000709895.1,Illumina HiSeq,no
GCF_000710305.1,Buceros rhinoceros silvestris (Rhinoceros hornbill),Buceros rhinoceros,35,6/25/14 0:00,BGI,14587,53203,SAMN02318191,GCA_000710305.1,GCF_000710305.1,Illumina HiSeq,no
GCF_000709365.1,Tauraco erythrolophus (red-crested turaco),Tauraco erythrolophus,30,6/25/14 0:00,BGI,22885,56334,SAMN02339893,GCA_000709365.1,GCF_000709365.1,Illumina HiSeq,no
GCF_000692015.1,Manacus vitellinus (golden-collared manakin),Manacus vitellinus,110,8/1/14 0:00,BGI,43697,2558866,SAMN02299332,GCA_001715985.3,GCF_001715985.3,Illumina HiSeq; PacBio,yes
GCF_000737465.1,Haliaeetus leucocephalus (bald eagle),Haliaeetus leucocephalus,103,8/4/14 0:00,The Bald Eagle Consortium,105493,9145499,SAMN02664716,GCA_000737465.1,GCF_000737465.1,Illumina,no
GCF_000708025.1,Charadrius vociferus (killdeer),Charadrius vociferus,100,8/5/14 0:00,BGI,39278,3657050,SAMN02296710,GCA_000708025.2,GCF_000708025.1,Illumina HiSeq,no
GCF_000705375.1,Tinamus guttatus (white-throated tinamou),Tinamus guttatus,100,8/5/14 0:00,BGI,29773,246268,SAMN02316659,GCA_000705375.2,GCF_000705375.1,Illumina HiSeq,no
GCF_000747805.1,Chaetura pelagica (chimney swift),Chaetura pelagica,106,9/4/14 0:00,BGI,30757,3841852,SAMN03018471,GCA_000747805.1,GCF_000747805.1,Illumina GA II,no
GCF_000766835.1,Aquila chrysaetos canadensis (golden eagle),Aquila chrysaetos,88,10/14/14 0:00,The Genome Institute - Washington University School of Medicine,172329,9230743,SAMN03079786,GCA_000766835.1,GCF_000766835.1,Illumina,no
GCA_900067835.1,Ficedula albicollis (Collared flycatcher),Ficedula albicollis,15,4/6/15 0:00,Uppsala University,4718,5639,SAMEA3166399,GCA_900067835.1,NA,NA,NA
GCF_000971095.1,Anser cygnoides domesticus (Swan goose),Anser cygnoides,107.35,4/8/15 0:00,Anser cygnoides Genome consortium,27608,5202740,SAMN01830643,GCA_000971095.1,GCF_000971095.1,Illumina Hiseq2000,no
GCA_001039765.2,Apteryx mantelli mantelli (North Island brown kiwi),Apteryx mantelli,37,6/23/15 0:00,MPI-EVA,16159,3956354,SAMEA2560515,GCA_001039765.2,NA,NA,NA
GCA_001281735.1,Zosterops lateralis melanops (silver-eye),Zosterops lateralis,64,9/14/15 0:00,Imperial College London,34514,3581248,SAMN03389315,GCA_001281735.1,NA,Illumina HiSeq,no
GCA_001420675.1,Amazona aestiva (blue-fronted amazon),Amazona aestiva,120,10/30/15 0:00,LNCC,26171,1281105,SAMN04014659,GCA_001420675.1,NA,Illumina; 454,no
GCF_001431845.1,Calidris pugnax (ruff),Calidris pugnax,113,11/4/15 0:00,BGI,109237,10060041,SAMN03491621,GCA_001431845.1,GCF_001431845.1,Illumina Hiseq2000,no
GCA_001458055.1,Calidris pugnax (ruff),Calidris pugnax,110,11/6/15 0:00,ED,65145,868209,SAMEA3535133,GCA_001458055.1,NA,NA,NA
GCF_001447265.1,Sturnus vulgaris (Common starling),Sturnus vulgaris,74,11/20/15 0:00,McDonnell Genome Institute - Washington University School of Medicine,151865,3416708,SAMN04029017,GCA_001447265.1,GCF_001447265.1,Illumina,no
GCF_001577835.2,Coturnix japonica (Japanese quail),Coturnix japonica,73,3/1/16 0:00,McDonnell Genome Institute - Washington University School of Medicine,511217,2975000,SAMN03989050,GCA_001577835.2,GCF_001577835.2,Illumina GA IIx,no
GCF_001604755.1,Lepidothrix coronata (blue-crowned manakin),Lepidothrix coronata,61,3/31/16 0:00,McDonnell Genome Institute,141849,4972619,SAMN04274560,GCA_001604755.1,GCF_001604755.1,Illumina,no
GCA_001655115.1,Phylloscopus plumbeitarsus (birds),Phylloscopus plumbeitarsus,30,6/2/16 0:00,University of British Columbia,5094,7450,SAMN04545452,GCA_001655115.1,NA,Illumina HiSeq,no
GCA_001655135.1,Phylloscopus trochiloides trochiloides (greenish warbler),Phylloscopus trochiloides,30,6/2/16 0:00,University of British Columbia,2938,3610,SAMN04539782,GCA_001655135.1,NA,Illumina HiSeq,no
GCA_001655095.1,Phylloscopus trochiloides viridanus (greenish warbler),Phylloscopus trochiloides,30,6/2/16 0:00,The University of British Columbia,11055,20629,SAMN02646017,GCA_001655095.1,NA,Illumina HiSeq,no
GCA_002305835.1,Phylloscopus trochilus acredula (Willow warbler),Phylloscopus trochilus,130,6/8/16 0:00,Lund University,388702,3249743,SAMN04881205,GCA_002305835.1,NA,Illumina HiSeq,no
GCA_000511605.2,Coturnix japonica (Japanese quail),Coturnix japonica,212,6/29/16 0:00,Tokyo University of Agriculture,32115,3851064,SAMD00009971,GCA_000511605.2,NA,Illumina,no
GCA_001700915.1,Passer domesticus (House sparrow),Passer domesticus,130,8/31/16 0:00,Sparrow Genome Consortium,51426,6373860,SAMN02929199,GCA_001700915.1,NA,Illumina HiSeq,no
GCA_001870855.1,Tympanuchus cupido pinnatus (greater prairie chicken),Tympanuchus cupido,95,11/7/16 0:00,Revive & Restore Heath Hen De-extinction Team,47484,12138678,SAMN05433571,GCA_001870855.1,NA,Illumina HiSeq,no
GCA_001887795.1,Columba livia (rock pigeon),Columba livia,60,12/2/16 0:00,Royal Veterinary College,27697,24540102,SAMN02981415,GCA_001887795.1,NA,Illumina,no
GCA_001887755.1,Falco peregrinus (peregrine falcon),Falco peregrinus,137.6,12/2/16 0:00,Royal Veterinary College,33994,26776924,SAMN02981425,GCA_001887755.1,NA,Illumina,no
GCA_002002965.1,Ciconia boyciana (Oriental stork),Ciconia boyciana,13,2/9/17 0:00,"Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies",11009,13257,SAMD00050841,GCA_002002965.1,NA,Illumina Miseq pair-end reads; Ion PGM single reads,no
GCA_002003005.1,Gallirallus okinawae (Okinawa rail),Gallirallus okinawae,44,2/9/17 0:00,"Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies",6245,6245,SAMD00050839,GCA_002003005.1,NA,Illumina Hiseq pair-end reads; Ion PGM single reads,no
GCA_002002985.1,Grus japonensis (Red-crowned crane),Grus japonensis,9,2/10/17 0:00,"Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies",8228,8606,SAMD00050840,GCA_002002985.1,NA,Illumina Miseq pair-end reads; Ion PGM single reads,no
GCA_002021895.1,Calypte anna (Anna's hummingbird),Calypte anna,55,2/28/17 0:00,Pacific Biosciences,5366327,5366327,SAMN02265252,GCA_002021895.1,NA,PacBio,yes
GCA_002008985.2,Taeniopygia guttata (zebra finch),Taeniopygia guttata,100,2/28/17 0:00,Pacific Biosciences,5807022,5807022,SAMN02981239,GCA_002008985.2,NA,PacBio,yes
GCA_002029285.1,Patagioenas fasciata monilis (band-tailed pigeon),Patagioenas fasciata,18,3/15/17 0:00,"University of California, Santa Cruz",17937,19987418,SAMN04386172,GCA_002029285.1,NA,Illumina HiSeq,no
GCA_002023255.2,Corvus cornix cornix (hooded crow),Corvus cornix,52,4/25/17 0:00,"Uppsala University, Evolutionary Biology Centre",8911460,18368925,SAMN02143031,GCA_002023255.2,NA,PacBio; BioNano Genomics,yes
GCF_002078875.1,Numida meleagris (helmeted guineafowl),Numida meleagris,100,6/1/17 0:00,INRA,234926,7868035,SAMN05969731,GCA_002078875.2,GCF_002078875.1,Illumina HiSeq,no
GCA_002166845.1,Anser cygnoides (Swan goose),Anser cygnoides,56.2,6/2/17 0:00,Poultry Science Institute,35039,5027881,SAMN02898389,GCA_002166845.1,NA,Illumina MiSeq,no
GCA_002167245.1,Sporophila hypoxantha (tawny-bellied seedeater),Sporophila hypoxantha,112,6/5/17 0:00,Cornell University,1043501,7965281,SAMN06754710,GCA_002167245.1,NA,Illumina HiSeq; PacBio,yes
GCA_002173455.1,Nannopterum auritus (double-crested cormorant),Nannopterum auritus,222.8,6/6/17 0:00,UCLA,97559,1990987,SAMN06226698,GCA_002173455.1,NA,Illumina HiSeq,no
GCA_002174335.1,Nannopterum brasilianus (Neotropic cormorant),Nannopterum brasilianus,170.99,6/6/17 0:00,UCLA,35201,86910,SAMN06832916,GCA_002174335.1,NA,Illumina HiSeq,no
GCA_002173475.1,Nannopterum harrisi (Galapagos flightless cormorant),Nannopterum harrisi,195.29,6/6/17 0:00,UCLA,100243,4648443,SAMN05301669,GCA_002173475.1,NA,Illumina HiSeq,no
GCA_002173435.1,Phalacrocorax pelagicus (Pelagic cormorant),Phalacrocorax pelagicus,155.7,6/6/17 0:00,UCLA,67731,1719903,SAMN06832911,GCA_002173435.1,NA,Illumina HiSeq,no
GCF_002197715.1,Lonchura striata domestica (Bengalese finch),Lonchura striata,142,6/19/17 0:00,HHMI/UCSF,100439,2953339,SAMN06283872,GCA_002197715.1,GCF_002197715.1,Illumina,no
GCA_002218305.1,Callipepla squamata (scaled quail),Callipepla squamata,292,7/13/17 0:00,Texas A&M University,154132,1035259,SAMN04255336,GCA_002218305.1,NA,Illumina HiSeq,no
GCA_000599465.2,Colinus virginianus (northern bobwhite),Colinus virginianus,122,7/13/17 0:00,Texas A&M University,56067,2042136,SAMN02981558,GCA_000599465.2,NA,Illumina HiSeq,no
GCA_002224895.1,Anas platyrhynchos (mallard),Anas platyrhynchos,208,7/25/17 0:00,BGI,38789,2490036,SAMN07337762,GCA_002224895.1,NA,Illumina Hiseq2000,no
GCA_002224875.1,Anas zonorhyncha (Eastern spot-billed duck),Anas zonorhyncha,220,7/25/17 0:00,BGI,33496,2077029,SAMN07337763,GCA_002224875.1,NA,Illumina Hiseq2000,no
GCA_002289315.1,Uria lomvia (thick-billed guillemot),Uria lomvia,68,9/11/17 0:00,Cornell University,24899,15847591,SAMN07414775,GCA_002289315.1,NA,Illumina HiSeq,no
GCA_002372975.1,Strix occidentalis caurina (northern spotted owl),Strix occidentalis,59.3,9/26/17 0:00,California Academy of Sciences,159062,3983020,SAMN05525316,GCA_002372975.1,NA,Illumina HiSeq; Illumina MiSeq,no
GCA_900205225.1,Saxicola maurus maurus (Siberian stonechat),Saxicola maurus,66,9/28/17 0:00,UNIVERSITY OF OXFORD,96283,10035936,SAMEA94256668,GCA_900205225.1,NA,NA,NA
GCA_002592135.1,Anser brachyrhynchus (Pink-footed goose),Anser brachyrhynchus,49,10/19/17 0:00,"Aarhus University, Denmark",97462,4974386,SAMN07629812,GCA_002592135.1,NA,Illumina HiSeq,no
GCA_002631895.1,Agapornis roseicollis (peach-faced lovebird),Agapornis roseicollis,100,10/23/17 0:00,North West University,28585,118346,SAMN06099614,GCA_002631895.1,NA,Illumina HiSeq,no
GCA_002743455.1,Anas platyrhynchos platyrhynchos (common mallard),Anas platyrhynchos,150,11/3/17 0:00,China Agricultural University,88037,74988519,SAMN07569716,GCA_002743455.1,NA,Illumina HiSeq; 10X Genomics; Bionano,no
GCA_002798355.1,Gallus gallus (chicken),Gallus gallus,243.8,12/5/17 0:00,Hanyang University,639813,90110113,SAMN07713967,GCA_002798355.1,NA,Illumina HiSeq; PacBio,yes
GCA_000337935.2,Columba livia (rock pigeon),Columba livia,60,12/13/17 0:00,BGI,26627,14233134,SAMN02981415,GCA_000337935.2,NA,Illumina,no
GCA_002844005.1,Limosa lapponica baueri (bar-tailed godwit),Limosa lapponica,71,12/15/17 0:00,Universidade Federal do Rio de Janeiro,21257,283007,SAMN05417616,GCA_002844005.1,NA,Illumina,no
GCA_002849675.1,Acridotheres javanicus (Javan myna),Acridotheres javanicus,103,1/2/18 0:00,National University of Singapore,144184,5538430,SAMN07828064,GCA_002849675.1,NA,Illumina HiSeq,no
GCA_002850735.1,Zonotrichia albicollis (white-throated sparrow),Zonotrichia albicollis,35,1/3/18 0:00,Georgia Institute of Technology,10896,32860,SAMN05726874,GCA_002850735.1,NA,Illumina HiSeq,no
GCA_002870145.1,Psittacula krameri (Rose-ringed parakeet),Psittacula krameri,75,1/9/18 0:00,DICE,23132,1191622,SAMN06459718,GCA_002870145.1,NA,Illumina HiSeq,no
GCF_002901205.1,Cyanistes caeruleus (blue tit),Cyanistes caeruleus,40,1/26/18 0:00,"Dr. Bernd Tmmermann, NGS core facility, MPI Molecular Genetics",105778,16846143,SAMN03734925,GCA_002901205.1,GCF_002901205.1,Illumina HiSeq,no
GCA_002909625.1,Bambusicola thoracicus (Chinese bamboo-partridge),Bambusicola thoracicus,25,1/31/18 0:00,University of Florida,10597,13160,SAMN07428836,GCA_002909625.1,NA,Illumina NextSeq 500,no
GCF_000002315.6,Gallus gallus (chicken),Gallus gallus,82,3/27/18 0:00,Genome Reference Consortium,17655422,20785086,SAMN02981218,GCA_000002315.5,GCF_000002315.5,Pacific Biosciences RSII (P6-C4 and P5-C3 chemistry),yes
GCF_003031625.1,Empidonax traillii (willow flycatcher),Empidonax traillii,124,4/3/18 0:00,UCLA,86564,895074,SAMN08663748,GCA_003031625.1,GCF_003031625.1,Illumina HiSeq,no
GCF_003259725.1,Athene cunicularia (burrowing owl),Athene cunicularia,46,6/21/18 0:00,Stefan Boerno's shared submissions,64091,42147404,SAMN08961563,GCA_003259725.1,GCF_003259725.1,Illumina,no
GCA_003264635.1,Pygoscelis adeliae (Adelie penguin),Pygoscelis adeliae,4.12,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22343,5226700,SAMN06701103,GCA_003264635.1,NA,SOLiD,no
GCA_003264665.1,Pygoscelis adeliae (Adelie penguin),Pygoscelis adeliae,3.162,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22339,5226628,SAMN06701102,GCA_003264665.1,NA,SOLiD,no
GCA_003264555.1,Pygoscelis antarcticus (chinstrap penguin),Pygoscelis antarcticus,3.064,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22336,5226338,SAMN06701107,GCA_003264555.1,NA,SOLiD,no
GCA_003264595.1,Pygoscelis antarcticus (chinstrap penguin),Pygoscelis antarcticus,4.665,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22340,5226391,SAMN06701106,GCA_003264595.1,NA,SOLiD,no
GCA_003264615.1,Pygoscelis papua (Gentoo penguin),Pygoscelis papua,0.433,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22339,5226675,SAMN06701104,GCA_003264615.1,NA,SOLiD,no
GCA_003264685.1,Pygoscelis papua (Gentoo penguin),Pygoscelis papua,9.16,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22342,5226246,SAMN06701105,GCA_003264685.1,NA,SOLiD,no
GCA_003264545.1,Spheniscus humboldti (Humboldt's penguin),Spheniscus humboldti,3.121,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22341,5226396,SAMN06701109,GCA_003264545.1,NA,SOLiD,no
GCA_003264735.1,Spheniscus humboldti (Humboldt's penguin),Spheniscus humboldti,3.688,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22339,5226263,SAMN06701108,GCA_003264735.1,NA,SOLiD,no
GCA_003264535.1,Spheniscus magellanicus (Magellanic penguin),Spheniscus magellanicus,3.857,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22336,5226289,SAMN06701111,GCA_003264535.1,NA,SOLiD,no
GCA_003264715.1,Spheniscus magellanicus (Magellanic penguin),Spheniscus magellanicus,3.071,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22337,5226395,SAMN06701112,GCA_003264715.1,NA,SOLiD,no
GCA_003264755.1,Spheniscus magellanicus (Magellanic penguin),Spheniscus magellanicus,3.454,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22337,5226340,SAMN06701110,GCA_003264755.1,NA,SOLiD,no
GCA_003264655.1,Spheniscus mendiculus (Galapagos penguin),Spheniscus mendiculus,3.971,6/25/18 0:00,Center for Bioinformatics and Integrative Biology,22339,5226231,SAMN06701113,GCA_003264655.1,NA,SOLiD,no
GCA_003286495.1,Hemignathus virens (Hawaii amakihi),Hemignathus virens,21,7/2/18 0:00,Smithsonian Institution NZP,23480,69780276,SAMN02854552,GCA_003286495.1,NA,Illumina HiSeq; 454,no
GCA_003342985.1,Apteryx haastii (Great spotted kiwi),Apteryx haastii,38.4,7/26/18 0:00,Harvard University,120127,1371329,SAMN08476452,GCA_003342985.1,NA,Illumina HiSeq,no
GCA_003342965.1,Apteryx owenii (little spotted kiwi),Apteryx owenii,60.5,7/26/18 0:00,Harvard University,138403,1622467,SAMN08476453,GCA_003342965.1,NA,Illumina HiSeq,no
GCF_003343035.1,Apteryx rowi (Okarito brown kiwi),Apteryx rowi,54.3,7/26/18 0:00,Harvard University,129376,1672276,SAMN08476454,GCA_003343035.1,GCF_003343035.1,Illumina HiSeq,no
GCA_003342895.1,Casuarius casuarius (southern cassowary),Casuarius casuarius,54.1,7/26/18 0:00,Harvard University,165721,3704890,SAMN08476455,GCA_003342895.1,NA,Illumina HiSeq,no
GCA_003342915.1,Crypturellus cinnamomeus (birds),Crypturellus cinnamomeus,47.5,7/26/18 0:00,Harvard University,60620,2401919,SAMN08476456,GCA_003342915.1,NA,Illumina HiSeq,no
GCF_003342905.1,Dromaius novaehollandiae (emu),Dromaius novaehollandiae,64.8,7/26/18 0:00,Harvard University,172131,3305683,SAMN08476457,GCA_003342905.1,GCF_003342905.1,Illumina HiSeq,no
GCA_003342815.1,Eudromia elegans (elegant crested-tinamou),Eudromia elegans,68,7/26/18 0:00,Harvard University,126242,3261870,SAMN08476458,GCA_003342815.1,NA,Illumina HiSeq,no
GCF_003342845.1,Nothoprocta perdicaria (birds),Nothoprocta perdicaria,76.2,7/26/18 0:00,Harvard University,95599,3369196,SAMN08476459,GCA_003342845.1,GCF_003342845.1,Illumina HiSeq,no
