#Organism Name,Organism Groups,Strain,BioSample,BioProject,AssemblyAccession,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,ReleaseOrder,Year,GenBank FTP,RefSeq FTP
Tetraodon nigroviridis,Osteichthyes,,SAMEA3138311,PRJNA12350,GCA_000180735.1,Scaffold,342.403,46.6,,CAAE01,25773,27918,5/14/2004,11,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/735/GCA_000180735.1_ASM18073v1,
Pan troglodytes,Mammalia,,NA,PRJNA12552,GCA_000090855.1, Chromosome,32.7991,41,chromosome 21:BA000046.3,,3,20,6/12/2004,12,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/855/GCA_000090855.1_ICC22C_chr21,
Canis lupus familiaris,Mammalia,,SAMN02953603,PRJNA13179,GCA_000002285.2, Chromosome,2410.98,41.3022,chromosome 1:NC_006583.3/CM000001.3; chromosome 2:NC_006584.3/CM000002.3; chromosome 3:NC_006585.3/CM000003.3; chromosome 4:NC_006586.3/CM000004.3; chromosome 5:NC_006587.3/CM000005.3; chromosome 6:NC_006588.3/CM000006.3; chromosome 7:NC_006589.3/CM000007.3; chromosome 8:NC_006590.3/CM000008.3; chromosome 9:NC_006591.3/CM000009.3; chromosome 10:NC_006592.3/CM000010.3; chromosome 11:NC_006593.3/CM000011.3; chromosome 12:NC_006594.3/CM000012.3; chromosome 13:NC_006595.3/CM000013.3; chromosome 14:NC_006596.3/CM000014.3; chromosome 15:NC_006597.3/CM000015.3; chromosome 16:NC_006598.3/CM000016.3; chromosome 17:NC_006599.3/CM000017.3; chromosome 18:NC_006600.3/CM000018.3; chromosome 19:NC_006601.3/CM000019.3; chromosome 20:NC_006602.3/CM000020.3; chromosome 21:NC_006603.3/CM000021.3; chromosome 22:NC_006604.3/CM000022.3; chromosome 23:NC_006605.3/CM000023.3; chromosome 24:NC_006606.3/CM000024.3; chromosome 25:NC_006607.3/CM000025.3; chromosome 26:NC_006608.3/CM000026.3; chromosome 27:NC_006609.3/CM000027.3; chromosome 28:NC_006610.3/CM000028.3; chromosome 29:NC_006611.3/CM000029.3; chromosome 30:NC_006612.3/CM000030.3; chromosome 31:NC_006613.3/CM000031.3; chromosome 32:NC_006614.3/CM000032.3; chromosome 33:NC_006615.3/CM000033.3; chromosome 34:NC_006616.3/CM000034.3; chromosome 35:NC_006617.3/CM000035.3; chromosome 36:NC_006618.3/CM000036.3; chromosome 37:NC_006619.3/CM000037.3; chromosome 38:NC_006620.3/CM000038.3; chromosome X:NC_006621.3/CM000039.3; mitochondrion MT:NC_002008.4/,AAEX03,3310,58776,7/10/2004,13,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/285/GCA_000002285.2_CanFam3.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/285/GCF_000002285.3_CanFam3.1
Homo sapiens,Mammalia,,NA,PRJNA10793,GCA_000002135.3, Chromosome,158.33,40,chromosome 7:BL000001.2,,6,0,8/11/2004,14,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/135/GCA_000002135.3_CRA_TCAGchr7v2,
Mus musculus,Mammalia,C57BL/6J,NA,PRJNA11777,GCA_000001635.9, Chromosome,2728.22,41.8825,chromosome 1:NC_000067.7/CM000994.3; chromosome 2:NC_000068.8/CM000995.3; chromosome 3:NC_000069.7/CM000996.3; chromosome 4:NC_000070.7/CM000997.3; chromosome 5:NC_000071.7/CM000998.3; chromosome 6:NC_000072.7/CM000999.3; chromosome 7:NC_000073.7/CM001000.3; chromosome 8:NC_000074.7/CM001001.3; chromosome 9:NC_000075.7/CM001002.3; chromosome 10:NC_000076.7/CM001003.3; chromosome 11:NC_000077.7/CM001004.3; chromosome 12:NC_000078.7/CM001005.3; chromosome 13:NC_000079.7/CM001006.3; chromosome 14:NC_000080.7/CM001007.3; chromosome 15:NC_000081.7/CM001008.3; chromosome 16:NC_000082.7/CM001009.3; chromosome 17:NC_000083.7/CM001010.3; chromosome 18:NC_000084.7/CM001011.3; chromosome 19:NC_000085.7/CM001012.3; chromosome X:NC_000086.8/CM001013.3; chromosome Y:NC_000087.8/CM001014.3; mitochondrion MT:NC_005089.1/AY172335.1,,102,92499,9/2/2004,15,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.9_GRCm39,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.27_GRCm39
Bos taurus,Mammalia,,SAMN02898106,PRJNA12555,GCA_000003205.6, Chromosome,2724.98,41.8685,chromosome 1:CM000177.6; chromosome 2:CM000178.7; chromosome 3:CM000179.6; chromosome 4:CM000180.6; chromosome 5:CM000181.7; chromosome 6:CM000182.7; chromosome 7:CM000183.7; chromosome 8:CM000184.6; chromosome 9:CM000185.7; chromosome 10:CM000186.6; chromosome 11:CM000187.6; chromosome 12:CM000188.7; chromosome 13:CM000189.7; chromosome 14:CM000190.6; chromosome 15:CM000191.7; chromosome 16:CM000192.5; chromosome 17:CM000193.6; chromosome 18:CM000194.7; chromosome 19:CM000195.6; chromosome 20:CM000196.6; chromosome 21:CM000197.6; chromosome 22:CM000198.6; chromosome 23:CM000199.8; chromosome 24:CM000200.7; chromosome 25:CM000201.6; chromosome 26:CM000202.7; chromosome 27:CM000203.6; chromosome 28:CM000204.6; chromosome 29:CM000205.6; chromosome X:CM000206.6; chromosome Y:CM001061.2,AAFC05,5998,0,10/1/2004,16,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/205/GCA_000003205.6_Btau_5.0.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/205/GCF_000003205.7_Btau_5.0.1
Monodelphis domestica,Mammalia,,SAMN02953611,PRJNA12561,GCF_000002295.2, Chromosome,3598.44,38.1446,chromosome 1:NC_008801.1/; chromosome 2:NC_008802.1/; chromosome 3:NC_008803.1/; chromosome 4:NC_008804.1/; chromosome 5:NC_008805.1/; chromosome 6:NC_008806.1/; chromosome 7:NC_008807.1/; chromosome 8:NC_008808.1/; chromosome X:NC_008809.1/; mitochondrion MT:NC_006299.1/,AAFR03,5223,49112,11/8/2004,17,2004,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/295/GCF_000002295.2_MonDom5
Pan troglodytes,Mammalia,Yerkes chimp pedigree #C0471 (Clint),SAMN06272697,PRJNA10627,GCA_002880755.3, Chromosome,3050.4,40.8082,chromosome 1:NC_036879.1/CM009238.2; chromosome 2A:NC_036880.1/CM009239.2; chromosome 2B:NC_036881.1/CM009240.2; chromosome 3:NC_036882.1/CM009241.2; chromosome 4:NC_036883.1/CM009242.2; chromosome 5:NC_036884.1/CM009243.2; chromosome 6:NC_036885.1/CM009244.2; chromosome 7:NC_036886.1/CM009245.2; chromosome 8:NC_036887.1/CM009246.2; chromosome 9:NC_036888.1/CM009247.2; chromosome 10:NC_036889.1/CM009248.2; chromosome 11:NC_036890.1/CM009249.2; chromosome 12:NC_036891.1/CM009250.2; chromosome 13:NC_036892.1/CM009251.2; chromosome 14:NC_036893.1/CM009252.2; chromosome 15:NC_036894.1/CM009253.2; chromosome 16:NC_036895.1/CM009254.2; chromosome 17:NC_036896.1/CM009255.2; chromosome 18:NC_036897.1/CM009256.2; chromosome 19:NC_036898.1/CM009257.2; chromosome 20:NC_036899.1/CM009258.2; chromosome 21:NC_036900.1/CM009259.2; chromosome 22:NC_036901.1/CM009260.2; chromosome X:NC_036902.1/CM009261.2; chromosome Y:NC_006492.4/; mitochondrion MT:NC_001643.1/,NBAG03,4432,80811,12/2/2004,18,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/880/755/GCA_002880755.3_Clint_PTRv2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/880/755/GCF_002880755.1_Clint_PTRv2
Oryctolagus cuniculus,Mammalia,,SAMN02953624,PRJNA12819,GCA_000003625.1, Chromosome,2737.46,44.0526,chromosome 1:NC_013669.1/CM000790.1; chromosome 2:NC_013670.1/CM000791.1; chromosome 3:NC_013671.1/CM000792.1; chromosome 4:NC_013672.1/CM000793.1; chromosome 5:NC_013673.1/CM000794.1; chromosome 6:NC_013674.1/CM000795.1; chromosome 7:NC_013675.1/CM000796.1; chromosome 8:NC_013676.1/CM000797.1; chromosome 9:NC_013677.1/CM000798.1; chromosome 10:NC_013678.1/CM000799.1; chromosome 11:NC_013679.1/CM000800.1; chromosome 12:NC_013680.1/CM000801.1; chromosome 13:NC_013681.1/CM000802.1; chromosome 14:NC_013682.1/CM000803.1; chromosome 15:NC_013683.1/CM000804.1; chromosome 16:NC_013684.1/CM000805.1; chromosome 17:NC_013685.1/CM000806.1; chromosome 18:NC_013686.1/CM000807.1; chromosome 19:NC_013687.1/CM000808.1; chromosome 20:NC_013688.1/CM000809.1; chromosome 21:NC_013689.1/CM000810.1; chromosome X:NC_013690.1/CM000811.1; mitochondrion MT:NC_001913.1/,AAGW02,3318,38463,5/13/2005,19,2005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/625/GCA_000003625.1_OryCun2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/625/GCF_000003625.3_OryCun2.0
Dasypus novemcinctus,Mammalia,3-136,SAMN02953623,PRJNA196486,GCA_000208655.2,Scaffold,3631.52,41.5,mitochondrion MT:NC_001821.1/,AAGV03,46559,38178,5/14/2005,20,2005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/208/655/GCA_000208655.2_Dasnov3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/655/GCF_000208655.1_Dasnov3.0
Loxodonta africana,Mammalia,ISIS603380,SAMN02953622,PRJNA12569,GCA_000001905.1,Scaffold,3196.74,40.9,mitochondrion MT:NC_000934.1/,AAGU03,2352,41267,5/18/2005,21,2005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/905/GCA_000001905.1_Loxafr3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/905/GCF_000001905.1_Loxafr3.0
Danio rerio,Osteichthyes,Tuebingen,SAMN06930106,PRJNA11776,GCA_000002035.4, Chromosome,1679.2,36.6374,chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/,,2848,57100,7/5/2005,22,2005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.4_GRCz11,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11
Mus musculus,Mammalia,mixed,SAMN03004379,PRJNA11785,GCA_000002165.1, Chromosome,3251.25,41.8304,chromosome 1:CM000209.2; chromosome 2:CM000210.1; chromosome 3:CM000211.2; chromosome 4:CM000212.2; chromosome 5:CM000213.2; chromosome 6:CM000214.2; chromosome 7:CM000215.2; chromosome 8:CM000216.2; chromosome 9:CM000217.2; chromosome 10:CM000218.2; chromosome 11:CM000219.2; chromosome 12:CM000220.2; chromosome 13:CM000221.2; chromosome 14:CM000222.2; chromosome 15:CM000223.2; chromosome 16:CM000224.2; chromosome 17:CM000225.2; chromosome 18:CM000226.2; chromosome 19:CM000227.1; chromosome X:CM000228.2; chromosome Y:CM000229.1,AAHY01,668539,45437,7/7/2005,23,2005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/165/GCA_000002165.1_Mm_Celera,
Rattus norvegicus,Mammalia,BN; Sprague-Dawley,SAMN03000701,PRJNA13999,GCA_000002265.1, Chromosome,2616.42,42.3564,chromosome 1:AC_000069.1/CM000231.2; chromosome 2:AC_000070.1/CM000232.2; chromosome 3:AC_000071.1/CM000233.2; chromosome 4:AC_000072.1/CM000234.2; chromosome 5:AC_000073.1/CM000235.2; chromosome 6:AC_000074.1/CM000236.2; chromosome 7:AC_000075.1/CM000237.2; chromosome 8:AC_000076.1/CM000238.2; chromosome 9:AC_000077.1/CM000239.2; chromosome 10:AC_000078.1/CM000240.1; chromosome 11:AC_000079.1/CM000241.2; chromosome 12:AC_000080.1/CM000242.1; chromosome 13:AC_000081.1/CM000243.2; chromosome 14:AC_000082.1/CM000244.2; chromosome 15:AC_000083.1/CM000245.1; chromosome 16:AC_000084.1/CM000246.2; chromosome 17:AC_000085.1/CM000247.2; chromosome 18:AC_000086.1/CM000248.2; chromosome 19:AC_000087.1/CM000249.2; chromosome 20:AC_000088.1/CM000250.2; chromosome X:AC_000089.1/CM000251.2,AAHX01,7271,28074,7/8/2005,24,2005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/265/GCA_000002265.1_Rn_Celera,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/265/GCF_000002265.2_Rn_Celera
Echinops telfairi,Mammalia,266,SAMN00216137,PRJNA12590,GCA_000313985.2,Scaffold,2947.12,43.8,mitochondrion MT:NC_002631.2/,AAIY03,7490,24821,8/16/2005,25,2005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/985/GCA_000313985.2_ASM31398v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/985/GCF_000313985.2_ASM31398v2
Cavia porcellus,Mammalia,inbred line 2N,SAMN02981223,PRJNA12583,GCA_000151735.1,Scaffold,2723.22,40.1,mitochondrion MT:NC_000884.1/,AAKN02,3144,37362,11/4/2005,26,2005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/735/GCA_000151735.1_Cavpor3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/735/GCF_000151735.1_Cavpor3.0
Sorex araneus,Mammalia,GB8-d,SAMN00210854,PRJNA13689,GCA_000181275.2,Scaffold,2423.16,43.4,,AALT02,12845,23427,11/5/2005,27,2005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/275/GCA_000181275.2_SorAra2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/275/GCF_000181275.1_SorAra2.0
Gasterosteus aculeatus,Osteichthyes,,SAMN02981227,PRJNA13579,GCA_000180675.1,Contig,446.611,44.6,,AANH01,16957,0,2/1/2006,28,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/675/GCA_000180675.1_ASM18067v1,
Macaca mulatta,Mammalia,17573,SAMN02981228,PRJNA12537,GCA_000002255.2, Chromosome,3097.39,38.0269,chromosome 1:CM000308.1; chromosome 2:CM000288.1; chromosome 3:CM000289.1; chromosome 4:CM000290.1; chromosome 5:CM000291.1; chromosome 6:CM000292.1; chromosome 7:CM000293.1; chromosome 8:CM000294.1; chromosome 9:CM000295.1; chromosome 10:CM000296.1; chromosome 11:CM000297.1; chromosome 12:CM000298.1; chromosome 13:CM000299.1; chromosome 14:CM000300.1; chromosome 15:CM000301.1; chromosome 16:CM000302.1; chromosome 17:CM000303.1; chromosome 18:CM000304.1; chromosome 19:CM000305.1; chromosome 20:CM000306.1; chromosome X:CM000307.1,AANU01,124036,0,2/8/2006,29,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/255/GCA_000002255.2_Mmul_051212,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/255/GCF_000002255.3_Mmul_051212
Erinaceus europaeus,Mammalia,,SAMN03004380,PRJNA12576,GCA_000181395.1,Contig,2133.12,41.5,,AANN01,847680,0,2/17/2006,30,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/395/GCA_000181395.1_ASM18139v1,
Ornithorhynchus anatinus,Mammalia,Glennie,SAMN02953646,PRJNA12885,GCA_000002275.2, Chromosome,1996.81,42.0008,chromosome 1:CM000409.1; chromosome 2:CM000410.1; chromosome 3:CM000411.1; chromosome 4:CM000412.1; chromosome 5:CM000413.1; chromosome 6:CM000414.1; chromosome 7:CM000415.1; chromosome 10:CM000416.1; chromosome 11:CM000417.1; chromosome 12:CM000418.1; chromosome 14:CM000419.1; chromosome 15:CM000420.1; chromosome 17:CM000421.1; chromosome 18:CM000422.1; chromosome 20:CM000423.1; chromosome X1:CM000424.1; chromosome X2:CM000425.1; chromosome X3:CM000426.1; chromosome X5:CM000427.1,AAPN01,201524,0,4/10/2006,31,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/275/GCA_000002275.2_ASM227v2,
Oryzias latipes,Osteichthyes,Hd-rR,SAMD00036523,PRJNA16702,GCA_000313675.1, Chromosome,869.818,42.2741,,BAAF04,7307,0,4/11/2006,32,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/675/GCA_000313675.1_ASM31367v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/675/GCF_000313675.1_ASM31367v1
