accession,submission_date,sequence_length,organism
AY605480,29-AUG-2004,16412,Bipes biporus
AY605479,29-AUG-2004,16246,Bipes tridactylus
AY605478,29-AUG-2004,16243,Bipes tridactylus
AY605477,29-AUG-2004,16222,Bipes tridactylus
AY605476,29-AUG-2004,16659,Geocalamus acutus
AY605474,29-AUG-2004,16730,Diplometopon zarudnyi
AY605473,29-AUG-2004,16988,Rhineura floridana
KU180459,05-JUL-2016,17154,Elaphe carinata
NC_027191,02-JUN-2015,17906,Gekko chinensis
NC_020340,25-FEB-2013,17937,Phrynocephalus axillaris
NC_030209,23-MAY-2016,17333,Takydromus amurensis
KU833245,18-MAY-2016,17193,Pituophis catenifer sayi
KU641018,10-MAY-2016,17333,Takydromus amurensis
NC_029494,01-MAR-2016,17225,Trimeresurus sichuanensis
NC_029424,01-MAR-2016,17222,Gloydius shedaoensis
NC_029352,01-MAR-2016,17175,Plestiodon chinensis
NC_029340,01-MAR-2016,16701,Callipepla squamata
NC_029186,12-FEB-2016,16808,Phrynocephalus albolineatus
KP232959,02-MAR-2016,16143,Phrynocephalus forsythii
KT266810,21-FEB-2016,17225,Trimeresurus sichuanensis
KT726957,07-FEB-2016,17221,Gloydius shedaoensis
KT726956,07-FEB-2016,17222,Gloydius shedaoensis
KT279358,20-JAN-2016,17175,Plestiodon chinensis
KT722338,12-JAN-2016,16701,Callipepla squamata
KR092427,06-JAN-2016,16899,Acanthosaura lepidogaster
KP279760,30-DEC-2015,16808,Phrynocephalus albolineatus
NC_028326,05-NOV-2015,17220,Paroedura picta
KR149293,28-OCT-2015,17220,Paroedura picta
NC_028035,08-OCT-2015,16544,Gekko japonicus
KR996131,23-SEP-2015,16544,Gekko japonicus
NC_027605,23-JUL-2015,17165,Elaphe schrenckii
KP888955,19-JUL-2015,17165,Elaphe schrenckii
KP666135,31-MAY-2015,17906,Gekko chinensis
NC_026867,22-APR-2015,17046,Zootoca vivipara
KM401599,02-APR-2015,17046,Zootoca vivipara
NC_026454,09-FEB-2015,17542,Phrynocephalus forsythii
NC_026308,31-JAN-2015,17298,Urosaurus nigricaudus
KP126516,02-FEB-2015,17542,Phrynocephalus forsythii
KP091282,28-JAN-2015,17298,Urosaurus nigricaudus
KJ630904,21-JUN-2014,16379,Phrynocephalus erythrurus parva
KM359148,27-DEC-2014,18033,Eremias velox
NC_025929,16-DEC-2014,18225,Eremias przewalskii
NC_025640,14-NOV-2014,16301,Phrynocephalus grumgrzimailoi
NC_025639,14-NOV-2014,16249,Phrynocephalus helioscopus
NC_025320,24-OCT-2014,19914,Eremias vermiculata
NC_025304,24-OCT-2014,19385,Eremias multiocellata
KM507330,26-NOV-2014,18225,Eremias przewalskii
KM093859,02-NOV-2014,16301,Phrynocephalus grumgrzimailoi
KM093858,02-NOV-2014,16249,Phrynocephalus helioscopus
NC_024875,17-SEP-2014,16279,Phrynocephalus guinanensis
KM104865,06-OCT-2014,19914,Eremias vermiculata
KM257724,01-OCT-2014,19385,Eremias multiocellata
NC_022473,26-SEP-2013,17193,Protobothrops dabieshanensis
KJ885621,13-SEP-2014,16279,Phrynocephalus guinanensis
KF003004,10-SEP-2013,17193,Protobothrops dabieshanensis
NC_024654,06-AUG-2014,16429,Phrynocephalus versicolor
NC_024612,28-JUL-2014,16283,Phrynocephalus putjatai
NC_024576,28-JUL-2014,17304,Plestiodon elegans
NC_024559,28-JUL-2014,17188,Lycodon rufozonatus
KJ749841,27-JUL-2014,16429,Phrynocephalus versicolor
KJ830752,08-JUL-2014,16283,Phrynocephalus putjatai
KJ643142,07-JUL-2014,17304,Plestiodon elegans
KJ179950,06-JUL-2014,17188,Lycodon rufozonatus
KJ551842,21-MAY-2014,16608,Phrynocephalus theobaldi orientalis
KC578685,24-MAR-2013,16660,Phrynocephalus mystaceus
NC_021412,10-JUN-2013,17234,Protobothrops mucrosquamatus
NC_022820,19-NOV-2013,17220,Trimeresurus albolabris
NC_022719,03-NOV-2013,16892,Phrynocephalus przewalskii
NC_022703,03-NOV-2013,18943,Takydromus sexlineatus
NC_022700,03-NOV-2013,17163,Dopasia harti
NC_022695,03-NOV-2013,17219,Protobothrops cornutus
NC_022430,24-SEP-2013,17163,Sibynophis chinensis
KF311102,13-NOV-2013,17220,Trimeresurus albolabris
KF572032,26-OCT-2013,16892,Phrynocephalus przewalskii
KF425529,29-SEP-2013,18943,Takydromus sexlineatus
KF279681,24-SEP-2013,17163,Dopasia harti
KF110978,24-SEP-2013,17219,Protobothrops cornutus
KF360246,17-SEP-2013,17163,Sibynophis chinensis
KC438281,19-MAY-2013,17234,Protobothrops mucrosquamatus
NC_021402,10-JUN-2013,17239,Protobothrops jerdonii
KC112560,20-MAY-2013,17239,Protobothrops jerdonii
NC_018050,13-JUN-2012,16818,Gekko swinhonis
JQ906550,19-MAY-2012,16818,Gekko swinhonis
NC_018777,12-OCT-2012,18236,Takydromus wolteri
JX181764,15-SEP-2012,18236,Takydromus wolteri
NC_016424,06-DEC-2011,17163,Sibynophis collaris
NC_006288,17-SEP-2004,16200,Bipes canaliculatus
NC_006286,17-SEP-2004,16222,Bipes tridactylus
NC_006282,17-SEP-2004,16988,Rhineura floridana
NC_006285,17-SEP-2004,16659,Geocalamus acutus
NC_006283,17-SEP-2004,16730,Diplometopon zarudnyi
NC_006287,17-SEP-2004,16412,Bipes biporus
NC_011393,22-OCT-2008,17234,Bungarus fasciatus
NC_008065,06-JUN-2006,16220,Xenagama taylori
HQ008865,28-AUG-2010,16585,Shinisaurus crocodilurus
JN211315,06-DEC-2011,17163,Sibynophis collaris
MW242820,21-DEC-2020,16467,Diploderma micangshanensis
MW250881,21-DEC-2020,19899,Eremias dzungarica
AB612271,03-JUN-2017,16830,Gonatodes albogularis
AB661663,03-JUN-2017,17662,Ptyodactylus guttatus
AB661665,03-JUN-2017,16994,Cyrtopodion scabrum
AB738948,03-JUN-2017,18974,Aeluroscalabotes felinus
AB606969,11-MAY-2017,17271,Bavayia robusta
AB738955,27-DEC-2016,17462,Eublepharis macularius
AB610502,24-JUL-2012,17043,Hemitheconyx caudicinctus
AB183287,04-JUL-2007,16670,Calotes versicolor
AB080237,06-JAN-2007,18245,Takydromus tachydromoides
AB008539,10-SEP-1998,17191,Lycodon semicarinatus
MT571495,15-DEC-2020,17042,Opisthotropis guangxiensis
MT547176,24-NOV-2020,17120,Sinomicrurus macclellandi
NC_050894,27-OCT-2020,18190,Pareas boulengeri
NC_050664,09-OCT-2020,16777,Tropidophorus hangnam
MW018358,09-NOV-2020,18475,Pseudoxenodon stejnegeri
MN866896,23-SEP-2020,18190,Pareas boulengeri
KT722705,07-NOV-2015,17154,Lacerta bilineata
MT472615,14-JUN-2020,18622,Iphisa elegans
MT561500,30-JUN-2020,17205,Hypsiglena jani jani
MT561499,30-JUN-2020,17190,Hypsiglena affinis
MT561498,30-JUN-2020,17202,Hypsiglena jani texana
MT561497,30-JUN-2020,17235,Hypsiglena jani texana
MT561496,30-JUN-2020,17235,Hypsiglena jani texana
MT561495,30-JUN-2020,17200,Hypsiglena sp. 1 DGM-2008
NC_048977,28-JUN-2020,19297,Anguis graeca
NC_048976,28-JUN-2020,17097,Anguis colchica
NC_048956,28-JUN-2020,17322,Anguis veronensis
NC_048879,19-JUN-2020,18622,Iphisa elegans
KX236332,31-MAY-2020,17322,Anguis veronensis
KX236331,31-MAY-2020,19297,Anguis graeca
KX236330,31-MAY-2020,17097,Anguis colchica
MN427890,27-MAY-2020,17259,Hebius optatum
NC_046795,10-APR-2020,17750,Hydrophis cyanocinctus
NC_046794,10-APR-2020,17702,Hydrophis curtus
MN646174,18-MAY-2020,17537,Eryx tataricus
MN661343,04-MAY-2020,17133,Dopasia gracilis
MK953550,15-MAR-2020,17750,Hydrophis cyanocinctus
MK953549,15-MAR-2020,17702,Hydrophis curtus
NC_046046,07-MAR-2020,17168,Lycodon ruhstrati
MK284224,25-FEB-2020,15883,Phrynocephalus axillaris
MK867843,08-FEB-2020,17168,Lycodon ruhstrati
NC_045408,12-DEC-2019,17027,Sphenomorphus indicus
NC_045232,12-DEC-2019,17263,Plestiodon tunganus
MK780743,21-DEC-2019,19330,Eryx tataricus
MK334307,08-DEC-2019,16942,Elaphe quatuorlineata
MK070315,08-DEC-2019,17187,Elaphe sauromates
MK450438,02-DEC-2019,17027,Sphenomorphus indicus
MK450437,02-DEC-2019,17538,Deinagkistrodon acutus
MK370739,11-NOV-2019,17263,Plestiodon tunganus
NC_044966,08-OCT-2019,17152,Macrovipera schweizeri
MH717075,16-SEP-2019,17152,Macrovipera schweizeri
NC_042397,06-JUN-2019,17641,Malayopython reticulatus
LC431744,14-MAY-2019,17203,Naja kaouthia
NC_041524,10-APR-2019,17242,Crotalus adamanteus
MK261078,01-MAY-2019,17972,Eremias vermiculata
MK261077,01-MAY-2019,17333,Eremias multiocellata
MH410033,17-APR-2019,17641,Malayopython reticulatus
NC_041124,18-MAR-2019,17417,Sphenomorphus incognitus
NC_041068,18-MAR-2019,17172,Elaphe dione
MH626511,13-MAR-2019,17242,Crotalus adamanteus
MH329292,04-FEB-2019,17417,Sphenomorphus incognitus
MH460961,20-JAN-2019,17172,Elaphe dione
NC_039649,06-NOV-2018,17642,Bothrops diporus
NC_039648,06-NOV-2018,17694,Bothrops pubescens
MG182599,09-SEP-2018,17642,Bothrops diporus
MG182598,09-SEP-2018,17694,Bothrops pubescens
NC_006922,04-APR-2005,16751,Pogona vitticeps
NC_036956,22-FEB-2018,16370,Vipera berus
MF945570,03-FEB-2018,16370,Vipera berus
MG182397,17-JAN-2018,16993,Pristurus rupestris rupestris
NC_035713,31-AUG-2017,17355,Thermophis baileyi
NC_035638,28-AUG-2017,16269,Agkistrodon contortrix
NC_035304,14-JUL-2017,17769,Gekko hokouensis
NC_035150,27-JUN-2017,18974,Aeluroscalabotes felinus
MF326642,26-JUL-2017,17355,Thermophis baileyi
KY747498,24-JUL-2017,16269,Agkistrodon contortrix
NC_035058,13-JUN-2017,17407,Thermophis shangrila
KT005801,30-JUN-2017,17769,Gekko hokouensis
MF066951,30-MAY-2017,17407,Thermophis shangrila
EU443257,25-NOV-2008,16969,Blanus cinereus
NC_033383,18-JAN-2017,17462,Eublepharis macularius
NC_032085,07-DEC-2016,17339,Achalinus rufescens
NC_032084,07-DEC-2016,17165,Achalinus spinalis
KT897595,10-NOV-2016,17339,Achalinus rufescens
KT897594,10-NOV-2016,17165,Achalinus spinalis
EF626817,26-DEC-2007,26474,Heteronotia binoei
EF626816,26-DEC-2007,25972,Heteronotia binoei
EF626815,26-DEC-2007,25746,Heteronotia binoei
EF626814,26-DEC-2007,24685,Heteronotia binoei
EF626813,26-DEC-2007,23466,Heteronotia binoei
EF626812,26-DEC-2007,22829,Heteronotia binoei
EF626811,26-DEC-2007,17015,Heteronotia binoei
EF626810,26-DEC-2007,17025,Heteronotia binoei
EF626809,26-DEC-2007,17026,Heteronotia binoei
EF626808,26-DEC-2007,17012,Heteronotia binoei
EF626807,26-DEC-2007,16988,Heteronotia binoei
KU174488,11-OCT-2016,17327,Thermophis shangrila
NC_030781,16-AUG-2016,17383,Azemiops feae
NC_030779,16-AUG-2016,17212,Scincella huanrenensis
NC_030760,16-AUG-2016,17526,Bothrops jararaca
NC_030776,16-AUG-2016,17103,Scincella vandenburghi
KU507306,08-AUG-2016,17212,Scincella huanrenensis
KU646826,07-AUG-2016,17103,Scincella vandenburghi
KU194299,31-JUL-2016,17526,Bothrops jararaca
KJ872487,30-JUL-2016,17383,Azemiops feae
FJ460598,29-NOV-2008,17297,Podarcis siculus
FJ460596,29-NOV-2008,17199,Phoenicolacerta kulzeri
FJ424614,11-NOV-2008,17239,Achalinus meiguensis
JQ086345,18-JAN-2012,18521,Eremias argus
FJ460597,29-NOV-2008,17311,Podarcis muralis
EU443256,25-NOV-2008,17479,Anguis fragilis
EU443255,25-NOV-2008,16593,Tarentola mauritanica
DQ343650,31-DEC-2007,17397,Hypsiscopus plumbea
DQ343649,31-DEC-2007,16397,Indotyphlops braminus
DQ343648,31-DEC-2007,17213,Naja naja
DQ343647,31-DEC-2007,17548,Deinagkistrodon acutus
AY282753,01-DEC-2005,16435,Gekko gecko
GQ245970,22-JUN-2009,16891,Hemidactylus frenatus
HM581978,30-JUN-2011,17258,Python molurus molurus
GQ166168,07-JUN-2009,17322,Thermophis zhaoermii
FJ752492,02-MAR-2009,17239,Trimeresurus stejnegeri stejnegeri
GQ181130,03-JUN-2009,17167,Oreocryptophis porphyraceus
EF222188,02-DEC-2008,18997,Kinyongia fischeri
NC_030369,17-JUN-2016,17788,Dopasia gracilis
NC_030273,31-MAY-2016,17208,Anguis cephallonica
NC_024179,30-MAY-2014,16908,Leiolepis reevesii
KJ530718,19-MAY-2014,16908,Leiolepis reevesii
NC_025938,16-DEC-2014,17097,Hemidactylus bowringii
NC_020039,31-DEC-2012,16680,Cnemaspis limi
KJ941042,06-JUN-2016,17788,Dopasia gracilis
NC_030210,23-MAY-2016,17415,Rhabdophis tigrinus
NC_030041,04-MAY-2016,17151,Ptyas mucosa
KU052866,21-MAY-2016,17208,Anguis cephallonica
KU641019,10-MAY-2016,17415,Rhabdophis tigrinus
NC_029878,12-APR-2016,19602,Eremias stummeri
KT372881,02-APR-2016,19602,Eremias stummeri
KT982276,18-APR-2016,17151,Ptyas mucosa
NC_028730,17-DEC-2015,17172,Lycodon flavozonatus
KJ179951,31-DEC-2015,17153,Lycodon ruhstrati
NC_028440,17-NOV-2015,17086,Lacerta bilineata
KR911720,05-DEC-2015,17172,Lycodon flavozonatus
NC_028049,14-OCT-2015,17164,Ptyas dhumnades
NC_028048,14-OCT-2015,17217,Ptyas major
KT447436,28-OCT-2015,17223,Protobothrops mucrosquamatus
KF148621,01-OCT-2015,17164,Ptyas dhumnades
KF148620,01-OCT-2015,17217,Ptyas major
KT225463,19-SEP-2015,17623,Deinagkistrodon acutus
NC_011394,22-OCT-2008,17267,Ophiophagus hannah
NC_012431,25-MAR-2009,17479,Anguis fragilis
EU921899,18-OCT-2008,17267,Ophiophagus hannah
NC_027089,14-MAY-2015,16631,Cyclura pinguis
KJ664798,08-MAY-2015,18996,Eremias multiocellata
NC_026052,10-JAN-2015,17230,Protobothrops mangshanensis
KF148622,31-MAR-2015,17189,Lycodon rufozonatus
NC_026051,10-JAN-2015,17228,Protobothrops maolanensis
KP115216,14-FEB-2015,16635,Teratoscincus roborowskii
NC_026083,10-JAN-2015,17292,Stichophanes ningshaanensis
NC_026105,10-JAN-2015,16519,Goniurosaurus luii
KF806482,17-JAN-2015,17571,Dopasia harti
KJ719252,01-JAN-2015,17292,Stichophanes ningshaanensis
KF039901,31-DEC-2014,17230,Protobothrops mangshanensis
KF039900,31-DEC-2014,17228,Protobothrops maolanensis
NC_025275,24-OCT-2014,17183,Elaphe taeniura
KM455054,14-DEC-2014,16519,Goniurosaurus luii
KM508815,07-DEC-2014,17097,Hemidactylus bowringii
KC990021,19-OCT-2014,17183,Elaphe taeniura
NC_020038,31-DEC-2012,16881,Phyllodactylus unctus
JX290083,31-JUL-2013,17838,Takydromus sylvaticus
HQ896026,31-DEC-2012,16680,Cnemaspis limi
HQ896027,31-DEC-2012,16881,Phyllodactylus unctus
NC_024743,26-AUG-2014,17183,Elaphe bimaculata
NC_024557,28-JUL-2014,16528,Aprasia parapulchella
KM065513,14-AUG-2014,17183,Elaphe bimaculata
KJ004564,01-JUL-2014,16528,Aprasia parapulchella
NC_022146,27-AUG-2013,17159,Oocatochus rufodorsatus
KC990020,11-AUG-2013,17159,Oocatochus rufodorsatus
NC_015812,14-JUL-2011,17258,Python molurus molurus
NC_012902,01-JUL-2009,16891,Hemidactylus frenatus
NC_012816,19-JUN-2009,17322,Thermophis zhaoermii
NC_007627,07-DEC-2005,16435,Gekko gecko
NC_005958,02-JUL-2004,16016,Abronia graminea
NC_005962,02-JUL-2004,17184,Smaug warreni
NC_005961,02-JUL-2004,16218,Rena humilis
NC_005959,02-JUL-2004,16583,Shinisaurus crocodilurus
NC_005960,02-JUL-2004,17072,Sceloporus occidentalis
NC_001945,24-AUG-1999,17191,Lycodon semicarinatus
NC_012770,04-JUN-2009,17167,Oreocryptophis porphyraceus
NC_012465,26-MAR-2009,18997,Kinyongia fischeri
NC_012433,25-MAR-2009,16969,Blanus cinereus
NC_012366,24-MAR-2009,16593,Tarentola mauritanica
NC_012146,06-MAR-2009,17239,Trimeresurus stejnegeri stejnegeri
NC_011609,01-DEC-2008,17297,Podarcis siculus
NC_011607,01-DEC-2008,17311,Podarcis muralis
NC_011606,01-DEC-2008,17199,Phoenicolacerta kulzeri
NC_011576,14-NOV-2008,17239,Achalinus meiguensis
NC_010292,25-JAN-2008,25972,Heteronotia binoei
NC_010196,03-JAN-2008,16397,Indotyphlops braminus
NC_010200,03-JAN-2008,17397,Hypsiscopus plumbea
NC_010223,03-JAN-2008,17548,Deinagkistrodon acutus
NC_010225,03-JAN-2008,17213,Naja naja
NC_009683,24-JUL-2007,16670,Calotes versicolor
NC_008772,10-JAN-2007,16946,Gekko vittatus
NC_008328,06-SEP-2006,17156,Lacerta viridis viridis
NC_018368,10-AUG-2012,17043,Hemitheconyx caudicinctus
AB738952,18-NOV-2014,18672,Stenodactylus petrii
AB738950,18-NOV-2014,16830,Uroplatus ebenaui
AB738945,18-NOV-2014,16762,Lepidodactylus lugubris
AB661664,18-NOV-2014,17533,Phelsuma guimbeaui
AB661661,18-NOV-2014,20248,Tropiocolotes tripolitanus
AB612276,18-NOV-2014,16780,Uroplatus fimbriatus
AB476400,22-MAY-2010,16552,Leiolepis guttata
AB475096,22-MAY-2010,16129,Hydrosaurus amboinensis
AB474916,22-MAY-2010,16832,Trioceros melleri
AB474915,22-MAY-2010,17497,Calumma parsonii
AB474914,22-MAY-2010,17324,Brookesia decaryi
AB114447,22-MAY-2010,16380,Uromastyx benti
AB266749,10-JUN-2009,17743,Polychrus marmoratus
AB266748,10-JUN-2009,16851,Chalarodon madagascariensis
AB266739,10-JUN-2009,16681,Leiocephalus personatus
AB218884,10-JUN-2009,17563,Gambelia wislizenii
AB218883,10-JUN-2009,16948,Basiliscus vittatus
AB218720,10-JUN-2009,17122,Oplurus grandidieri
AB185327,06-JAN-2007,18511,Varanus niloticus
AB185326,06-JAN-2007,18021,Furcifer oustaleti
AB167711,06-JAN-2007,16846,Heloderma suspectum
AB162909,06-JAN-2007,16682,Geocalamus acutus
AB162908,06-JAN-2007,16158,Lepidophyma flavimaculatum
AB114446,06-JAN-2007,17110,Coleonyx variegatus
AB179620,24-AUG-2005,18872,Xenopeltis unicolor
AB179619,24-AUG-2005,17499,Cylindrophis ruffus
AB177879,24-AUG-2005,17604,Acrochordus granulatus
AB177878,24-AUG-2005,17245,Python regius
AB177354,24-AUG-2005,18905,Boa constrictor
AB175670,24-AUG-2005,17388,Ovophis okinavensis
AB016606,18-JUN-1999,17407,Plestiodon egregius lividus
MN379928,24-AUG-2020,17680,Bothrops diporus
MN379927,24-AUG-2020,17686,Bothrops pubescens
NC_050005,03-AUG-2020,16976,Darevskia brauneri
NC_050004,03-AUG-2020,17479,Darevskia chlorogaster
NC_050003,03-AUG-2020,17189,Darevskia daghestanica
NC_050002,03-AUG-2020,16301,Darevskia clarkorum
NC_050001,03-AUG-2020,20478,Darevskia raddei
NC_050000,03-AUG-2020,16418,Darevskia praticola
NC_049999,03-AUG-2020,16343,Darevskia caucasica
NC_049998,03-AUG-2020,16960,Darevskia derjugini
MH481137,24-JUL-2020,16976,Darevskia brauneri
MH481136,24-JUL-2020,17479,Darevskia chlorogaster
MH481135,24-JUL-2020,17189,Darevskia daghestanica
MH481134,24-JUL-2020,16301,Darevskia clarkorum
MH481133,24-JUL-2020,20478,Darevskia raddei
MH481132,24-JUL-2020,16418,Darevskia praticola
MH481131,24-JUL-2020,16343,Darevskia caucasica
MH481130,24-JUL-2020,16960,Darevskia derjugini
MT410899,21-JUL-2020,17069,Lacerta agilis
KR812112,31-MAY-2020,17162,Ptyas dhumnades
NC_046012,07-MAR-2020,17524,Darevskia saxicola
NC_046011,07-MAR-2020,17534,Darevskia rudis
NC_046010,07-MAR-2020,17529,Darevskia portschinskii
NC_046009,07-MAR-2020,17510,Darevskia parvula
NC_046008,07-MAR-2020,17532,Darevskia mixta
NC_046007,07-MAR-2020,17528,Darevskia dahli
NC_046006,07-MAR-2020,17521,Darevskia armeniaca
NC_045934,24-FEB-2020,17393,Darevskia valentini
MG704921,06-FEB-2020,17524,Darevskia saxicola
MG704920,06-FEB-2020,17534,Darevskia rudis
MG704919,06-FEB-2020,17529,Darevskia portschinskii
MG704918,06-FEB-2020,17510,Darevskia parvula
MG704917,06-FEB-2020,17532,Darevskia mixta
MG704916,06-FEB-2020,17528,Darevskia dahli
MG704915,06-FEB-2020,17521,Darevskia armeniaca
MG655240,04-FEB-2020,17393,Darevskia valentini
MN122865,27-JAN-2020,17051,Zootoca vivipara
MN122840,22-JAN-2020,17134,Anguis fragilis
MH157278,28-OCT-2019,17286,Podarcis siculus
MH157277,28-OCT-2019,17286,Podarcis siculus
MH157276,28-OCT-2019,17287,Podarcis siculus
MH157275,28-OCT-2019,17287,Podarcis siculus
MH157274,28-OCT-2019,17287,Podarcis siculus
MH157273,28-OCT-2019,17282,Podarcis siculus
MH157272,28-OCT-2019,17282,Podarcis siculus
MH157271,28-OCT-2019,17282,Podarcis siculus
MH157270,28-OCT-2019,17282,Podarcis siculus
MH157269,28-OCT-2019,17282,Podarcis siculus
MH157268,28-OCT-2019,17297,Podarcis siculus
MH157267,28-OCT-2019,17297,Podarcis siculus
MH157266,28-OCT-2019,17297,Podarcis siculus
MH157265,28-OCT-2019,17297,Podarcis siculus
MH046197,22-OCT-2019,17297,Podarcis siculus
NC_044967,08-OCT-2019,16568,Xerotyphlops vermicularis
MH745105,16-SEP-2019,16568,Xerotyphlops vermicularis
BK010487,09-MAY-2019,17271,Sceloporus woodi
BK010486,09-MAY-2019,16744,Sceloporus grammicus
NC_041001,27-FEB-2019,16705,Holbrookia lacerata
MH000189,16-JAN-2019,16715,Holbrookia lacerata
MH000188,16-JAN-2019,16596,Holbrookia lacerata
MH000185,16-JAN-2019,16735,Holbrookia lacerata
MH000183,16-JAN-2019,16661,Holbrookia lacerata
MH000182,16-JAN-2019,16678,Holbrookia lacerata
MH000181,16-JAN-2019,16671,Holbrookia lacerata
MH000180,16-JAN-2019,16106,Holbrookia lacerata
MH000179,16-JAN-2019,16768,Holbrookia lacerata
MH000178,16-JAN-2019,16744,Holbrookia lacerata
MH000177,16-JAN-2019,16677,Holbrookia lacerata
MH000176,16-JAN-2019,16799,Holbrookia lacerata
MH000175,16-JAN-2019,16833,Holbrookia lacerata
MH000174,16-JAN-2019,16847,Holbrookia lacerata
MH000173,16-JAN-2019,16812,Holbrookia lacerata
MH000172,16-JAN-2019,15609,Holbrookia lacerata
MH000171,16-JAN-2019,16675,Holbrookia lacerata
MH000170,16-JAN-2019,16766,Holbrookia lacerata
MH000168,16-JAN-2019,16715,Holbrookia lacerata
MH000167,16-JAN-2019,16741,Holbrookia lacerata
MH000164,16-JAN-2019,16771,Holbrookia lacerata
MH000163,16-JAN-2019,16860,Holbrookia lacerata
MH000162,16-JAN-2019,16668,Holbrookia lacerata
MH000160,16-JAN-2019,15542,Holbrookia lacerata
MH000159,16-JAN-2019,16732,Holbrookia lacerata
MH000157,16-JAN-2019,16745,Holbrookia lacerata
MH000155,16-JAN-2019,16703,Holbrookia lacerata
MH000154,16-JAN-2019,16503,Holbrookia lacerata
MH000153,16-JAN-2019,15587,Holbrookia lacerata
MH000152,16-JAN-2019,16542,Holbrookia lacerata
MH000151,16-JAN-2019,16653,Holbrookia lacerata
MH000150,16-JAN-2019,16707,Holbrookia lacerata
MH000149,16-JAN-2019,16892,Holbrookia lacerata
MH000145,16-JAN-2019,16700,Holbrookia lacerata
MH000144,16-JAN-2019,16746,Holbrookia lacerata
MH000143,16-JAN-2019,16702,Holbrookia lacerata
MH000142,16-JAN-2019,15596,Holbrookia lacerata
MH000141,16-JAN-2019,16672,Holbrookia lacerata
MH000139,16-JAN-2019,16747,Holbrookia lacerata
MH000138,16-JAN-2019,16673,Holbrookia lacerata
MH000137,16-JAN-2019,16732,Holbrookia lacerata
MH000136,16-JAN-2019,16705,Holbrookia lacerata
NC_039541,06-NOV-2018,17140,Diploderma flaviceps
KX881372,01-SEP-2018,17140,Diploderma flaviceps
KJ689381,30-DEC-2015,17389,Protobothrops himalayanus
MF039065,13-DEC-2017,16456,Phrynocephalus erythrurus erythrurus
MF039064,13-DEC-2017,17041,Phrynocephalus frontalis
MF039063,13-DEC-2017,16365,Phrynocephalus theobaldi theobaldi
