Organism Groups,AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmissionYear,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
Amphibia,GCA_009801035.1,Oophaga pumilio (strawberry poison frog),Oophaga pumilio,136,12/27/2019,2019,"University of California, Berkeley",5836,77984,SAMN09702071,NA,NA,NA,NA
Amphibia,GCA_002284835.2,Lithobates catesbeianus (American bullfrog),Lithobates catesbeianus,66,9/1/2017,2017,BC Cancer Agency,5415,39368,SAMN03760860,NA,NA,NA,NA
Amphibia,GCA_009802015.1,Rana temporaria (common frog),Rana temporaria,69,12/27/2019,2019,"University of California, Berkeley",2889,49315,SAMN12123141,NA,NA,NA,NA
Amphibia,GCA_009364475.1,Spea bombifrons (plains spadefoot toad),Spea bombifrons,159,10/28/2019,2019,University of Southern California,522,522,SAMN11282360,NA,NA,NA,NA
Amphibia,GCA_009364455.1,Scaphiopus holbrookii (eastern spadefoot toad),Scaphiopus holbrookii,39,10/28/2019,2019,University of Southern California,514,514,SAMN11282362,NA,NA,NA,NA
Amphibia,GCA_009364435.1,Scaphiopus couchii (Couch's spadefoot toad),Scaphiopus couchii,25,10/28/2019,2019,University of Southern California,362,362,SAMN11282385,NA,NA,NA,NA
Amphibia,GCA_013368275.1,Xenopus tropicalis (tropical clawed frog),Xenopus tropicalis,30,6/23/2020,2020,Southern University of Science and Technology,377941,150157909,SAMN14253885,NA,NA,NA,NA
Amphibia,GCA_902459495.1,Geotrypetes seraphini (caecilians),Geotrypetes seraphini,67,8/18/2019,2019,SC,564027,564027,SAMEA104387963,NA,NA,NA,NA
Amphibia,GCA_901001175.1,Rhinatrema bivittatum (two-lined caecilian),Rhinatrema bivittatum,43,6/2/2019,2019,SC,259119,259119,SAMEA104387956,NA,NA,NA,NA
Amphibia,GCA_901765105.1,Microcaecilia unicolor (caecilians),Microcaecilia unicolor,53,7/8/2019,2019,SC,245207,245207,SAMEA104387962,NA,NA,NA,NA
Amphibia,GCA_001455525.1,Ambystoma mexicanum (axolotl),Ambystoma mexicanum,28,11/25/2015,2015,University of Kentucky,246,802,SAMN03256323,NA,NA,NA,NA
Aves,GCF_000238935.1,Melopsittacus undulatus (budgerigar),Melopsittacus undulatus,23,1/2/2012,2012,"The Genome Institute, Washington University at St. Louis",55633,10614383,SAMN02981360,GCA_000238935.1,GCF_000238935.1,454; Illumina,no
Aves,GCF_000277835.1,Geospiza fortis (medium ground-finch),Geospiza fortis,115,7/25/2012,2012,Beijing Genomics Institute,30521,5255844,SAMN00839579,GCA_000277835.1,GCF_000277835.1,Illumina HiSeq 2000,no
Aves,GCF_000331425.1,Pseudopodoces humilis (Tibetan ground-tit),Pseudopodoces humilis,96.25,1/11/2013,2013,Beijing Genomics Institute (BGI)-Shenzhen,165265,16337386,SAMN02981490,GCA_000331425.1,GCF_000331425.1,Illumina HiSeq,no
Aves,GCF_000337975.1,Falco cherrug (Saker falcon),Falco cherrug,147,2/5/2013,2013,BGI,31327,4154532,SAMN02981426,GCA_000337975.1,GCF_000337975.1,Illumina HiSeq,no
Aves,GCF_000337955.1,Falco peregrinus (peregrine falcon),Falco peregrinus,137.6,2/5/2013,2013,BGI,28645,3935757,SAMN02981425,GCA_000337955.1,GCF_000337955.1,Illumina HiSeq,no
Aves,GCF_000151805.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,5.5,2/8/2013,2013,Washington University Genome Sequencing Center,38644,8236790,SAMN02981239,GCA_000151805.2,GCF_000151805.1,Sanger,no
Aves,GCF_000355885.1,Anas platyrhynchos (mallard),Anas platyrhynchos,60,4/26/2013,2013,"State Key Laboratory for Agrobiotechnology, China Agricultural University, Beijing",26114,1233631,SAMN00011637,GCA_000355885.1,GCF_000355885.1,Solexa,no
Aves,GCF_000385455.1,Zonotrichia albicollis (white-throated sparrow),Zonotrichia albicollis,63,4/30/2013,2013,White-throated sparrow consortium,112748,4866725,SAMN02981528,GCA_000385455.1,GCF_000385455.1,Illumina,no
Aves,GCA_000400545.1,Ara macao (Scarlet macaw),Ara macao,16,5/20/2013,2013,Texas A&M University,6366,6366,SAMN02981465,GCA_000400545.1,NA,454; Illumina GAIIx; Illumina HiSeq2000,no
Aves,GCA_000400695.1,Ara macao (Scarlet macaw),Ara macao,26,6/26/2013,2013,Texas A&M University,4399,15974,SAMN03000706,GCA_000400695.1,NA,454 GS FLX Titanium; Illumina GAIIx; Illumina HiSeq 2000,no
Aves,GCF_000247815.1,Ficedula albicollis (Collared flycatcher),Ficedula albicollis,60,6/27/2013,2013,Uppsala University,410964,6542656,SAMN02981387,GCA_000247815.2,GCF_000247815.1,Illumina GAII; Illumina HiSeq,no
Aves,GCF_000534875.1,Serinus canaria (Common canary),Serinus canaria,30,1/15/2014,2014,MPI MOLGEN,53884,17815079,SAMEA3138919,GCA_000534875.1,GCF_000534875.1,NA,NA
Aves,GCA_000586395.1,Lyrurus tetrix tetrix (black grouse),Lyrurus tetrix,50,3/8/2014,2014,Uppsala University,1029,1029,SAMN01814332,GCA_000586395.1,NA,SOLiD,no
Aves,GCA_000599485.1,Colinus virginianus (northern bobwhite),Colinus virginianus,77,3/20/2014,2014,Texas A&M University,6034,6260,SAMN02981558,GCA_000599485.1,NA,Illumina HiSeq,no
Aves,GCF_000687285.1,Phaethon lepturus (White-tailed tropicbird),Phaethon lepturus,39,5/8/2014,2014,BGI,22941,47896,SAMN02339888,GCA_000687285.1,GCF_000687285.1,Illumina HiSeq,no
Aves,GCA_000687265.1,Phoenicopterus ruber ruber (American flamingo),Phoenicopterus ruber,33,5/8/2014,2014,BGI,20262,38071,SAMN02339890,GCA_000687265.1,NA,Illumina HiSeq,no
Aves,GCF_000687205.1,Tyto alba (Barn owl),Tyto alba,27,5/8/2014,2014,BGI,17226,52818,SAMN02339894,GCA_000687205.1,GCF_000687205.1,Illumina HiSeq,no
Aves,GCF_000687185.1,Egretta garzetta (little egret),Egretta garzetta,74,5/9/2014,2014,"College of Medicine and Forensics, Xi'an Jiaotong University",29019,3067157,SAMN02596466,GCA_000687185.1,GCF_000687185.1,Illumina HiSeq,no
Aves,GCF_000687375.1,Pelecanus crispus (Dalmatian pelican),Pelecanus crispus,34,5/9/2014,2014,BGI,21679,43364,SAMN02339887,GCA_000687375.1,GCF_000687375.1,Illumina HiSeq,no
Aves,GCF_000690535.1,Cariama cristata (Red-legged seriema),Cariama cristata,24,5/12/2014,2014,BGI,24645,55197,SAMN02318733,GCA_000690535.1,GCF_000690535.1,Illumina HiSeq,no
Aves,GCF_000690715.1,Colius striatus (speckled mousebird),Colius striatus,27,5/13/2014,2014,BGI,25860,46063,SAMN02324230,GCA_000690715.1,GCF_000690715.1,Illumina HiSeq,no
Aves,GCF_000690775.1,Eurypyga helias (sunbittern),Eurypyga helias,33,5/13/2014,2014,BGI,24402,47243,SAMN02324546,GCA_000690775.1,GCF_000690775.1,Illumina HiSeq,no
Aves,GCF_000690835.1,Fulmarus glacialis (Northern fulmar),Fulmarus glacialis,33,5/13/2014,2014,BGI,25926,47208,SAMN02324803,GCA_000690835.1,GCF_000690835.1,Illumina HiSeq,no
Aves,GCF_000690875.1,Gavia stellata (red-throated loon),Gavia stellata,33,5/13/2014,2014,BGI,24321,45532,SAMN02324832,GCA_000690875.1,GCF_000690875.1,Illumina HiSeq,no
Aves,GCF_000691405.1,Haliaeetus albicilla (white-tailed eagle),Haliaeetus albicilla,26,5/15/2014,2014,BGI,25143,57319,SAMN02333670,GCA_000691405.1,GCF_000691405.1,Illumina HiSeq,no
Aves,GCF_000691845.1,Merops nubicus (carmine bee-eater),Merops nubicus,37,5/16/2014,2014,BGI,24675,48089,SAMN02338310,GCA_000691845.1,GCF_000691845.1,Illumina HiSeq,no
Aves,GCF_000692075.1,Opisthocomus hoazin (hoatzin),Opisthocomus hoazin,100,5/19/2014,2014,BGI,28179,2937227,SAMN02302474,GCA_000692075.1,GCF_000692075.1,Illumina HiSeq,no
Aves,GCF_000691785.1,Leptosomus discolor (cuckoo roller),Leptosomus discolor,32,5/23/2014,2014,BGI,24735,62640,SAMN02333687,GCA_000691785.1,GCF_000691785.1,Illumina HiSeq,no
Aves,GCF_000695815.1,Acanthisitta chloris (rifleman),Acanthisitta chloris,29,5/27/2014,2014,BGI,20602,64469,SAMN02318032,GCA_000695815.1,GCF_000695815.1,Illumina HiSeq,no
Aves,GCA_000696035.1,Aquila chrysaetos canadensis (golden eagle),Aquila chrysaetos,39,5/30/2014,2014,Purdue University,16346,1746960,SAMN02371870,GCA_000696035.1,NA,Illumina HiSeq,no
Aves,GCF_000695195.1,Chlamydotis macqueenii (Macqueen's bustard),Chlamydotis macqueenii,27,6/2/2014,2014,BGI,21641,45221,SAMN02324157,GCA_000695195.1,GCF_000695195.1,Illumina HiSeq,no
Aves,GCF_000691975.1,Corvus brachyrhynchos (American crow),Corvus brachyrhynchos,80,6/2/2014,2014,BGI,29093,6953989,SAMN02297499,GCA_000691975.1,GCF_000691975.1,Illumina HiSeq,no
Aves,GCF_000695765.1,Mesitornis unicolor (brown roatelo),Mesitornis unicolor,29,6/2/2014,2014,BGI,22740,47102,SAMN02339298,GCA_000695765.1,GCF_000695765.1,Illumina HiSeq,no
Aves,GCF_000696875.1,Nestor notabilis (Kea),Nestor notabilis,32,6/5/2014,2014,BGI,26546,61475,SAMN02339299,GCA_000696875.1,GCF_000696875.1,Illumina HiSeq,no
Aves,GCF_000699145.1,Aptenodytes forsteri (emperor penguin),Aptenodytes forsteri,60,6/6/2014,2014,BGI,31730,5071598,SAMN02596600,GCA_000699145.1,GCF_000699145.1,Illumina HiSeq,no
Aves,GCF_000699085.1,Calypte anna (Anna's hummingbird),Calypte anna,110,6/6/2014,2014,BGI,26738,4052191,SAMN02265252,GCA_000699085.1,GCF_000699085.1,Illumina HiSeq,yes
Aves,GCF_000699005.1,Picoides pubescens (Downy woodpecker),Picoides pubescens,105,6/6/2014,2014,BGI,24809,2093929,SAMN02314405,GCA_000699005.1,GCF_000699005.1,Illumina HiSeq,no
Aves,GCF_000699105.1,Pygoscelis adeliae (Adelie penguin),Pygoscelis adeliae,60,6/6/2014,2014,BGI,22195,5118896,SAMN02596601,GCA_000699105.1,GCF_000699105.1,Illumina HiSeq,no
Aves,GCF_000698965.1,Struthio camelus australis (African ostrich),Struthio camelus,85,6/6/2014,2014,BGI,34997,3593425,SAMN02316164,GCA_000698965.1,GCF_000698965.1,Illumina HiSeq,no
Aves,GCF_000699245.1,Pterocles gutturalis (yellow-throated sandgrouse),Pterocles gutturalis,25,6/9/2014,2014,BGI,26448,49530,SAMN02339892,GCA_000699245.1,GCF_000699245.1,Illumina HiSeq,no
Aves,GCF_000700745.1,Antrostomus carolinensis (chuck-will's-widow),Antrostomus carolinensis,30,6/10/2014,2014,BGI,22156,46345,SAMN02318612,GCA_000700745.1,GCF_000700745.1,Illumina HiSeq,no
Aves,GCA_000699945.1,Cathartes aura (turkey vulture),Cathartes aura,25,6/11/2014,2014,BGI,15248,36359,SAMN02319050,GCA_000699945.1,NA,Illumina HiSeq,no
Aves,GCA_000699545.1,Podiceps cristatus (great crested grebe),Podiceps cristatus,30,6/11/2014,2014,BGI,17412,30087,SAMN02339891,GCA_000699545.1,NA,Illumina HiSeq,no
Aves,GCF_000703405.1,Apaloderma vittatum (bar-tailed trogon),Apaloderma vittatum,28,6/16/2014,2014,BGI,28882,56673,SAMN02318033,GCA_000703405.1,GCF_000703405.1,Illumina HiSeq,no
Aves,GCF_000708225.1,Nipponia nippon (crested ibis),Nipponia nippon,105,6/16/2014,2014,"College of Medicine and Forensics, Xi'an Jiaotong University",29116,5211696,SAMN02596464,GCA_000708225.1,GCF_000708225.1,Illumina HiSeq,no
Aves,GCF_000709325.1,Cuculus canorus (common cuckoo),Cuculus canorus,100,6/17/2014,2014,BGI,38137,2989832,SAMN02298149,GCA_000709325.1,GCF_000709325.1,Illumina HiSeq,no
Aves,GCF_000708925.1,Phalacrocorax carbo (great cormorant),Phalacrocorax carbo,24,6/17/2014,2014,BGI,17343,48427,SAMN02339889,GCA_000708925.1,GCF_000708925.1,Illumina HiSeq,no
Aves,GCF_000709895.1,Balearica regulorum gibbericeps (East African grey crowned-crane),Balearica regulorum,33,6/25/2014,2014,BGI,23333,52178,SAMN02318095,GCA_000709895.1,GCF_000709895.1,Illumina HiSeq,no
Aves,GCF_000710305.1,Buceros rhinoceros silvestris (Rhinoceros hornbill),Buceros rhinoceros,35,6/25/2014,2014,BGI,14587,53203,SAMN02318191,GCA_000710305.1,GCF_000710305.1,Illumina HiSeq,no
Aves,GCF_000709365.1,Tauraco erythrolophus (red-crested turaco),Tauraco erythrolophus,30,6/25/2014,2014,BGI,22885,56334,SAMN02339893,GCA_000709365.1,GCF_000709365.1,Illumina HiSeq,no
Aves,GCF_000692015.1,Manacus vitellinus (golden-collared manakin),Manacus vitellinus,110,8/1/2014,2014,BGI,43697,2558866,SAMN02299332,GCA_001715985.3,GCF_001715985.3,Illumina HiSeq; PacBio,yes
Aves,GCF_000737465.1,Haliaeetus leucocephalus (bald eagle),Haliaeetus leucocephalus,103,8/4/2014,2014,The Bald Eagle Consortium,105493,9145499,SAMN02664716,GCA_000737465.1,GCF_000737465.1,Illumina,no
Aves,GCF_000708025.1,Charadrius vociferus (killdeer),Charadrius vociferus,100,8/5/2014,2014,BGI,39278,3657050,SAMN02296710,GCA_000708025.2,GCF_000708025.1,Illumina HiSeq,no
Aves,GCF_000705375.1,Tinamus guttatus (white-throated tinamou),Tinamus guttatus,100,8/5/2014,2014,BGI,29773,246268,SAMN02316659,GCA_000705375.2,GCF_000705375.1,Illumina HiSeq,no
Aves,GCF_000747805.1,Chaetura pelagica (chimney swift),Chaetura pelagica,106,9/4/2014,2014,BGI,30757,3841852,SAMN03018471,GCA_000747805.1,GCF_000747805.1,Illumina GA II,no
Aves,GCF_000766835.1,Aquila chrysaetos canadensis (golden eagle),Aquila chrysaetos,88,10/14/2014,2014,The Genome Institute - Washington University School of Medicine,172329,9230743,SAMN03079786,GCA_000766835.1,GCF_000766835.1,Illumina,no
Aves,GCA_900067835.1,Ficedula albicollis (Collared flycatcher),Ficedula albicollis,15,4/6/2015,2015,Uppsala University,4718,5639,SAMEA3166399,GCA_900067835.1,NA,NA,NA
Aves,GCF_000971095.1,Anser cygnoides domesticus (Swan goose),Anser cygnoides,107.35,4/8/2015,2015,Anser cygnoides Genome consortium,27608,5202740,SAMN01830643,GCA_000971095.1,GCF_000971095.1,Illumina Hiseq2000,no
Aves,GCA_001039765.2,Apteryx mantelli mantelli (North Island brown kiwi),Apteryx mantelli,37,6/23/2015,2015,MPI-EVA,16159,3956354,SAMEA2560515,GCA_001039765.2,NA,NA,NA
Aves,GCA_001281735.1,Zosterops lateralis melanops (silver-eye),Zosterops lateralis,64,9/14/2015,2015,Imperial College London,34514,3581248,SAMN03389315,GCA_001281735.1,NA,Illumina HiSeq,no
Aves,GCA_001420675.1,Amazona aestiva (blue-fronted amazon),Amazona aestiva,120,10/30/2015,2015,LNCC,26171,1281105,SAMN04014659,GCA_001420675.1,NA,Illumina; 454,no
Aves,GCF_001431845.1,Calidris pugnax (ruff),Calidris pugnax,113,11/4/2015,2015,BGI,109237,10060041,SAMN03491621,GCA_001431845.1,GCF_001431845.1,Illumina Hiseq2000,no
Aves,GCA_001458055.1,Calidris pugnax (ruff),Calidris pugnax,110,11/6/2015,2015,ED,65145,868209,SAMEA3535133,GCA_001458055.1,NA,NA,NA
Aves,GCF_001447265.1,Sturnus vulgaris (Common starling),Sturnus vulgaris,74,11/20/2015,2015,McDonnell Genome Institute - Washington University School of Medicine,151865,3416708,SAMN04029017,GCA_001447265.1,GCF_001447265.1,Illumina,no
Aves,GCF_001577835.2,Coturnix japonica (Japanese quail),Coturnix japonica,73,3/1/2016,2016,McDonnell Genome Institute - Washington University School of Medicine,511217,2975000,SAMN03989050,GCA_001577835.2,GCF_001577835.2,Illumina GA IIx,no
Aves,GCF_001604755.1,Lepidothrix coronata (blue-crowned manakin),Lepidothrix coronata,61,3/31/2016,2016,McDonnell Genome Institute,141849,4972619,SAMN04274560,GCA_001604755.1,GCF_001604755.1,Illumina,no
Aves,GCA_001655115.1,Phylloscopus plumbeitarsus (birds),Phylloscopus plumbeitarsus,30,6/2/2016,2016,University of British Columbia,5094,7450,SAMN04545452,GCA_001655115.1,NA,Illumina HiSeq,no
Aves,GCA_001655135.1,Phylloscopus trochiloides trochiloides (greenish warbler),Phylloscopus trochiloides,30,6/2/2016,2016,University of British Columbia,2938,3610,SAMN04539782,GCA_001655135.1,NA,Illumina HiSeq,no
Aves,GCA_001655095.1,Phylloscopus trochiloides viridanus (greenish warbler),Phylloscopus trochiloides,30,6/2/2016,2016,The University of British Columbia,11055,20629,SAMN02646017,GCA_001655095.1,NA,Illumina HiSeq,no
Aves,GCA_002305835.1,Phylloscopus trochilus acredula (Willow warbler),Phylloscopus trochilus,130,6/8/2016,2016,Lund University,388702,3249743,SAMN04881205,GCA_002305835.1,NA,Illumina HiSeq,no
Aves,GCA_000511605.2,Coturnix japonica (Japanese quail),Coturnix japonica,212,6/29/2016,2016,Tokyo University of Agriculture,32115,3851064,SAMD00009971,GCA_000511605.2,NA,Illumina,no
Aves,GCA_001700915.1,Passer domesticus (House sparrow),Passer domesticus,130,8/31/2016,2016,Sparrow Genome Consortium,51426,6373860,SAMN02929199,GCA_001700915.1,NA,Illumina HiSeq,no
Aves,GCA_001870855.1,Tympanuchus cupido pinnatus (greater prairie chicken),Tympanuchus cupido,95,11/7/2016,2016,Revive & Restore Heath Hen De-extinction Team,47484,12138678,SAMN05433571,GCA_001870855.1,NA,Illumina HiSeq,no
Aves,GCA_001887795.1,Columba livia (rock pigeon),Columba livia,60,12/2/2016,2016,Royal Veterinary College,27697,24540102,SAMN02981415,GCA_001887795.1,NA,Illumina,no
Aves,GCA_001887755.1,Falco peregrinus (peregrine falcon),Falco peregrinus,137.6,12/2/2016,2016,Royal Veterinary College,33994,26776924,SAMN02981425,GCA_001887755.1,NA,Illumina,no
Aves,GCA_002002965.1,Ciconia boyciana (Oriental stork),Ciconia boyciana,13,2/9/2017,2017,"Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies",11009,13257,SAMD00050841,GCA_002002965.1,NA,Illumina Miseq pair-end reads; Ion PGM single reads,no
Aves,GCA_002003005.1,Gallirallus okinawae (Okinawa rail),Gallirallus okinawae,44,2/9/2017,2017,"Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies",6245,6245,SAMD00050839,GCA_002003005.1,NA,Illumina Hiseq pair-end reads; Ion PGM single reads,no
Aves,GCA_002002985.1,Grus japonensis (Red-crowned crane),Grus japonensis,9,2/10/2017,2017,"Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies",8228,8606,SAMD00050840,GCA_002002985.1,NA,Illumina Miseq pair-end reads; Ion PGM single reads,no
Aves,GCA_002021895.1,Calypte anna (Anna's hummingbird),Calypte anna,55,2/28/2017,2017,Pacific Biosciences,5366327,5366327,SAMN02265252,GCA_002021895.1,NA,PacBio,yes
Aves,GCA_002008985.2,Taeniopygia guttata (zebra finch),Taeniopygia guttata,100,2/28/2017,2017,Pacific Biosciences,5807022,5807022,SAMN02981239,GCA_002008985.2,NA,PacBio,yes
Aves,GCA_002029285.1,Patagioenas fasciata monilis (band-tailed pigeon),Patagioenas fasciata,18,3/15/2017,2017,"University of California, Santa Cruz",17937,19987418,SAMN04386172,GCA_002029285.1,NA,Illumina HiSeq,no
Aves,GCA_002023255.2,Corvus cornix cornix (hooded crow),Corvus cornix,52,4/25/2017,2017,"Uppsala University, Evolutionary Biology Centre",8911460,18368925,SAMN02143031,GCA_002023255.2,NA,PacBio; BioNano Genomics,yes
Aves,GCF_002078875.1,Numida meleagris (helmeted guineafowl),Numida meleagris,100,6/1/2017,2017,INRA,234926,7868035,SAMN05969731,GCA_002078875.2,GCF_002078875.1,Illumina HiSeq,no
Aves,GCA_002166845.1,Anser cygnoides (Swan goose),Anser cygnoides,56.2,6/2/2017,2017,Poultry Science Institute,35039,5027881,SAMN02898389,GCA_002166845.1,NA,Illumina MiSeq,no
Aves,GCA_002167245.1,Sporophila hypoxantha (tawny-bellied seedeater),Sporophila hypoxantha,112,6/5/2017,2017,Cornell University,1043501,7965281,SAMN06754710,GCA_002167245.1,NA,Illumina HiSeq; PacBio,yes
Aves,GCA_002173455.1,Nannopterum auritus (double-crested cormorant),Nannopterum auritus,222.8,6/6/2017,2017,UCLA,97559,1990987,SAMN06226698,GCA_002173455.1,NA,Illumina HiSeq,no
Aves,GCA_002174335.1,Nannopterum brasilianus (Neotropic cormorant),Nannopterum brasilianus,170.99,6/6/2017,2017,UCLA,35201,86910,SAMN06832916,GCA_002174335.1,NA,Illumina HiSeq,no
Aves,GCA_002173475.1,Nannopterum harrisi (Galapagos flightless cormorant),Nannopterum harrisi,195.29,6/6/2017,2017,UCLA,100243,4648443,SAMN05301669,GCA_002173475.1,NA,Illumina HiSeq,no
Aves,GCA_002173435.1,Phalacrocorax pelagicus (Pelagic cormorant),Phalacrocorax pelagicus,155.7,6/6/2017,2017,UCLA,67731,1719903,SAMN06832911,GCA_002173435.1,NA,Illumina HiSeq,no
Aves,GCF_002197715.1,Lonchura striata domestica (Bengalese finch),Lonchura striata,142,6/19/2017,2017,HHMI/UCSF,100439,2953339,SAMN06283872,GCA_002197715.1,GCF_002197715.1,Illumina,no
Aves,GCA_002218305.1,Callipepla squamata (scaled quail),Callipepla squamata,292,7/13/2017,2017,Texas A&M University,154132,1035259,SAMN04255336,GCA_002218305.1,NA,Illumina HiSeq,no
Aves,GCA_000599465.2,Colinus virginianus (northern bobwhite),Colinus virginianus,122,7/13/2017,2017,Texas A&M University,56067,2042136,SAMN02981558,GCA_000599465.2,NA,Illumina HiSeq,no
Aves,GCA_002224895.1,Anas platyrhynchos (mallard),Anas platyrhynchos,208,7/25/2017,2017,BGI,38789,2490036,SAMN07337762,GCA_002224895.1,NA,Illumina Hiseq2000,no
Aves,GCA_002224875.1,Anas zonorhyncha (Eastern spot-billed duck),Anas zonorhyncha,220,7/25/2017,2017,BGI,33496,2077029,SAMN07337763,GCA_002224875.1,NA,Illumina Hiseq2000,no
Aves,GCA_002289315.1,Uria lomvia (thick-billed guillemot),Uria lomvia,68,9/11/2017,2017,Cornell University,24899,15847591,SAMN07414775,GCA_002289315.1,NA,Illumina HiSeq,no
Aves,GCA_002372975.1,Strix occidentalis caurina (northern spotted owl),Strix occidentalis,59.3,9/26/2017,2017,California Academy of Sciences,159062,3983020,SAMN05525316,GCA_002372975.1,NA,Illumina HiSeq; Illumina MiSeq,no
Aves,GCA_900205225.1,Saxicola maurus maurus (Siberian stonechat),Saxicola maurus,66,9/28/2017,2017,UNIVERSITY OF OXFORD,96283,10035936,SAMEA94256668,GCA_900205225.1,NA,NA,NA
Aves,GCA_002592135.1,Anser brachyrhynchus (Pink-footed goose),Anser brachyrhynchus,49,10/19/2017,2017,"Aarhus University, Denmark",97462,4974386,SAMN07629812,GCA_002592135.1,NA,Illumina HiSeq,no
Aves,GCA_002631895.1,Agapornis roseicollis (peach-faced lovebird),Agapornis roseicollis,100,10/23/2017,2017,North West University,28585,118346,SAMN06099614,GCA_002631895.1,NA,Illumina HiSeq,no
Aves,GCA_002743455.1,Anas platyrhynchos platyrhynchos (common mallard),Anas platyrhynchos,150,11/3/2017,2017,China Agricultural University,88037,74988519,SAMN07569716,GCA_002743455.1,NA,Illumina HiSeq; 10X Genomics; Bionano,no
Aves,GCA_002798355.1,Gallus gallus (chicken),Gallus gallus,243.8,12/5/2017,2017,Hanyang University,639813,90110113,SAMN07713967,GCA_002798355.1,NA,Illumina HiSeq; PacBio,yes
Aves,GCA_000337935.2,Columba livia (rock pigeon),Columba livia,60,12/13/2017,2017,BGI,26627,14233134,SAMN02981415,GCA_000337935.2,NA,Illumina,no
Aves,GCA_002844005.1,Limosa lapponica baueri (bar-tailed godwit),Limosa lapponica,71,12/15/2017,2017,Universidade Federal do Rio de Janeiro,21257,283007,SAMN05417616,GCA_002844005.1,NA,Illumina,no
Aves,GCA_002849675.1,Acridotheres javanicus (Javan myna),Acridotheres javanicus,103,1/2/2018,2018,National University of Singapore,144184,5538430,SAMN07828064,GCA_002849675.1,NA,Illumina HiSeq,no
Aves,GCA_002850735.1,Zonotrichia albicollis (white-throated sparrow),Zonotrichia albicollis,35,1/3/2018,2018,Georgia Institute of Technology,10896,32860,SAMN05726874,GCA_002850735.1,NA,Illumina HiSeq,no
Aves,GCA_002870145.1,Psittacula krameri (Rose-ringed parakeet),Psittacula krameri,75,1/9/2018,2018,DICE,23132,1191622,SAMN06459718,GCA_002870145.1,NA,Illumina HiSeq,no
