Organism Groups,accession,submission_date,year,ReleaseOrder,sequence_length,organism
Mammalia,NC_001325,24-Aug-1999,1999,59,16826,Phoca vitulina
Mammalia,NC_001321,24-Aug-1999,1999,60,16398,Balaenoptera physalus
Osteichthyes,NC_002079,24-Aug-1999,1999,61,16578,Carassius langsdorfii
Osteichthyes,NC_001804,24-Aug-1999,1999,62,16407,Latimeria chalumnae
Osteichthyes,NC_001727,24-Aug-1999,1999,63,16558,Formosania lacustris
Osteichthyes,NC_001717,24-Aug-1999,1999,64,16642,Oncorhynchus mykiss
Osteichthyes,NC_001708,24-Aug-1999,1999,65,16646,Protopterus dolloi
Osteichthyes,NC_001606,24-Aug-1999,1999,66,16575,Cyprinus carpio
Osteichthyes,NC_000861,24-Aug-1999,1999,67,16659,Salvelinus alpinus
Osteichthyes,NC_000860,24-Aug-1999,1999,68,16624,Salvelinus fontinalis
Osteichthyes,NC_002081,24-Aug-1999,1999,69,16696,Gadus morhua
Osteichthyes,NC_001960,24-Aug-1999,1999,70,16665,Salmo salar
Osteichthyes,NC_001778,24-Aug-1999,1999,71,16624,Polypterus ornatipinnis
Squamata,NC_001945,24-Aug-1999,1999,72,17191,Lycodon semicarinatus
Testudines,NC_001947,24-Aug-1999,1999,73,16787,Pelomedusa subrufa
Testudines,NC_002073,24-Aug-1999,1999,74,16866,Chrysemys picta
Aves,NC_000846,25-Aug-1999,1999,75,16714,Rhea americana
Chondrichthyes,NC_000893,25-Aug-1999,1999,76,16783,Amblyraja radiata
Chondrichthyes,NC_000890,25-Aug-1999,1999,77,16707,Mustelus manazo
Mammalia,NC_000891,25-Aug-1999,1999,78,17019,Ornithorhynchus anatinus
Mammalia,NC_000884,25-Aug-1999,1999,79,16801,Cavia porcellus
Mammalia,NC_001645,25-Aug-1999,1999,80,16364,Gorilla gorilla
Mammalia,NC_000889,25-Aug-1999,1999,81,16407,Hippopotamus amphibius
Mammalia,NC_001646,25-Aug-1999,1999,82,16389,Pongo pygmaeus
Mammalia,NC_001644,25-Aug-1999,1999,83,16563,Pan paniscus
Mammalia,NC_001643,25-Aug-1999,1999,84,16554,Pan troglodytes
Mammalia,NC_002080,25-Aug-1999,1999,85,17447,Erinaceus europaeus
Squamata,NC_000888,25-Aug-1999,1999,86,17407,Plestiodon egregius
Testudines,NC_000886,25-Aug-1999,1999,87,16497,Chelonia mydas
Osteichthyes,NC_002386,7-Jan-2000,2000,88,17090,Paralichthys olivaceus
Mammalia,NC_002391,31-Jan-2000,2000,89,16884,Talpa europaea
Mammalia,Y19192,31-Jan-2000,2000,90,16884,Talpa europaea
Osteichthyes,AF133701,1-Apr-2000,2000,91,16669,Salmo salar
Aves,AB026818,4-Apr-2000,2000,92,17347,Ciconia ciconia
Aves,AB026193,4-Apr-2000,2000,93,17622,Ciconia boyciana
Aves,NC_002196,12-Apr-2000,2000,94,17622,Ciconia boyciana
Aves,NC_002197,12-Apr-2000,2000,95,17347,Ciconia ciconia
Mammalia,AJ238588,6-Jun-2000,2000,96,16507,Sciurus vulgaris
Osteichthyes,NC_002333,8-Jun-2000,2000,97,16596,Danio rerio
Mammalia,NC_002369,18-Jun-2000,2000,98,16507,Sciurus vulgaris
Amphibia,AF154051,22-Jun-2000,2000,99,17005,Typhlonectes natans
Amphibia,NC_002471,22-Jun-2000,2000,100,17005,Typhlonectes natans
Mammalia,NC_002503,20-Jul-2000,2000,101,16428,Physeter catodon
Mammalia,NC_002504,26-Jul-2000,2000,102,16652,Vicugna pacos
Mammalia,NC_002521,1-Sep-2000,2000,103,16754,Tupaia belangeri
Mammalia,AF217811,1-Sep-2000,2000,104,16754,Tupaia belangeri
Mammalia,AF304200,31-Oct-2000,2000,105,15978,Sus scrofa
Mammalia,AF304203,31-Oct-2000,2000,106,15977,Sus scrofa
Mammalia,AF304202,31-Oct-2000,2000,107,15977,Sus scrofa
Mammalia,AF304201,31-Oct-2000,2000,108,15979,Sus scrofa
Mammalia,NC_002612,19-Nov-2000,2000,109,16705,Pteropus dasymallus
Mammalia,AB042770,19-Nov-2000,2000,110,16705,Pteropus dasymallus
Osteichthyes,NC_002616,1-Dec-2000,2000,111,16881,Sardinops melanostictus
Osteichthyes,AB032554,1-Dec-2000,2000,112,16881,Sardinops melanostictus
Mammalia,NC_002626,5-Dec-2000,2000,113,16818,Chalinolobus tuberculatus
Mammalia,NC_002619,5-Dec-2000,2000,114,16741,Pteropus scapulatus
Mammalia,NC_002631,21-Dec-2000,2000,115,16549,Echinops telfairi
Osteichthyes,NC_002647,11-Jan-2001,2001,116,16418,Diplophos taenia
Osteichthyes,NC_002648,11-Jan-2001,2001,117,16481,Polymixia japonica
Osteichthyes,NC_002646,11-Jan-2001,2001,118,16737,Coregonus lavaretus
Osteichthyes,AB034826,11-Jan-2001,2001,119,16481,Polymixia japonica
Osteichthyes,AB034824,11-Jan-2001,2001,120,16737,Coregonus lavaretus
Mammalia,NC_002658,1-Feb-2001,2001,121,16626,Thryonomys swinderianus
Mammalia,AJ301644,1-Feb-2001,2001,122,16626,Thryonomys swinderianus
Aves,AY016015,17-Feb-2001,2001,123,17061,Emeus crassus
Aves,AY016013,17-Feb-2001,2001,124,17070,Dinornis giganteus
Aves,NC_002673,17-Feb-2001,2001,125,17061,Emeus crassus
Aves,NC_002672,17-Feb-2001,2001,126,17070,Dinornis giganteus
Osteichthyes,NC_002674,20-Feb-2001,2001,127,16653,Hime japonica
Osteichthyes,AB047821,20-Feb-2001,2001,128,16653,Hime japonica
Osteichthyes,NC_002707,22-Mar-2001,2001,129,16685,Anguilla japonica
Osteichthyes,AB038556,22-Mar-2001,2001,130,16685,Anguilla japonica
Osteichthyes,NC_002734,4-Apr-2001,2001,131,16542,Plecoglossus altivelis
Osteichthyes,AB042952,4-Apr-2001,2001,132,16210,Amia calva
Osteichthyes,AB042861,4-Apr-2001,2001,133,16330,Lepisosteus oculatus
Osteichthyes,AB047553,4-Apr-2001,2001,134,16542,Plecoglossus altivelis
Crocodylia,NC_002744,12-Apr-2001,2001,135,17900,Caiman crocodilus
Squamata,NC_002793,18-Apr-2001,2001,136,16633,Iguana iguana
Mammalia,AF358864,19-Apr-2001,2001,137,16852,Isoodon macrourus
Mammalia,NC_002746,19-Apr-2001,2001,138,16852,Isoodon macrourus
Mammalia,AF357238,23-Apr-2001,2001,139,17191,Trichosurus vulpecula
Mammalia,NC_003039,23-Apr-2001,2001,140,17191,Trichosurus vulpecula
Amphibia,AF154053,28-Apr-2001,2001,141,16650,Lyciasalamandra atifi
Amphibia,NC_002756,28-Apr-2001,2001,142,16650,Lyciasalamandra atifi
Mammalia,NC_002764,1-May-2001,2001,143,16586,Macaca sylvanus
Mammalia,NC_002763,1-May-2001,2001,144,16554,Cebus albifrons
Mammalia,NC_002765,1-May-2001,2001,145,16764,Nycticebus coucang
Osteichthyes,NC_002761,2-May-2001,2001,146,18705,Conger myriaster
Osteichthyes,AB038381,2-May-2001,2001,147,18705,Conger myriaster
Testudines,AF366350,14-May-2001,2001,148,17289,Dogania subplana
Testudines,NC_002780,14-May-2001,2001,149,17289,Dogania subplana
Aves,NC_002778,15-May-2001,2001,150,16756,Casuarius casuarius
Aves,NC_002779,15-May-2001,2001,151,16716,Anomalopteryx didiformis
Aves,AF338710,15-May-2001,2001,152,18305,Eudromia elegans
Aves,AF338707,15-May-2001,2001,153,16701,Tinamus major
Aves,AF338713,15-May-2001,2001,154,16756,Casuarius casuarius
Aves,AF338715,15-May-2001,2001,155,16595,Struthio camelus
Aves,AF338714,15-May-2001,2001,156,16716,Anomalopteryx didiformis
Aves,AF338712,15-May-2001,2001,157,16662,Emeus crassus
Aves,AF338711,15-May-2001,2001,158,16711,Dromaius novaehollandiae
Aves,AF338708,15-May-2001,2001,159,16980,Apteryx haastii
Aves,NC_002772,15-May-2001,2001,160,18305,Eudromia elegans
Aves,NC_002781,15-May-2001,2001,161,16701,Tinamus major
Aves,NC_002782,15-May-2001,2001,162,16980,Apteryx haastii
Aves,NC_002783,15-May-2001,2001,163,16749,Pterocnemia pennata
Aves,NC_002785,15-May-2001,2001,164,16595,Struthio camelus
Aves,NC_002784,15-May-2001,2001,165,16711,Dromaius novaehollandiae
Aves,AF338709,15-May-2001,2001,166,16749,Pterocnemia pennata
Amphibia,NC_002805,2-Jun-2001,2001,167,17804,Pelophylax nigromaculatus
Mammalia,AF348079,20-Jun-2001,2001,168,17088,Echinosorex gymnura
Mammalia,NC_002808,20-Jun-2001,2001,169,17088,Echinosorex gymnura
Mammalia,AF348159,2-Jul-2001,2001,170,16927,Cephalopachus bancanus
Mammalia,NC_002811,2-Jul-2001,2001,171,16927,Cephalopachus bancanus
Osteichthyes,NC_002812,3-Jul-2001,2001,172,16577,Arctoscopus japonicus
Osteichthyes,NC_002813,3-Jul-2001,2001,173,16559,Trachurus japonicus
Osteichthyes,AP003092,3-Jul-2001,2001,174,16559,Trachurus japonicus
Osteichthyes,AP003091,3-Jul-2001,2001,175,16559,Trachurus japonicus
Osteichthyes,AP003090,3-Jul-2001,2001,176,16577,Arctoscopus japonicus
Osteichthyes,AF392054,4-Jul-2001,2001,177,16644,Oncorhynchus tshawytscha
Osteichthyes,NC_002980,4-Jul-2001,2001,178,16644,Oncorhynchus tshawytscha
Mammalia,AF348082,5-Jul-2001,2001,179,16312,Microtus kikuchii
Mammalia,AF348081,5-Jul-2001,2001,180,17488,Episoriculus fumidus
Mammalia,AF348080,5-Jul-2001,2001,181,16968,Ochotona collaris
Mammalia,NC_003041,5-Jul-2001,2001,182,16312,Microtus kikuchii
Mammalia,NC_003040,5-Jul-2001,2001,183,17488,Episoriculus fumidus
Mammalia,NC_003033,5-Jul-2001,2001,184,16968,Ochotona collaris
Aves,NC_003408,16-Aug-2001,2001,185,16697,Coturnix japonica
Aves,AP003195,16-Aug-2001,2001,186,16697,Coturnix japonica
Osteichthyes,NC_003095,5-Sep-2001,2001,187,16006,Osteoglossum bicirrhosum
Osteichthyes,NC_003097,5-Sep-2001,2001,188,16675,Engraulis japonicus
Osteichthyes,NC_003096,5-Sep-2001,2001,189,15845,Pantodon buchholzi
Osteichthyes,AB043068,5-Sep-2001,2001,190,15845,Pantodon buchholzi
Osteichthyes,AB043025,5-Sep-2001,2001,191,16006,Osteoglossum bicirrhosum
Osteichthyes,AB040676,5-Sep-2001,2001,192,16675,Engraulis japonicus
Osteichthyes,NC_003127,1-Oct-2001,2001,193,16572,Neoceratodus forsteri
Osteichthyes,AF302933,1-Oct-2001,2001,194,16572,Neoceratodus forsteri
Aves,AF380305,5-Oct-2001,2001,195,18674,Buteo buteo
Aves,NC_003128,5-Oct-2001,2001,196,18674,Buteo buteo
Chondrichthyes,NC_003136,8-Oct-2001,2001,197,18580,Chimaera monstrosa
Chondrichthyes,NC_003137,8-Oct-2001,2001,198,16708,Heterodontus francisci
Osteichthyes,NC_003166,19-Oct-2001,2001,199,16162,Trachipterus trachypterus
Osteichthyes,NC_003177,19-Oct-2001,2001,200,16306,Stephanolepis cirrhifer
Osteichthyes,NC_003176,19-Oct-2001,2001,201,15973,Kareius bicoloratus
Osteichthyes,NC_003172,19-Oct-2001,2001,202,16387,Poromitra oscitans
Osteichthyes,NC_003171,19-Oct-2001,2001,203,16375,Scopelogadus mizolepis
Osteichthyes,NC_003169,19-Oct-2001,2001,204,15942,Coelorinchus kishinouyei
Osteichthyes,NC_003168,19-Oct-2001,2001,205,16079,Percopsis transmontana
Osteichthyes,NC_003167,19-Oct-2001,2001,206,15987,Zu cristatus
Osteichthyes,NC_003163,19-Oct-2001,2001,207,16239,Myctophum affine
Osteichthyes,NC_003162,19-Oct-2001,2001,208,15737,Saurida undosquamis
Osteichthyes,NC_003161,19-Oct-2001,2001,209,16061,Harpadon microchir
Osteichthyes,NC_003160,19-Oct-2001,2001,210,16221,Chlorophthalmus agassizi
Osteichthyes,NC_003173,19-Oct-2001,2001,211,16065,Zenopsis nebulosus
Osteichthyes,NC_003165,19-Oct-2001,2001,212,15598,Lampris guttatus
Osteichthyes,NC_003175,19-Oct-2001,2001,213,15780,Elassoma evergladei
Osteichthyes,NC_003159,19-Oct-2001,2001,214,17814,Chauliodus sloani
Osteichthyes,NC_003196,19-Oct-2001,2001,215,17031,Pagrus major
Osteichthyes,NC_003195,19-Oct-2001,2001,216,16728,Helicolenus hilgendorfi
Osteichthyes,NC_003194,19-Oct-2001,2001,217,16717,Dactyloptena peterseni
Osteichthyes,NC_003193,19-Oct-2001,2001,218,16498,Mastacembelus favus
Osteichthyes,NC_003191,19-Oct-2001,2001,219,16508,Antigonia capros
Osteichthyes,NC_003187,19-Oct-2001,2001,220,16528,Hoplostethus japonicus
Osteichthyes,NC_003185,19-Oct-2001,2001,221,16555,Danacetichthys galathenus
Osteichthyes,NC_003184,19-Oct-2001,2001,222,16527,Exocoetus volitans
Osteichthyes,NC_003181,19-Oct-2001,2001,223,16473,Polymixia lowei
Osteichthyes,NC_003164,19-Oct-2001,2001,224,15985,Diaphus splendidus
Osteichthyes,NC_003180,19-Oct-2001,2001,225,16686,Neoscopelus microchir
Osteichthyes,NC_003179,19-Oct-2001,2001,226,16645,Ijimaia dofleini
Osteichthyes,NC_003178,19-Oct-2001,2001,227,16650,Ateleopus japonicus
Osteichthyes,NC_003183,19-Oct-2001,2001,228,16499,Cololabis saira
Osteichthyes,NC_003186,19-Oct-2001,2001,229,16530,Rondeletia loricata
Osteichthyes,NC_003188,19-Oct-2001,2001,230,16529,Beryx splendens
Osteichthyes,NC_003190,19-Oct-2001,2001,231,16715,Zeus faber
Osteichthyes,NC_003182,19-Oct-2001,2001,232,16685,Mugil cephalus
Osteichthyes,NC_003189,19-Oct-2001,2001,233,16531,Myripristis berndti
Osteichthyes,NC_003192,19-Oct-2001,2001,234,16622,Monopterus albus
Osteichthyes,AP002951,19-Oct-2001,2001,235,15973,Kareius bicoloratus
Osteichthyes,AP002929,19-Oct-2001,2001,236,15942,Coelorinchus kishinouyei
Osteichthyes,AP002931,19-Oct-2001,2001,237,16019,Mugil cephalus
Osteichthyes,AP002947,19-Oct-2001,2001,238,16717,Dactyloptena peterseni
Osteichthyes,AP002932,19-Oct-2001,2001,239,16499,Cololabis saira
Osteichthyes,AP002946,19-Oct-2001,2001,240,16498,Mastacembelus favus
Osteichthyes,AP002945,19-Oct-2001,2001,241,16622,Monopterus albus
Osteichthyes,AP002943,19-Oct-2001,2001,242,16508,Antigonia capros
Osteichthyes,AP002940,19-Oct-2001,2001,243,16531,Myripristis berndti
Osteichthyes,AP002938,19-Oct-2001,2001,244,16528,Hoplostethus japonicus
Osteichthyes,AP002937,19-Oct-2001,2001,245,16530,Rondeletia loricata
Osteichthyes,AP002933,19-Oct-2001,2001,246,16527,Exocoetus volitans
Osteichthyes,AP002917,19-Oct-2001,2001,247,16645,Ijimaia dofleini
Osteichthyes,AP002952,19-Oct-2001,2001,248,16306,Stephanolepis cirrhifer
Osteichthyes,AP002950,19-Oct-2001,2001,249,15780,Elassoma evergladei
Osteichthyes,AP002942,19-Oct-2001,2001,250,16065,Zenopsis nebulosus
Osteichthyes,AP002935,19-Oct-2001,2001,251,16387,Poromitra oscitans
Osteichthyes,AP002927,19-Oct-2001,2001,252,16473,Polymixia lowei
Osteichthyes,AP002928,19-Oct-2001,2001,253,16079,Percopsis transmontana
Osteichthyes,AP002926,19-Oct-2001,2001,254,15987,Zu cristatus
Osteichthyes,AP002925,19-Oct-2001,2001,255,16162,Trachipterus trachypterus
Osteichthyes,AP002924,19-Oct-2001,2001,256,15598,Lampris guttatus
Osteichthyes,AP002922,19-Oct-2001,2001,257,16239,Myctophum affine
Osteichthyes,AP002920,19-Oct-2001,2001,258,15737,Saurida undosquamis
Osteichthyes,AP002918,19-Oct-2001,2001,259,16221,Chlorophthalmus agassizi
Osteichthyes,AP002915,19-Oct-2001,2001,260,17814,Chauliodus sloani
Osteichthyes,AP002949,19-Oct-2001,2001,261,17031,Pagrus major
Osteichthyes,AP002948,19-Oct-2001,2001,262,16728,Helicolenus hilgendorfi
Osteichthyes,AP002944,19-Oct-2001,2001,263,15742,Gasterosteus aculeatus
Osteichthyes,AP002941,19-Oct-2001,2001,264,16715,Zeus faber
Osteichthyes,AP002939,19-Oct-2001,2001,265,16529,Beryx splendens
Osteichthyes,AP002936,19-Oct-2001,2001,266,16555,Danacetichthys galathenus
Osteichthyes,AP002934,19-Oct-2001,2001,267,16375,Scopelogadus mizolepis
Osteichthyes,AP002930,19-Oct-2001,2001,268,16685,Mugil cephalus
Osteichthyes,AP002923,19-Oct-2001,2001,269,15985,Diaphus splendidus
Osteichthyes,AP002921,19-Oct-2001,2001,270,16686,Neoscopelus microchir
Osteichthyes,AP002919,19-Oct-2001,2001,271,16061,Harpadon microchir
Osteichthyes,AP002916,19-Oct-2001,2001,272,16650,Ateleopus japonicus
Mammalia,AB061527,25-Oct-2001,2001,273,17105,Sorex unguiculatus
Mammalia,AB061526,25-Oct-2001,2001,274,16869,Rhinolophus pumilus
Mammalia,J01415.1,13-Nov-2001,2001,275,16569,Homo sapiens
Osteichthyes,NC_003290,4-Dec-2001,2001,276,17329,Kryptolebias marmoratus
Osteichthyes,AF283503,4-Dec-2001,2001,277,17329,Kryptolebias marmoratus
Mammalia,NC_003314,13-Dec-2001,2001,278,16850,Dugong dugon
Mammalia,NC_003322,17-Dec-2001,2001,279,16996,Vombatus ursinus
Mammalia,NC_003321,17-Dec-2001,2001,280,16360,Tachyglossus aculeatus
Osteichthyes,AF302934,31-Dec-2001,2001,281,16403,Lepidosiren paradoxa
Osteichthyes,NC_003342,31-Dec-2001,2001,282,16403,Lepidosiren paradoxa
Mammalia,AY075116,25-Feb-2002,2002,283,16847,Dugong dugon
Mammalia,AF303111,5-Mar-2002,2002,284,17017,Ursus maritimus
Mammalia,AF303110,5-Mar-2002,2002,285,17020,Ursus arctos
Mammalia,AF303109,5-Mar-2002,2002,286,16841,Ursus americanus
Mammalia,NC_003428,5-Mar-2002,2002,287,17017,Ursus maritimus
Mammalia,NC_003427,5-Mar-2002,2002,288,17020,Ursus arctos
Mammalia,NC_003426,5-Mar-2002,2002,289,16841,Ursus americanus
Osteichthyes,AF482987,25-Mar-2002,2002,290,16497,Ictalurus punctatus
Osteichthyes,NC_003489,25-Mar-2002,2002,291,16497,Ictalurus punctatus
Aves,AY074885,23-Apr-2002,2002,292,16725,Arenaria interpres
Aves,AY074886,23-Apr-2002,2002,293,16791,Haematopus ater
Aves,NC_003713,23-Apr-2002,2002,294,16791,Haematopus ater
Aves,NC_003712,23-Apr-2002,2002,295,16725,Arenaria interpres
Amphibia,NC_004021,8-Jun-2002,2002,296,16418,Ranodon sibiricus
Amphibia,AJ419960,8-Jun-2002,2002,297,16418,Ranodon sibiricus
Mammalia,AJ421451,11-Jun-2002,2002,298,17036,Lemur catta
Mammalia,NC_004029,11-Jun-2002,2002,299,16565,Odobenus rosmarus rosmarus
Mammalia,NC_004030,11-Jun-2002,2002,300,16638,Eumetopias jubatus
Mammalia,NC_004028,11-Jun-2002,2002,301,17734,Lepus europaeus
Mammalia,NC_004027,11-Jun-2002,2002,302,16571,Phataginus tetradactyla
Mammalia,NC_004032,11-Jun-2002,2002,303,16395,Tamandua tetradactyla
Mammalia,NC_004026,11-Jun-2002,2002,304,16641,Macroscelides proboscideus
Mammalia,NC_004031,11-Jun-2002,2002,305,16748,Galeopterus variegatus
Mammalia,NC_004025,11-Jun-2002,2002,306,17036,Lemur catta
Mammalia,AJ428578,11-Jun-2002,2002,307,16638,Eumetopias jubatus
Mammalia,AJ428576,11-Jun-2002,2002,308,16565,Odobenus rosmarus rosmarus
Mammalia,AJ428577,11-Jun-2002,2002,309,16723,Ursus maritimus
Mammalia,AJ421453,11-Jun-2002,2002,310,16745,Tupaia belangeri
Mammalia,AJ421450,11-Jun-2002,2002,311,16395,Tamandua tetradactyla
Mammalia,AJ428849,11-Jun-2002,2002,312,16748,Galeopterus variegatus
Mammalia,AJ421454,11-Jun-2002,2002,313,16571,Phataginus tetradactyla
Mammalia,AJ421452,11-Jun-2002,2002,314,16641,Macroscelides proboscideus
Mammalia,AF527537,16-Jul-2002,2002,315,16354,Muntiacus reevesi
Mammalia,NC_004069,16-Jul-2002,2002,316,16354,Muntiacus reevesi
Osteichthyes,NC_004299,24-Sep-2002,2002,317,16447,Takifugu rubripes
Osteichthyes,AJ421455,24-Sep-2002,2002,318,16447,Takifugu rubripes
Osteichthyes,AP004414,14-Nov-2002,2002,319,16479,Lophius americanus
Osteichthyes,AP004413,14-Nov-2002,2002,320,15879,Lophiomus setigerus
Osteichthyes,AP004456,14-Nov-2002,2002,321,16584,Sufflamen fraenatum
Osteichthyes,AP004449,14-Nov-2002,2002,322,16522,Pholis crassispina
Osteichthyes,AP004417,14-Nov-2002,2002,323,16657,Caulophryne jordani
Osteichthyes,AP004410,14-Nov-2002,2002,324,16564,Lamprogrammus niger
Osteichthyes,AP004455,14-Nov-2002,2002,325,16522,Eleotris acanthopoma
Osteichthyes,AP004454,14-Nov-2002,2002,326,16518,Rhyacichthys aspro
Osteichthyes,AP004453,14-Nov-2002,2002,327,17487,Aspasma minima
Osteichthyes,AP004451,14-Nov-2002,2002,328,16496,Salarias fasciatus
Osteichthyes,AP004450,14-Nov-2002,2002,329,16680,Petroscirtes breviceps
Osteichthyes,AP004448,14-Nov-2002,2002,330,16697,Icelus toyamensis
Osteichthyes,AP004447,14-Nov-2002,2002,331,16496,Pterocaesio tile
Osteichthyes,AP004446,14-Nov-2002,2002,332,16502,Emmelichthys struhsakeri
Osteichthyes,AP004445,14-Nov-2002,2002,333,16593,Caranx melampygus
Osteichthyes,AP004444,14-Nov-2002,2002,334,16556,Carangoides armatus
Osteichthyes,AP004443,14-Nov-2002,2002,335,15974,Aptocyclus ventricosus
Osteichthyes,AP004442,14-Nov-2002,2002,336,16561,Cottus reinii
Osteichthyes,AP004441,14-Nov-2002,2002,337,16526,Scalicus amiscus
Osteichthyes,AP004440,14-Nov-2002,2002,338,16751,Dactyloptena tiltoni
Osteichthyes,AP004439,14-Nov-2002,2002,339,15561,Synbranchus marmoratus
Osteichthyes,AP004438,14-Nov-2002,2002,340,16152,Indostomus paradoxus
Osteichthyes,AP004437,14-Nov-2002,2002,341,16479,Hypoptychus dybowskii
Osteichthyes,AP004436,14-Nov-2002,2002,342,16745,Neocyttus rhomboidalis
Osteichthyes,AP004435,14-Nov-2002,2002,343,16750,Allocyttus niger
Osteichthyes,AP004434,14-Nov-2002,2002,344,16843,Zenion japonicum
Osteichthyes,AP004433,14-Nov-2002,2002,345,16848,Parazen pacificus
Osteichthyes,AP004432,14-Nov-2002,2002,346,16526,Sargocentron rubrum
Osteichthyes,AP004431,14-Nov-2002,2002,347,16541,Ostichthys japonicus
Osteichthyes,AP004430,14-Nov-2002,2002,348,16535,Beryx decadactylus
Osteichthyes,AP004429,14-Nov-2002,2002,349,16567,Monocentris japonicus
Osteichthyes,AP004428,14-Nov-2002,2002,350,15980,Anomalops katoptron
Osteichthyes,AP004427,14-Nov-2002,2002,351,16070,Diretmus argenteus
Osteichthyes,AP004426,14-Nov-2002,2002,352,16120,Diretmoides veriginae
Osteichthyes,AP004425,14-Nov-2002,2002,353,16511,Anoplogaster cornuta
Osteichthyes,AP004424,14-Nov-2002,2002,354,16508,Eutaeniophorus sp. 033-Miya
